epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8813181753232708,0.024450762796401977,4198,41.98,49984,49984,0,0,0.5,1,18.281954526901245
2,50000,1.4239653991955332,0.020429542672634124,5387,53.87,49984,99968,0,0,0.5,1,12.421532392501831
3,50000,1.141630229887233,0.017255139702558518,6109,61.09,49984,149952,0,0,0.5,1,12.626338958740234
4,41449,0.7807600299001273,0.015700566607713698,6432,64.32,41408,191360,8551,8551,0.5,1,10.448703289031982
5,40521,0.6517620271185832,0.017076655846834182,6427,64.27,40512,231872,9479,9479,0.5,1,10.24366569519043
6,40335,0.570200280741431,0.014730187696218491,6834,68.34,40320,272192,9665,9665,0.5,1,10.238060712814331
7,40459,0.5139436494223909,0.01403696021437645,7005,70.05,40448,312640,9541,9541,0.5,1,10.198241949081421
8,40515,0.4697107153985491,0.012747609594464302,7260,72.6,40512,353152,9485,9485,0.5,1,10.200439691543579
9,40484,0.4448197630662305,0.011173824039101601,7576,75.76,40448,393600,9516,9516,0.5,1,10.176761388778687
10,40430,0.4273634235055687,0.011168413972854615,7533,75.33,40384,433984,9570,9570,0.5,1,10.212296485900879
11,40395,0.4056438576694787,0.011714466455578804,7488,74.88,40384,474368,9605,9605,0.5,1,10.123331308364868
12,40332,0.3881527400287279,0.01272026387155056,7157,71.57,40320,514688,9668,9668,0.5,1,10.166747331619263
13,40356,0.37093449441949267,0.010035044658184052,7769,77.69,40320,555008,9644,9644,0.5,1,10.238276958465576
14,40351,0.3572581427548513,0.010237532737851144,7744,77.44,40320,595328,9649,9649,0.5,1,10.109895706176758
15,40290,0.348749601000602,0.009762902355194092,7833,78.33,40256,635584,9710,9710,0.5,1,10.174127101898193
16,40152,0.3338613245229836,0.009932364708185195,7877,78.77,40128,675712,9848,9848,0.5,1,10.119046449661255
17,40006,0.3191569735755946,0.011880898252129554,7503,75.03,40000,715712,9994,9994,0.5,1,10.150201559066772
18,40198,0.3169541197330712,0.00885336231291294,8132,81.32,40192,755904,9802,9802,0.5,1,10.225567102432251
19,40164,0.3078311061776175,0.008957465064525605,8074,80.74,40128,796032,9836,9836,0.5,1,10.0990149974823
20,39974,0.28795751313417123,0.011336334505677224,7667,76.67,39936,835968,10026,10026,0.5,1,10.028445482254028
21,40078,0.28848393168582426,0.01009417443573475,7719,77.19,40064,876032,9922,9922,0.5,1,10.101264715194702
22,39813,0.2696995767787445,0.00996935216486454,7845,78.45,39808,915840,10187,10187,0.5,1,10.213329553604126
23,39990,0.27164115260420235,0.008653385379910469,8103,81.03,39936,955776,10010,10010,0.5,1,10.115031957626343
24,39750,0.25596893232510715,0.009341192135214806,8046,80.46,39744,995520,10250,10250,0.5,1,10.131675004959106
25,39908,0.2547440653950629,0.007488245967030525,8389,83.89,39872,1035392,10092,10092,0.5,1,10.0690016746521
26,39946,0.2449117087588447,0.008924216228723527,8102,81.02,39936,1075328,10054,10054,0.5,1,10.034940958023071
27,39621,0.2482280751470432,0.007391689479351044,8400,84.0,39616,1114944,10379,10379,0.5,1,9.959315776824951
28,39219,0.2413628782549569,0.007020204901695252,8500,85.0,39168,1154112,10781,10781,0.5,1,9.943959712982178
29,38596,0.2325207115615689,0.007535794980823993,8366,83.66,38592,1192704,11404,11404,0.5,1,9.775199174880981
30,38173,0.2322664384712829,0.006739827188849449,8525,85.25,38144,1230848,11827,11827,0.5,1,9.701181173324585
31,38058,0.22002102683245484,0.009575770276784896,8026,80.26,38016,1268864,11942,11942,0.5,1,9.667385339736938
32,38048,0.2194643715852022,0.007199292601644993,8433,84.33,38016,1306880,11952,11952,0.5,1,9.736272096633911
33,37857,0.21689816308724308,0.00674576989710331,8506,85.06,37824,1344704,12143,12143,0.5,1,9.585607051849365
34,37468,0.20870523997080287,0.006192845396697521,8692,86.92,37440,1382144,12532,12532,0.5,1,9.641392707824707
35,37319,0.20361136630125343,0.006943201699852943,8482,84.82,37312,1419456,12681,12681,0.5,1,9.5135178565979
36,37276,0.19528645557525262,0.007381076875329018,8449,84.49,37248,1456704,12724,12724,0.5,1,9.546245813369751
37,36949,0.19113032064390686,0.006104447434842586,8702,87.02,36928,1493632,13051,13051,0.5,1,9.415788650512695
38,37056,0.18109848042374618,0.006027754805982113,8694,86.94,37056,1530688,12944,12944,0.5,1,9.387356042861938
39,36878,0.18062374569107675,0.006717247530817986,8562,85.62,36864,1567552,13122,13122,0.5,1,9.40719223022461
40,36709,0.17467682161309775,0.00542318099886179,8842,88.42,36672,1604224,13291,13291,0.5,1,9.318379163742065
