epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.1276691588822008,0.03024003859758377,2260,22.6,49984,49984,0,0,0.5,1,16.96897053718567
2,50000,1.8911852474861301,0.02784407002925873,3005,30.05,49984,99968,0,0,0.5,1,10.945956707000732
3,50000,1.6475695486715045,0.03605554394721985,2985,29.85,49984,149952,0,0,0.5,1,10.971538782119751
4,41238,1.2493238840580372,0.023822222352027893,4082,40.82,41216,191168,8762,8762,0.5,1,9.112931966781616
5,39855,1.0951734003167481,0.025377818596363066,4563,45.63,39808,230976,10145,10145,0.5,1,8.844757795333862
6,39323,0.9919659681822517,0.031299418020248417,3801,38.01,39296,270272,10677,10677,0.5,1,8.552277326583862
7,39056,0.9105631389856761,0.01870070967078209,5990,59.9,39040,309312,10944,10944,0.5,1,8.387165546417236
8,39238,0.8654755416032663,0.020891027587652208,5463,54.63,39232,348544,10762,10762,0.5,1,8.668573379516602
9,39129,0.8217289322079344,0.02189402876496315,5602,56.02,39104,387648,10871,10871,0.5,1,8.658984899520874
10,39184,0.7775526278668516,0.01702638111114502,6128,61.28,39168,426816,10816,10816,0.5,1,8.619857788085938
11,39226,0.7259948951118462,0.016975795644521712,6518,65.18,39168,465984,10774,10774,0.5,1,8.616467714309692
12,39109,0.7011792574294938,0.024100935184955596,5517,55.17,39104,505088,10891,10891,0.5,1,8.681061506271362
13,39113,0.6522946423788978,0.020256333684921263,5989,59.89,39104,544192,10887,10887,0.5,1,8.496624231338501
14,39031,0.6228803019950718,0.01834011355638504,6433,64.33,38976,583168,10969,10969,0.5,1,8.502559661865234
15,39136,0.6029574625209744,0.016196299076080323,6746,67.46,39104,622272,10864,10864,0.5,1,8.385283708572388
16,39165,0.5812993904910574,0.015305238527059555,7078,70.78,39104,661376,10835,10835,0.5,1,8.68894362449646
17,39015,0.5444550142136438,0.0156265767455101,6812,68.12,38976,700352,10985,10985,0.5,1,8.63895583152771
18,39108,0.5324930296053505,0.016456310498714447,6806,68.06,39104,739456,10892,10892,0.5,1,8.48478651046753
19,39050,0.5208407271440784,0.014409470897912979,7194,71.94,39040,778496,10950,10950,0.5,1,8.614023923873901
20,38960,0.48717406923590456,0.012704635047912598,7474,74.74,38912,817408,11040,11040,0.5,1,8.629137516021729
21,39073,0.4731697312035354,0.013822344064712524,7205,72.05,39040,856448,10927,10927,0.5,1,8.474395513534546
22,39037,0.45024434405562397,0.011218833282589913,7715,77.15,38976,895424,10963,10963,0.5,1,8.51858139038086
23,39085,0.4424844427956104,0.014501939988136292,7159,71.59,39040,934464,10915,10915,0.5,1,8.41299033164978
24,39127,0.4389240429078885,0.01322197047472,7391,73.91,39104,973568,10873,10873,0.5,1,8.650173902511597
25,39177,0.42421146435238544,0.010535786893963815,7860,78.6,39168,1012736,10823,10823,0.5,1,8.61390733718872
26,39001,0.3911336204264903,0.011556924256682395,7750,77.5,38976,1051712,10999,10999,0.5,1,8.505902528762817
27,39114,0.39636094507017217,0.011780494999885559,7638,76.38,39104,1090816,10886,10886,0.5,1,8.230408906936646
28,39066,0.38540718579351657,0.011859099119901658,7610,76.1,39040,1129856,10934,10934,0.5,1,8.741275787353516
29,39047,0.3752581831081298,0.010533670800924301,7872,78.72,39040,1168896,10953,10953,0.5,1,8.63403034210205
30,38880,0.3588569857356952,0.009779981800913811,8068,80.68,38848,1207744,11120,11120,0.5,1,8.502545833587646
31,38642,0.3579045929883875,0.0107698481798172,7949,79.49,38592,1246336,11358,11358,0.5,1,8.16306734085083
32,38072,0.3439489892458621,0.009340773209929466,8181,81.81,38016,1284352,11928,11928,0.5,1,8.321295261383057
33,37839,0.3385007522252023,0.00911105355322361,8141,81.41,37824,1322176,12161,12161,0.5,1,8.466747283935547
34,37790,0.32569541922550144,0.009935992839932442,7934,79.34,37760,1359936,12210,12210,0.5,1,8.393667697906494
35,37597,0.31738214208743915,0.009640899875760079,8069,80.69,37568,1397504,12403,12403,0.5,1,8.100056409835815
36,37684,0.3085610574916597,0.009321037070453167,8128,81.28,37632,1435136,12316,12316,0.5,1,8.350517511367798
37,37444,0.29953836266837264,0.010187495559453964,7923,79.23,37440,1472576,12556,12556,0.5,1,8.043626308441162
38,37512,0.29642163818878114,0.007386728666722775,8497,84.97,37504,1510080,12488,12488,0.5,1,8.279592037200928
39,37187,0.27949958554735566,0.00808384121954441,8371,83.71,37184,1547264,12813,12813,0.5,1,7.992598533630371
40,37140,0.27509225362355433,0.010117543402314187,7964,79.64,37120,1584384,12860,12860,0.5,1,8.233676195144653
41,37073,0.2666603886602598,0.008008285322785377,8385,83.85,37056,1621440,12927,12927,0.5,1,8.178814888000488
42,36891,0.2598958381551155,0.009436008381843566,8185,81.85,36864,1658304,13109,13109,0.5,1,8.148971557617188
43,36926,0.2532119980373883,0.008808847612142562,8225,82.25,36864,1695168,13074,13074,0.5,1,7.61970591545105
44,36840,0.24053957988488145,0.007801436553895474,8453,84.53,36800,1731968,13160,13160,0.5,1,8.180994510650635
45,36764,0.23312387095737672,0.006866491054743528,8630,86.3,36736,1768704,13236,13236,0.5,1,8.130130052566528
46,36765,0.23118173145922083,0.0065504264667630195,8680,86.8,36736,1805440,13235,13235,0.5,1,8.131388425827026
47,36808,0.2249512779892112,0.006603999191522598,8676,86.76,36800,1842240,13192,13192,0.5,1,7.967327356338501
48,36919,0.21821732185500511,0.00657845556885004,8639,86.39,36864,1879104,13081,13081,0.5,1,8.067058086395264
49,36915,0.21368803472392192,0.006469598950445652,8647,86.47,36864,1915968,13085,13085,0.5,1,8.151085138320923
50,37148,0.19751012181305982,0.006889609409868718,8630,86.3,37120,1953088,12852,12852,0.5,1,8.283255100250244
51,37053,0.1984294351644995,0.00636154183447361,8681,86.81,36992,1990080,12947,12947,0.5,1,8.00517725944519
52,36972,0.19326750683170568,0.006010324171185494,8753,87.53,36928,2027008,13028,13028,0.5,1,8.219629526138306
53,37086,0.17983697020600187,0.006767386867105961,8600,86.0,37056,2064064,12914,12914,0.5,1,8.087777853012085
54,37056,0.18076954449516,0.006209675200283527,8755,87.55,37056,2101120,12944,12944,0.5,1,8.005652904510498
55,37127,0.17504572216157102,0.006144082973152399,8758,87.58,37120,2138240,12873,12873,0.5,1,8.152285814285278
56,37128,0.1715422754060673,0.006134473414719105,8753,87.53,37120,2175360,12872,12872,0.5,1,8.321942329406738
57,37107,0.16656191994628766,0.005808468071371317,8826,88.26,37056,2212416,12893,12893,0.5,1,8.21300745010376
58,37157,0.15716143760177048,0.006373549455404282,8752,87.52,37120,2249536,12843,12843,0.5,1,7.762084245681763
59,37104,0.1582016170985787,0.006124531063437462,8815,88.15,37056,2286592,12896,12896,0.5,1,8.21982455253601
60,37015,0.1495364630538802,0.005859717316925525,8838,88.38,36992,2323584,12985,12985,0.5,1,8.247113943099976
61,37102,0.14410432037870355,0.006174422182142735,8736,87.36,37056,2360640,12898,12898,0.5,1,8.004730701446533
62,37124,0.14153644365879126,0.005760042454302311,8855,88.55,37120,2397760,12876,12876,0.5,1,8.216609001159668
63,36950,0.13319334690378887,0.005652797907590866,8868,88.68,36928,2434688,13050,13050,0.5,1,7.945730447769165
64,36995,0.1217193074726438,0.006064076100289821,8884,88.84,36992,2471680,13005,13005,0.5,1,8.097588062286377
65,36900,0.1271221860102035,0.005826066495478153,8864,88.64,36864,2508544,13100,13100,0.5,1,8.127108097076416
66,36892,0.117638740885944,0.006383109208941459,8787,87.87,36864,2545408,13108,13108,0.5,1,8.20726227760315
67,36956,0.11834660140728824,0.005710121513903141,8922,89.22,36928,2582336,13044,13044,0.5,1,7.897622108459473
68,36995,0.11275892099356766,0.006075678043812514,8862,88.62,36992,2619328,13005,13005,0.5,1,8.030420303344727
69,37166,0.11001146914286947,0.005922261071950197,8886,88.86,37120,2656448,12834,12834,0.5,1,8.237004041671753
70,37018,0.1074059227179662,0.005711113832890987,8902,89.02,36992,2693440,12982,12982,0.5,1,8.258121252059937
71,37044,0.10174066105733778,0.005766268543899059,8932,89.32,36992,2730432,12956,12956,0.5,1,7.719936847686768
72,37002,0.09959265885787992,0.0056389730304479595,8895,88.95,36992,2767424,12998,12998,0.5,1,8.048820972442627
73,36986,0.09539431714319237,0.0057782610602676865,8890,88.9,36928,2804352,13014,13014,0.5,1,8.241657257080078
74,37100,0.09169680325667653,0.005535566414147615,8945,89.45,37056,2841408,12900,12900,0.5,1,7.9236860275268555
75,36934,0.08174386029884366,0.005736509896814823,8966,89.66,36928,2878336,13066,13066,0.5,1,8.180665493011475
76,37078,0.08479109735953944,0.005208991542831064,9015,90.15,37056,2915392,12922,12922,0.5,1,7.99181866645813
77,36802,0.08189384332354793,0.005258448511362076,8991,89.91,36800,2952192,13198,13198,0.5,1,7.86650013923645
78,36905,0.07689351958452491,0.005779745823889971,8940,89.4,36864,2989056,13095,13095,0.5,1,8.218782901763916
79,36856,0.0715632484684439,0.005595714100822807,8964,89.64,36800,3025856,13144,13144,0.5,1,8.112617254257202
80,36870,0.06970860324152685,0.005285006802529096,9053,90.53,36864,3062720,13130,13130,0.5,1,7.70940899848938
81,36779,0.06638754282388253,0.005631772427260875,9018,90.18,36736,3099456,13221,13221,0.5,1,8.213213920593262
82,36661,0.06226816960278237,0.005448028134740889,9021,90.21,36608,3136064,13339,13339,0.5,1,8.223718881607056
83,36889,0.05843470737183579,0.005406880379840732,9044,90.44,36864,3172928,13111,13111,0.5,1,7.895405292510986
84,36668,0.057668370851703274,0.005484886222146452,9053,90.53,36608,3209536,13332,13332,0.5,1,7.923084735870361
85,36776,0.05182629173266572,0.005449345197528601,9107,91.07,36736,3246272,13224,13224,0.5,1,8.214034080505371
86,36764,0.049532501042490004,0.005841720902919769,8989,89.89,36736,3283008,13236,13236,0.5,1,7.910130977630615
87,36896,0.04680117945410033,0.005395910353958607,9085,90.85,36864,3319872,13104,13104,0.5,1,8.140926122665405
88,36874,0.04888258226136835,0.005483875904977321,9081,90.81,36864,3356736,13126,13126,0.5,1,8.11568307876587
89,36844,0.041645980177412736,0.005749941987544298,9076,90.76,36800,3393536,13156,13156,0.5,1,7.912381172180176
90,36660,0.03939895145186244,0.005808722068741917,9051,90.51,36608,3430144,13340,13340,0.5,1,8.141364336013794
91,36808,0.036388748341980894,0.005912718138843775,9049,90.49,36800,3466944,13192,13192,0.5,1,7.922194480895996
92,36814,0.03611963074310847,0.005433682217076421,9105,91.05,36800,3503744,13186,13186,0.5,1,7.866027116775513
93,36626,0.03600052708258882,0.005742409188672901,9076,90.76,36608,3540352,13374,13374,0.5,1,8.125304937362671
94,36987,0.034269991448842185,0.005510740129090846,9141,91.41,36928,3577280,13013,13013,0.5,1,8.260721445083618
95,36965,0.03139816625528025,0.005637125221267343,9124,91.24,36928,3614208,13035,13035,0.5,1,7.7023046016693115
96,36810,0.029119093399681006,0.005944833600893617,9096,90.96,36800,3651008,13190,13190,0.5,1,8.239806652069092
97,36754,0.024901006324744554,0.005788479868182913,9139,91.39,36736,3687744,13246,13246,0.5,1,8.213621139526367
98,36835,0.02686821615144966,0.005885489018447697,9109,91.09,36800,3724544,13165,13165,0.5,1,7.702261209487915
99,36845,0.025741272316287363,0.005693248035013676,9146,91.46,36800,3761344,13155,13155,0.5,1,8.1361722946167
100,36840,0.02603259167616634,0.005854802227020264,9087,90.87,36800,3798144,13160,13160,0.5,1,8.178742170333862
101,36788,0.021478841943160677,0.00606449249908328,9132,91.32,36736,3834880,13212,13212,0.5,1,7.853787183761597
102,36804,0.020331611554323795,0.0057563425030559305,9131,91.31,36800,3871680,13196,13196,0.5,1,7.837674617767334
103,36800,0.019781869485965553,0.0061888023100793365,9083,90.83,36800,3908480,13200,13200,0.5,1,8.198301553726196
104,36694,0.020122171615841903,0.00572958415299654,9144,91.44,36672,3945152,13306,13306,0.5,1,7.896639108657837
105,36596,0.017488609718617546,0.0060028970877407115,9152,91.52,36544,3981696,13404,13404,0.5,1,7.951651573181152
106,36670,0.01616310201160795,0.00585215775296092,9131,91.31,36608,4018304,13330,13330,0.5,1,8.098743915557861
107,36519,0.017167210092256406,0.006117884665634483,9104,91.04,36480,4054784,13481,13481,0.5,1,7.791466951370239
108,36538,0.014571017410076654,0.005928155010566116,9155,91.55,36480,4091264,13462,13462,0.5,1,8.176142454147339
109,36419,0.013968432621194026,0.005969581481069327,9158,91.58,36416,4127680,13581,13581,0.5,1,7.941426515579224
110,36477,0.009883557625859456,0.005999606698390562,9184,91.84,36416,4164096,13523,13523,0.5,1,7.7698986530303955
111,36534,0.012810180027374968,0.005797793162986636,9187,91.87,36480,4200576,13466,13466,0.5,1,8.112627506256104
112,36592,0.010774694513937554,0.005876269281283021,9171,91.71,36544,4237120,13408,13408,0.5,1,7.8676838874816895
113,36333,0.011327756222011959,0.006044403366185724,9179,91.79,36288,4273408,13667,13667,0.5,1,7.7182230949401855
114,36406,0.009943516412971379,0.005923741070274264,9170,91.7,36352,4309760,13594,13594,0.5,1,8.119966506958008
115,36294,0.008370738430731176,0.005928513718675822,9201,92.01,36288,4346048,13706,13706,0.5,1,8.112674474716187
116,36232,0.0078120330412920404,0.005990345956990496,9184,91.84,36224,4382272,13768,13768,0.5,1,7.6264488697052
117,36365,0.006385807204222312,0.006252145615778863,9183,91.83,36352,4418624,13635,13635,0.5,1,8.186758756637573
118,36198,0.007781509780917802,0.0060242251569055955,9205,92.05,36160,4454784,13802,13802,0.5,1,8.073904991149902
119,36246,0.007865827235121003,0.006494689270528034,9167,91.67,36224,4491008,13754,13754,0.5,1,7.4559783935546875
120,36107,0.007020581198407475,0.006274662858620286,9171,91.71,36096,4527104,13893,13893,0.5,1,8.053380250930786
121,36134,0.006143838483356427,0.006395779564417899,9191,91.91,36096,4563200,13866,13866,0.5,1,8.080497980117798
122,36302,0.006063365426020124,0.006296748165204189,9202,92.02,36288,4599488,13698,13698,0.5,1,7.653723239898682
123,36257,0.005735797976054657,0.006320514859538526,9188,91.88,36224,4635712,13743,13743,0.5,1,7.9334800243377686
124,36172,0.00566556719176637,0.0061506313301622866,9213,92.13,36160,4671872,13828,13828,0.5,1,8.03303575515747
125,36090,0.006123482660075002,0.006005977812409401,9213,92.13,36032,4707904,13910,13910,0.5,1,7.777589797973633
126,36045,0.006271735476789138,0.006360800463985652,9200,92.0,36032,4743936,13955,13955,0.5,1,7.668187379837036
127,36020,0.005668661355792781,0.005985807323746849,9247,92.47,35968,4779904,13980,13980,0.5,1,8.017334461212158
