epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,4.078309083251953,0.058964652585983275,1168,11.68,49984,49984,0,0,nan,0,19.71046805381775
2,50000,3.4710346286010743,0.05146886041164398,1967,19.67,49984,99968,0,0,nan,0,8.395854234695435
3,50000,3.0543661825561523,0.04616943085193634,2547,25.47,49984,149952,0,0,nan,0,9.553206205368042
4,50000,2.6686361567687986,0.04100211853981018,3230,32.3,49984,199936,0,0,nan,0,9.949561834335327
5,50000,2.327610315551758,0.038451482713222504,3661,36.61,49984,249920,0,0,nan,0,12.081283569335938
6,50000,2.0954074725341796,0.03560897171497345,4053,40.53,49984,299904,0,0,nan,0,12.017782926559448
7,50000,1.9372123950195312,0.032438527643680576,4465,44.65,49984,349888,0,0,nan,0,12.079763174057007
8,50000,1.8197331964111327,0.03276535209417343,4414,44.14,49984,399872,0,0,nan,0,12.094775438308716
9,50000,1.740689758605957,0.030088469123840333,4828,48.28,49984,449856,0,0,nan,0,12.041774272918701
10,50000,1.661274666748047,0.03170468884706497,4692,46.92,49984,499840,0,0,nan,0,12.036881446838379
11,50000,1.597696459197998,0.028163498926162718,5162,51.62,49984,549824,0,0,nan,0,11.921786785125732
12,50000,1.5450246907806398,0.02771379153728485,5169,51.69,49984,599808,0,0,nan,0,11.31584620475769
13,50000,1.4866914644622802,0.027304685068130493,5248,52.48,49984,649792,0,0,nan,0,10.950611352920532
14,50000,1.4405489904785156,0.027705678033828736,5282,52.82,49984,699776,0,0,nan,0,10.171905040740967
15,50000,1.394633272857666,0.027055236423015595,5297,52.97,49984,749760,0,0,nan,0,11.655065059661865
16,50000,1.350982105102539,0.025718548476696013,5445,54.45,49984,799744,0,0,nan,0,10.900016069412231
17,50000,1.3249932865142822,0.025362778210639952,5602,56.02,49984,849728,0,0,nan,0,9.895770072937012
18,50000,1.276082289428711,0.02646629376411438,5398,53.98,49984,899712,0,0,nan,0,11.704985618591309
19,50000,1.2403877401733399,0.0260056072473526,5496,54.96,49984,949696,0,0,nan,0,10.568488359451294
20,50000,1.2097199424743652,0.025627229046821593,5613,56.13,49984,999680,0,0,nan,0,10.049015760421753
21,50000,1.1721004831695556,0.025308115243911744,5669,56.69,49984,1049664,0,0,nan,0,11.916216850280762
22,50000,1.1410048184204102,0.02427668733596802,5859,58.59,49984,1099648,0,0,nan,0,10.424904346466064
23,50000,1.1039865242004394,0.024545314174890517,5829,58.29,49984,1149632,0,0,nan,0,10.01842713356018
24,50000,1.0733119999694825,0.022715396732091903,6055,60.55,49984,1199616,0,0,nan,0,12.08227276802063
25,50000,1.0297081859588624,0.022965728563070296,5994,59.94,49984,1249600,0,0,nan,0,12.041341543197632
26,50000,1.0053063871765138,0.023302029931545256,6012,60.12,49984,1299584,0,0,nan,0,12.045709371566772
27,50000,0.9727067018890381,0.023605908358097078,6021,60.21,49984,1349568,0,0,nan,0,11.98775029182434
28,50000,0.945422481842041,0.022668234992027282,6122,61.22,49984,1399552,0,0,nan,0,9.872231721878052
29,50000,0.909898226737976,0.022837627702951432,6104,61.04,49984,1449536,0,0,nan,0,11.908165454864502
30,50000,0.88319962059021,0.02172827016711235,6264,62.64,49984,1499520,0,0,nan,0,11.847389698028564
31,50000,0.8456790843200683,0.02232763195037842,6290,62.9,49984,1549504,0,0,nan,0,11.92655086517334
32,50000,0.8227722505950927,0.022018343138694763,6148,61.48,49984,1599488,0,0,nan,0,11.977811098098755
33,50000,0.7896312928390503,0.021565246349573134,6312,63.12,49984,1649472,0,0,nan,0,12.07258129119873
34,50000,0.758372096824646,0.02143216584920883,6418,64.18,49984,1699456,0,0,nan,0,12.072354316711426
35,50000,0.7259711808395386,0.021458699530363085,6335,63.35,49984,1749440,0,0,nan,0,12.09307074546814
36,50000,0.6952391860198974,0.022209325397014618,6251,62.51,49984,1799424,0,0,nan,0,12.107017755508423
37,50000,0.672496354675293,0.02061847231388092,6468,64.68,49984,1849408,0,0,nan,0,12.032040119171143
38,50000,0.6400012895584106,0.021572019016742706,6400,64.0,49984,1899392,0,0,nan,0,11.972713232040405
39,50000,0.6054753462982178,0.020867157304286958,6532,65.32,49984,1949376,0,0,nan,0,11.990163564682007
40,50000,0.593100775642395,0.020803029203414918,6399,63.99,49984,1999360,0,0,nan,0,12.013241529464722
41,50000,0.5603835565376282,0.021696810358762742,6337,63.37,49984,2049344,0,0,nan,0,12.053160667419434
42,50000,0.5264607461738586,0.020399942642450333,6618,66.18,49984,2099328,0,0,nan,0,12.070091247558594
