epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.6777399746704103,0.02295463788509369,4715,47.15,49984,49984,0,0,nan,0,143.02821397781372
2,50000,1.1393451837158204,0.016238874328136445,6360,63.6,49984,99968,0,0,nan,0,133.96674919128418
3,50000,0.8585428267669678,0.015290213054418564,6536,65.36,49984,149952,0,0,nan,0,135.47154474258423
4,50000,0.6992275701141357,0.011423335847258569,7456,74.56,49984,199936,0,0,nan,0,135.32094979286194
5,50000,0.6196674042129516,0.012284460306167602,7318,73.18,49984,249920,0,0,nan,0,132.82067894935608
6,50000,0.574585996055603,0.009136661487817764,7998,79.98,49984,299904,0,0,nan,0,136.26945805549622
7,50000,0.5480212469100952,0.01220656205713749,7360,73.6,49984,349888,0,0,nan,0,135.82497930526733
8,50000,0.5269425310897827,0.0087314586520195,8075,80.75,49984,399872,0,0,nan,0,133.22485876083374
9,50000,0.4998438851547241,0.010091804215312004,7837,78.37,49984,449856,0,0,nan,0,134.77662253379822
10,50000,0.4832386426734924,0.009282183872163296,7990,79.9,49984,499840,0,0,nan,0,135.4121277332306
11,50000,0.46095320178985594,0.00869589146822691,8101,81.01,49984,549824,0,0,nan,0,134.5506947040558
12,50000,0.446515719203949,0.008953849202394485,8076,80.76,49984,599808,0,0,nan,0,135.5135133266449
13,50000,0.4316114748191833,0.008056183984875679,8266,82.66,49984,649792,0,0,nan,0,136.09924149513245
14,50000,0.4131635242271423,0.008450405438244343,8234,82.34,49984,699776,0,0,nan,0,136.85156178474426
15,50000,0.41832885789871216,0.008870048803091049,8119,81.19,49984,749760,0,0,nan,0,135.70598673820496
16,50000,0.38777318157196045,0.008954132208228112,8116,81.16,49984,799744,0,0,nan,0,135.7284595966339
17,50000,0.37752646730422973,0.007679258221387863,8369,83.69,49984,849728,0,0,nan,0,135.09099960327148
18,50000,0.36760464698791506,0.006500432094931602,8557,85.57,49984,899712,0,0,nan,0,134.86208534240723
19,50000,0.3571839394569397,0.006354854799807071,8572,85.72,49984,949696,0,0,nan,0,135.19597578048706
20,50000,0.33979734723091126,0.007136262010037899,8456,84.56,49984,999680,0,0,nan,0,135.11552715301514
21,50000,0.3342604021072388,0.007073128287494183,8419,84.19,49984,1049664,0,0,nan,0,135.35468912124634
22,50000,0.327013472366333,0.007640043573081494,8383,83.83,49984,1099648,0,0,nan,0,134.24476766586304
23,50000,0.3217667544555664,0.006241301690042019,8631,86.31,49984,1149632,0,0,nan,0,134.9273726940155
24,50000,0.3083286929130554,0.0059485173031687735,8712,87.12,49984,1199616,0,0,nan,0,134.81294083595276
25,50000,0.29438396612167356,0.00697647023499012,8531,85.31,49984,1249600,0,0,nan,0,135.08028841018677
26,50000,0.2919543008708954,0.006964402185380459,8513,85.13,49984,1299584,0,0,nan,0,134.55936646461487
27,50000,0.2775075576686859,0.006418015782535076,8595,85.95,49984,1349568,0,0,nan,0,134.74095559120178
28,50000,0.269791753320694,0.00562846619784832,8792,87.92,49984,1399552,0,0,nan,0,135.07005882263184
