epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.4457545584106446,0.019510564410686493,5533,55.33,49984,49984,0,0,nan,0,11.330862522125244
2,50000,0.9702322132110596,0.013666813445091247,6889,68.89,49984,99968,0,0,nan,0,4.550568103790283
3,50000,0.755077593574524,0.010928085714578628,7580,75.8,49984,149952,0,0,nan,0,4.555325031280518
4,50000,0.6181421642303466,0.009897984603047371,7880,78.8,49984,199936,0,0,nan,0,4.568773984909058
5,50000,0.5350871878242492,0.008726892873644828,8101,81.01,49984,249920,0,0,nan,0,4.5872344970703125
6,50000,0.4781414910697937,0.007852401460707188,8321,83.21,49984,299904,0,0,nan,0,4.5692009925842285
7,50000,0.43131174480438234,0.007775998795777559,8317,83.17,49984,349888,0,0,nan,0,4.572203874588013
8,50000,0.38708625787734985,0.007035559730231762,8509,85.09,49984,399872,0,0,nan,0,4.582592725753784
9,50000,0.3501732755470276,0.006425851622968912,8614,86.14,49984,449856,0,0,nan,0,4.582568645477295
10,50000,0.32011873919487,0.007706460602581501,8344,83.44,49984,499840,0,0,nan,0,4.597918748855591
11,50000,0.29695776717185973,0.006863252367079258,8559,85.59,49984,549824,0,0,nan,0,4.588083505630493
12,50000,0.2719241402721405,0.005759964580833912,8790,87.9,49984,599808,0,0,nan,0,4.575150012969971
13,50000,0.25139057398796083,0.005956194850802421,8735,87.35,49984,649792,0,0,nan,0,4.5933918952941895
14,50000,0.2321196362876892,0.006706717392802239,8662,86.62,49984,699776,0,0,nan,0,4.574799299240112
15,50000,0.2174774004840851,0.005597184664011001,8792,87.92,49984,749760,0,0,nan,0,4.60005521774292
16,50000,0.19920701838254928,0.005305687826871872,8896,88.96,49984,799744,0,0,nan,0,4.571855306625366
17,50000,0.18446310364246368,0.005392136073112488,8910,89.1,49984,849728,0,0,nan,0,4.581763982772827
18,50000,0.17486005992174147,0.005464493138343096,8910,89.1,49984,899712,0,0,nan,0,4.588102340698242
19,50000,0.15940238403320311,0.005755777119845152,8816,88.16,49984,949696,0,0,nan,0,4.593826055526733
20,50000,0.14675248447418213,0.005262502719461918,8984,89.84,49984,999680,0,0,nan,0,4.597557306289673
21,50000,0.1401489532160759,0.0050688437297940255,8993,89.93,49984,1049664,0,0,nan,0,4.595194101333618
22,50000,0.13136115180253982,0.0052850518122315405,8999,89.99,49984,1099648,0,0,nan,0,4.591150760650635
23,50000,0.11811324028253556,0.00550062859877944,8940,89.4,49984,1149632,0,0,nan,0,4.601034164428711
24,50000,0.11564804555654526,0.004755484075844288,9089,90.89,49984,1199616,0,0,nan,0,4.5882720947265625
25,50000,0.10926795140624046,0.005260818257927895,9067,90.67,49984,1249600,0,0,nan,0,4.608043432235718
26,50000,0.09737853532612324,0.005194257014617324,9076,90.76,49984,1299584,0,0,nan,0,4.593092679977417
27,50000,0.09517586673319339,0.005591390437632799,9033,90.33,49984,1349568,0,0,nan,0,4.601879119873047
28,50000,0.08954365704298019,0.006016523695364594,8938,89.38,49984,1399552,0,0,nan,0,4.587640047073364
29,50000,0.08319057550430298,0.005143822741135955,9123,91.23,49984,1449536,0,0,nan,0,4.576257228851318
30,50000,0.0777861252757907,0.0054865859929472205,9048,90.48,49984,1499520,0,0,nan,0,4.5795087814331055
31,50000,0.0765580010330677,0.005302852725982666,9106,91.06,49984,1549504,0,0,nan,0,4.577363967895508
32,50000,0.07452873468279839,0.0057456757009029386,9041,90.41,49984,1599488,0,0,nan,0,4.586004257202148
33,50000,0.06668996754705905,0.005394160148128867,9082,90.82,49984,1649472,0,0,nan,0,4.5858752727508545
34,50000,0.06418249553233385,0.00543375639449805,9096,90.96,49984,1699456,0,0,nan,0,4.56925106048584
35,50000,0.06570063468247651,0.005564056861773133,9065,90.65,49984,1749440,0,0,nan,0,4.583517074584961
36,50000,0.05970705315589905,0.005334528717771172,9125,91.25,49984,1799424,0,0,nan,0,4.583327293395996
37,50000,0.05494356186851859,0.005709425646811724,9105,91.05,49984,1849408,0,0,nan,0,4.596831560134888
38,50000,0.05648312902584672,0.005862165876850486,9074,90.74,49984,1899392,0,0,nan,0,4.601022481918335
39,50000,0.05436183697462082,0.005567457800731063,9147,91.47,49984,1949376,0,0,nan,0,4.608605623245239
40,50000,0.05618951494395733,0.005419051867723465,9088,90.88,49984,1999360,0,0,nan,0,4.582498073577881
41,50000,0.04866490080922842,0.0052647304512560365,9178,91.78,49984,2049344,0,0,nan,0,4.575905084609985
42,50000,0.04692380242973566,0.005657137701660394,9114,91.14,49984,2099328,0,0,nan,0,4.596543788909912
43,50000,0.04766857332345098,0.006015499436482787,9088,90.88,49984,2149312,0,0,nan,0,4.6033713817596436
44,50000,0.04566048924610019,0.005350419775396586,9152,91.52,49984,2199296,0,0,nan,0,4.600531578063965
45,50000,0.046092967376559976,0.005770672296674457,9098,90.98,49984,2249280,0,0,nan,0,4.601189613342285
46,50000,0.04321548809379339,0.0057501809075474735,9125,91.25,49984,2299264,0,0,nan,0,4.592223644256592
47,50000,0.04014221744269133,0.0055118920713663104,9130,91.3,49984,2349248,0,0,nan,0,4.5927488803863525
48,50000,0.04334961327329278,0.006162609525024891,9099,90.99,49984,2399232,0,0,nan,0,4.599385023117065
49,50000,0.04148286111459136,0.006185244525969028,9067,90.67,49984,2449216,0,0,nan,0,4.608082056045532
50,50000,0.037512098609134556,0.005652671766467393,9182,91.82,49984,2499200,0,0,nan,0,4.592110872268677
51,50000,0.0374160167459026,0.005659205287694931,9166,91.66,49984,2549184,0,0,nan,0,4.602783679962158
52,50000,0.036058322697430846,0.005943611229211092,9144,91.44,49984,2599168,0,0,nan,0,4.596065044403076
53,50000,0.03306413664348423,0.006464004821330309,9086,90.86,49984,2649152,0,0,nan,0,4.570696115493774
54,50000,0.039616363621503115,0.006115625578165054,9130,91.3,49984,2699136,0,0,nan,0,4.5876243114471436
55,50000,0.032541442734599114,0.005672672571986914,9145,91.45,49984,2749120,0,0,nan,0,4.610881805419922
56,50000,0.03299584373630583,0.006789995757862925,9083,90.83,49984,2799104,0,0,nan,0,4.576396465301514
57,50000,0.03520804555639625,0.006457226421078667,9130,91.3,49984,2849088,0,0,nan,0,4.596415281295776
58,50000,0.029777057776879518,0.00619535869397223,9122,91.22,49984,2899072,0,0,nan,0,4.603088617324829
59,50000,0.03190480551049113,0.006124108732119203,9165,91.65,49984,2949056,0,0,nan,0,4.589092254638672
60,50000,0.029817074069529773,0.006093533477326855,9121,91.21,49984,2999040,0,0,nan,0,4.600726366043091
61,50000,0.030659814383238553,0.005879515259386971,9173,91.73,49984,3049024,0,0,nan,0,4.611442565917969
62,50000,0.02638375660708174,0.005932057927176357,9188,91.88,49984,3099008,0,0,nan,0,4.6079936027526855
63,50000,0.029750572397075594,0.006186985356174409,9166,91.66,49984,3148992,0,0,nan,0,4.600996255874634
64,50000,0.02906964460577816,0.00677569815441966,9113,91.13,49984,3198976,0,0,nan,0,4.592145919799805
65,50000,0.028462679624706506,0.006222527514025569,9175,91.75,49984,3248960,0,0,nan,0,4.590303421020508
66,50000,0.0290699949407205,0.005916388501017354,9172,91.72,49984,3298944,0,0,nan,0,4.611176252365112
67,50000,0.026608029208518565,0.005987565154395997,9173,91.73,49984,3348928,0,0,nan,0,4.603472471237183
68,50000,0.024345495567508042,0.006319411561638117,9148,91.48,49984,3398912,0,0,nan,0,4.590092658996582
69,50000,0.02679379953792319,0.006237182160560042,9158,91.58,49984,3448896,0,0,nan,0,4.594531774520874
70,50000,0.02345362344181165,0.005966025803983211,9169,91.69,49984,3498880,0,0,nan,0,4.598437547683716
71,50000,0.027202994057014585,0.005442037938069552,9215,92.15,49984,3548864,0,0,nan,0,4.601655960083008
72,50000,0.02350731889524497,0.00616914533264935,9196,91.96,49984,3598848,0,0,nan,0,4.618945837020874
73,50000,0.024477792452592403,0.006619087163917721,9120,91.2,49984,3648832,0,0,nan,0,4.594078063964844
74,50000,0.024208032590411602,0.006425839215889573,9177,91.77,49984,3698816,0,0,nan,0,4.595121383666992
75,50000,0.02341162717179395,0.006745701133832336,9128,91.28,49984,3748800,0,0,nan,0,4.583852052688599
76,50000,0.022735186419151725,0.006890270230174064,9132,91.32,49984,3798784,0,0,nan,0,4.586585283279419
77,50000,0.024898204864785074,0.005939488844200968,9184,91.84,49984,3848768,0,0,nan,0,4.583578109741211
78,50000,0.02013447445871774,0.006484428112208843,9170,91.7,49984,3898752,0,0,nan,0,4.605191707611084
79,50000,0.0215824014756456,0.006261516890302301,9165,91.65,49984,3948736,0,0,nan,0,4.612680435180664
80,50000,0.024515985926156864,0.0063977522313594815,9151,91.51,49984,3998720,0,0,nan,0,4.5893378257751465
81,50000,0.019429013593802228,0.006021423181891442,9203,92.03,49984,4048704,0,0,nan,0,4.582017421722412
82,50000,0.02110492335018702,0.00602794873919338,9226,92.26,49984,4098688,0,0,nan,0,4.601531267166138
83,50000,0.021716105234185233,0.006170028241723776,9209,92.09,49984,4148672,0,0,nan,0,4.580385208129883
84,50000,0.020075796618135647,0.0059771609665825965,9230,92.3,49984,4198656,0,0,nan,0,4.599944114685059
85,50000,0.020419222113336435,0.005834134171903134,9208,92.08,49984,4248640,0,0,nan,0,4.595147132873535
86,50000,0.017942275743158535,0.006349903201777488,9209,92.09,49984,4298624,0,0,nan,0,4.613109827041626
87,50000,0.02267945229242556,0.0061579241823405025,9174,91.74,49984,4348608,0,0,nan,0,4.597175598144531
88,50000,0.02007322542451322,0.006127910273894668,9190,91.9,49984,4398592,0,0,nan,0,4.588341474533081
89,50000,0.017938457890674473,0.006353578226268292,9191,91.91,49984,4448576,0,0,nan,0,4.597640514373779
90,50000,0.01781300104128197,0.006635443273931741,9175,91.75,49984,4498560,0,0,nan,0,4.579726219177246
91,50000,0.021662695845849813,0.006056740106339566,9219,92.19,49984,4548544,0,0,nan,0,4.595861196517944
