epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8855667028808594,0.02459064928293228,4231,42.31,49984,49984,0,0,nan,0,11.235111713409424
2,50000,1.3591944664001465,0.018335117548704146,5775,57.75,49984,99968,0,0,nan,0,4.500881910324097
3,50000,1.0467619316864014,0.01707800709605217,6186,61.86,49984,149952,0,0,nan,0,4.527528285980225
4,50000,0.8473251096725464,0.01206250954270363,7344,73.44,49984,199936,0,0,nan,0,4.533028841018677
5,50000,0.7385936767196656,0.012082403382658959,7369,73.69,49984,249920,0,0,nan,0,4.521694183349609
6,50000,0.6833710736083984,0.010785593816637993,7631,76.31,49984,299904,0,0,nan,0,4.521115064620972
7,50000,0.6523179021072387,0.013174296548962593,7251,72.51,49984,349888,0,0,nan,0,4.500629901885986
8,50000,0.6253900867080688,0.01183307757973671,7517,75.17,49984,399872,0,0,nan,0,4.51935601234436
9,50000,0.6045139562606812,0.010542363381385804,7670,76.7,49984,449856,0,0,nan,0,4.525514841079712
10,50000,0.5763836973571778,0.011604046645760537,7411,74.11,49984,499840,0,0,nan,0,4.5373594760894775
11,50000,0.575308860874176,0.010981278792023659,7577,75.77,49984,549824,0,0,nan,0,4.522771835327148
12,50000,0.5624917968559265,0.010485993871092796,7714,77.14,49984,599808,0,0,nan,0,4.523439407348633
13,50000,0.5479919605064392,0.01007879025042057,7810,78.1,49984,649792,0,0,nan,0,4.506365537643433
14,50000,0.5453712847137451,0.010020301908254623,7868,78.68,49984,699776,0,0,nan,0,4.529839515686035
15,50000,0.538118615989685,0.010326387986540795,7861,78.61,49984,749760,0,0,nan,0,4.536291599273682
16,50000,0.5244064762687684,0.0131073525339365,7187,71.87,49984,799744,0,0,nan,0,4.541068077087402
17,50000,0.5230555937767029,0.012135424327850341,7395,73.95,49984,849728,0,0,nan,0,4.525471925735474
18,50000,0.5209103914642333,0.011264550340175629,7537,75.37,49984,899712,0,0,nan,0,4.540556192398071
19,50000,0.512455444431305,0.009657810854911804,7919,79.19,49984,949696,0,0,nan,0,4.528156757354736
20,50000,0.5151991202545166,0.00904940419793129,8035,80.35,49984,999680,0,0,nan,0,4.511887073516846
21,50000,0.501996775894165,0.009940478837490082,7852,78.52,49984,1049664,0,0,nan,0,4.526501655578613
22,50000,0.5010468105506897,0.010364963814616204,7817,78.17,49984,1099648,0,0,nan,0,4.533203601837158
23,50000,0.4932164396476746,0.013581831046938896,7420,74.2,49984,1149632,0,0,nan,0,4.544970750808716
24,50000,0.49054570091247557,0.009988722693920135,7828,78.28,49984,1199616,0,0,nan,0,4.533879280090332
25,50000,0.4903046950531006,0.013640238544344901,7322,73.22,49984,1249600,0,0,nan,0,4.5039637088775635
26,50000,0.48843518884658815,0.011271727925539017,7621,76.21,49984,1299584,0,0,nan,0,4.530724763870239
27,50000,0.4838604564285278,0.011728397703170777,7576,75.76,49984,1349568,0,0,nan,0,4.524273633956909
28,50000,0.48716354221343994,0.009050390854477883,7998,79.98,49984,1399552,0,0,nan,0,4.5107457637786865
29,50000,0.4719991537666321,0.009213573721051216,8065,80.65,49984,1449536,0,0,nan,0,4.5204384326934814
30,50000,0.48083236501693727,0.011606977099180222,7580,75.8,49984,1499520,0,0,nan,0,4.515523433685303
31,50000,0.47595656421661375,0.010500509360432625,7779,77.79,49984,1549504,0,0,nan,0,4.526010036468506
32,50000,0.4702157497024536,0.010020230185985565,7832,78.32,49984,1599488,0,0,nan,0,4.535114288330078
33,50000,0.4743707260131836,0.008992906475067139,8095,80.95,49984,1649472,0,0,nan,0,4.523600339889526
