epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.96340878616333,0.02604562931060791,3777,37.77,49984,49984,0,0,nan,0,19.150782823562622
2,50000,1.4764742446899415,0.0212739415705204,5090,50.9,49984,99968,0,0,nan,0,12.193706035614014
3,50000,1.187876527404785,0.0185400843501091,5777,57.77,49984,149952,0,0,nan,0,12.227181911468506
4,50000,0.9843106806182861,0.018580359935760498,6031,60.31,49984,199936,0,0,nan,0,12.260566234588623
5,50000,0.8426285480499267,0.012726047843694686,7198,71.98,49984,249920,0,0,nan,0,12.164243221282959
6,50000,0.7313805112075805,0.015811289972066878,6748,67.48,49984,299904,0,0,nan,0,12.245224714279175
7,50000,0.6638394038772583,0.01139788154065609,7487,74.87,49984,349888,0,0,nan,0,12.154525995254517
8,50000,0.6225922924041748,0.01259422853589058,7262,72.62,49984,399872,0,0,nan,0,12.232579231262207
9,50000,0.5826420101165771,0.01067792928814888,7655,76.55,49984,449856,0,0,nan,0,12.252516269683838
10,50000,0.5588585648345947,0.012110285502672196,7269,72.69,49984,499840,0,0,nan,0,12.210141897201538
11,50000,0.5327766236495972,0.01040451026558876,7826,78.26,49984,549824,0,0,nan,0,12.231051683425903
12,50000,0.5107151822471618,0.008922269722819329,8102,81.02,49984,599808,0,0,nan,0,12.213738441467285
13,50000,0.4898367524719238,0.011103650623559952,7696,76.96,49984,649792,0,0,nan,0,12.269921064376831
14,50000,0.4720229804420471,0.00969863346517086,7892,78.92,49984,699776,0,0,nan,0,12.221986293792725
15,50000,0.46195559226989746,0.008957878449559212,8090,80.9,49984,749760,0,0,nan,0,12.215062856674194
16,50000,0.4371382571220398,0.008105348601937293,8256,82.56,49984,799744,0,0,nan,0,12.219801664352417
17,50000,0.42734743827819827,0.008233222803473472,8234,82.34,49984,849728,0,0,nan,0,12.241734266281128
18,50000,0.4070741593170166,0.008156340324878693,8234,82.34,49984,899712,0,0,nan,0,12.245818138122559
19,50000,0.39743033285140994,0.008170348465442658,8212,82.12,49984,949696,0,0,nan,0,12.217205286026001
20,50000,0.38935343643188475,0.00848122701793909,8206,82.06,49984,999680,0,0,nan,0,12.215252161026001
21,50000,0.3755345824241638,0.008908468648791313,8088,80.88,49984,1049664,0,0,nan,0,12.284330129623413
22,50000,0.36161097673416137,0.006354028411209583,8624,86.24,49984,1099648,0,0,nan,0,12.23368501663208
23,50000,0.3509882649993896,0.0070769126668572425,8472,84.72,49984,1149632,0,0,nan,0,12.159651279449463
24,50000,0.3380418213748932,0.00717563418596983,8482,84.82,49984,1199616,0,0,nan,0,12.219590425491333
25,50000,0.32893153510093687,0.006505789352953434,8606,86.06,49984,1249600,0,0,nan,0,12.19625997543335
26,50000,0.31963945532798765,0.0063545080527663235,8579,85.79,49984,1299584,0,0,nan,0,12.184662580490112
27,50000,0.3092295818519592,0.007438366711139679,8428,84.28,49984,1349568,0,0,nan,0,12.254684448242188
28,50000,0.2948466112232208,0.007384023578464985,8418,84.18,49984,1399552,0,0,nan,0,12.23548674583435
29,50000,0.29122277358055115,0.005982104129344225,8679,86.79,49984,1449536,0,0,nan,0,12.251203536987305
30,50000,0.2807746888780594,0.006460370028018952,8566,85.66,49984,1499520,0,0,nan,0,12.280521631240845
31,50000,0.27187174226760863,0.0058994250133633614,8728,87.28,49984,1549504,0,0,nan,0,12.204845905303955
32,50000,0.26441304619789124,0.006043579049408436,8716,87.16,49984,1599488,0,0,nan,0,12.187748193740845
33,50000,0.2562950100421906,0.005627875481545925,8776,87.76,49984,1649472,0,0,nan,0,12.243994951248169
34,50000,0.24558699133872985,0.005815358094871044,8767,87.67,49984,1699456,0,0,nan,0,12.26767086982727
35,50000,0.23508515976905822,0.0057902310594916346,8793,87.93,49984,1749440,0,0,nan,0,12.184173583984375
36,50000,0.23085136464595796,0.005300594063848257,8846,88.46,49984,1799424,0,0,nan,0,12.241551637649536
37,50000,0.2228197246646881,0.005138601634651422,8942,89.42,49984,1849408,0,0,nan,0,12.21356201171875
38,50000,0.21555294863224028,0.005789607725664973,8810,88.1,49984,1899392,0,0,nan,0,12.275893211364746
39,50000,0.20826982655525209,0.0052818316355347636,8867,88.67,49984,1949376,0,0,nan,0,12.289045572280884
40,50000,0.19914956881046295,0.005097576278448105,8920,89.2,49984,1999360,0,0,nan,0,12.329959869384766
41,50000,0.19168769331455232,0.005525106701999903,8853,88.53,49984,2049344,0,0,nan,0,12.259679079055786
42,50000,0.1847509233236313,0.005263985724002123,8874,88.74,49984,2099328,0,0,nan,0,12.233076095581055
43,50000,0.1788822978591919,0.00496914335489273,8957,89.57,49984,2149312,0,0,nan,0,12.253409624099731
44,50000,0.17372403948783874,0.005323464746773243,8852,88.52,49984,2199296,0,0,nan,0,12.270835161209106
45,50000,0.16726208508968354,0.00540007859915495,8879,88.79,49984,2249280,0,0,nan,0,12.233175039291382
46,50000,0.15813556513786317,0.005287843085080385,8951,89.51,49984,2299264,0,0,nan,0,12.232319355010986
47,50000,0.15320982971429825,0.005191771510988474,8974,89.74,49984,2349248,0,0,nan,0,12.231435060501099
48,50000,0.1422579116165638,0.0049147247672081,8997,89.97,49984,2399232,0,0,nan,0,12.313970565795898
49,50000,0.1355169270515442,0.004777814497426152,9043,90.43,49984,2449216,0,0,nan,0,12.277316808700562
50,50000,0.13380683713674546,0.004891512981057167,9021,90.21,49984,2499200,0,0,nan,0,12.062053680419922
51,50000,0.13084238200426102,0.004621143461018801,9043,90.43,49984,2549184,0,0,nan,0,12.283390045166016
52,50000,0.12249356721878052,0.005107243525236845,8981,89.81,49984,2599168,0,0,nan,0,12.287544250488281
53,50000,0.11617440522432328,0.004605350980162621,9061,90.61,49984,2649152,0,0,nan,0,12.26902985572815
54,50000,0.11367047805428505,0.004336398214101791,9122,91.22,49984,2699136,0,0,nan,0,12.194638967514038
55,50000,0.10329331832766533,0.004475100057572126,9124,91.24,49984,2749120,0,0,nan,0,12.188255071640015
56,50000,0.10022695063471794,0.004574967362359166,9068,90.68,49984,2799104,0,0,nan,0,12.196605205535889
57,50000,0.09257422416210175,0.004768365243077278,9059,90.59,49984,2849088,0,0,nan,0,12.23384404182434
58,50000,0.08709104537010193,0.004505489269644022,9105,91.05,49984,2899072,0,0,nan,0,12.235623836517334
59,50000,0.08760964991807937,0.0045312699075788256,9079,90.79,49984,2949056,0,0,nan,0,12.216288089752197
60,50000,0.07921377465128898,0.004951618478447199,9054,90.54,49984,2999040,0,0,nan,0,12.218952178955078
61,50000,0.07549862314105034,0.004155590918287635,9183,91.83,49984,3049024,0,0,nan,0,12.225646495819092
62,50000,0.07216866080522537,0.0044620641462504865,9164,91.64,49984,3099008,0,0,nan,0,12.236691951751709
63,50000,0.06470576088011265,0.004324432598799467,9159,91.59,49984,3148992,0,0,nan,0,12.215215921401978
64,50000,0.06439094403266907,0.004810395303368568,9091,90.91,49984,3198976,0,0,nan,0,12.246119499206543
65,50000,0.06264779468119144,0.004270319254696369,9206,92.06,49984,3248960,0,0,nan,0,12.219341278076172
66,50000,0.056365481491088866,0.004614551242813468,9184,91.84,49984,3298944,0,0,nan,0,12.228496313095093
67,50000,0.05789356886088848,0.00447943387106061,9172,91.72,49984,3348928,0,0,nan,0,12.234696388244629
68,50000,0.0470583456414938,0.004704252804070711,9132,91.32,49984,3398912,0,0,nan,0,12.195635318756104
69,50000,0.04814951990544796,0.004245931977778673,9196,91.96,49984,3448896,0,0,nan,0,12.323366165161133
70,50000,0.04322909624397755,0.004040776742249727,9258,92.58,49984,3498880,0,0,nan,0,12.04450273513794
71,50000,0.04230668919593096,0.004113346775434911,9230,92.3,49984,3548864,0,0,nan,0,12.185158967971802
72,50000,0.03893339416176081,0.00409807189553976,9264,92.64,49984,3598848,0,0,nan,0,12.200998067855835
73,50000,0.03357818234652281,0.0042980577679350975,9234,92.34,49984,3648832,0,0,nan,0,12.215471982955933
74,50000,0.030701266246587037,0.004114684740453958,9262,92.62,49984,3698816,0,0,nan,0,12.2929208278656
75,50000,0.029061039545089005,0.004199103039130569,9278,92.78,49984,3748800,0,0,nan,0,12.23031759262085
76,50000,0.027498165473937988,0.004203183309268207,9272,92.72,49984,3798784,0,0,nan,0,12.171916723251343
77,50000,0.02676560130700469,0.004131168797239662,9308,93.08,49984,3848768,0,0,nan,0,12.159002304077148
78,50000,0.0272519214117527,0.004229044849425555,9278,92.78,49984,3898752,0,0,nan,0,12.266033172607422
79,50000,0.023355314824581145,0.003952592235431075,9299,92.99,49984,3948736,0,0,nan,0,12.248955965042114
80,50000,0.017204512246996165,0.003969427207112313,9328,93.28,49984,3998720,0,0,nan,0,12.200401782989502
81,50000,0.01584321141257882,0.0038626258080825208,9339,93.39,49984,4048704,0,0,nan,0,12.245710849761963
82,50000,0.015348661280572414,0.004147563049010932,9317,93.17,49984,4098688,0,0,nan,0,12.25241994857788
83,50000,0.01492798902347684,0.0038518085036426783,9357,93.57,49984,4148672,0,0,nan,0,12.242150068283081
84,50000,0.014175385043770075,0.003845439431630075,9328,93.28,49984,4198656,0,0,nan,0,12.200814962387085
85,50000,0.012973905863016845,0.003928970612213016,9327,93.27,49984,4248640,0,0,nan,0,12.210849285125732
86,50000,0.010780520894154906,0.003928707219660282,9322,93.22,49984,4298624,0,0,nan,0,12.265799283981323
87,50000,0.008289538520127536,0.004056287951953709,9339,93.39,49984,4348608,0,0,nan,0,12.25706696510315
88,50000,0.009606983283385634,0.004109882933460176,9337,93.37,49984,4398592,0,0,nan,0,12.263609409332275
89,50000,0.008809242781698704,0.0039796756705269215,9359,93.59,49984,4448576,0,0,nan,0,12.27649474143982
90,50000,0.007288156885653734,0.003788350744359195,9378,93.78,49984,4498560,0,0,nan,0,12.121775388717651
91,50000,0.007651985182836652,0.003776579972729087,9372,93.72,49984,4548544,0,0,nan,0,12.205165147781372
92,50000,0.0067912059641629455,0.0038273942843079565,9384,93.84,49984,4598528,0,0,nan,0,12.254416465759277
93,50000,0.005890694251731038,0.0035877851389348506,9410,94.1,49984,4648512,0,0,nan,0,12.227247953414917
94,50000,0.00688019308514893,0.0037261611672118307,9395,93.95,49984,4698496,0,0,nan,0,12.25292706489563
95,50000,0.005151408526226879,0.0036599151084199546,9382,93.82,49984,4748480,0,0,nan,0,12.242669105529785
96,50000,0.004183333614617586,0.0036932110026478768,9420,94.2,49984,4798464,0,0,nan,0,12.240586280822754
97,50000,0.004347049789130687,0.0035139446390792728,9408,94.08,49984,4848448,0,0,nan,0,12.261220455169678
98,50000,0.004321092987582088,0.0035353479955345392,9422,94.22,49984,4898432,0,0,nan,0,12.209721326828003
99,50000,0.003727822915241122,0.003568320168927312,9420,94.2,49984,4948416,0,0,nan,0,12.195937633514404
100,50000,0.0036647316752374173,0.003501551166223362,9428,94.28,49984,4998400,0,0,nan,0,12.077057600021362
101,50000,0.003340582347586751,0.003554376421496272,9422,94.22,49984,5048384,0,0,nan,0,12.293408155441284
102,50000,0.00307565086312592,0.0036293184127658604,9394,93.94,49984,5098368,0,0,nan,0,12.284591436386108
