epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9399293424987794,0.025718693733215333,3914,39.14,49984,49984,0,0,nan,0,11.104987144470215
2,50000,1.5359323085021972,0.021676852440834046,4975,49.75,49984,99968,0,0,nan,0,4.484273433685303
3,50000,1.2760917519378663,0.018178094190359116,5858,58.58,49984,149952,0,0,nan,0,4.501940727233887
4,50000,1.05165467628479,0.01654659338593483,6256,62.56,49984,199936,0,0,nan,0,4.485755920410156
5,50000,0.8695186609649658,0.01279153513610363,7216,72.16,49984,249920,0,0,nan,0,4.48399543762207
6,50000,0.7505182946395874,0.012703060722351073,7280,72.8,49984,299904,0,0,nan,0,4.519348859786987
7,50000,0.6977726279067993,0.011308072417974472,7541,75.41,49984,349888,0,0,nan,0,4.537291765213013
8,50000,0.6569776163101196,0.011418177035450935,7542,75.42,49984,399872,0,0,nan,0,4.491034746170044
9,50000,0.6251091287612915,0.010525393477082253,7717,77.17,49984,449856,0,0,nan,0,4.506247282028198
10,50000,0.605045111541748,0.012392223989963532,7322,73.22,49984,499840,0,0,nan,0,4.543843984603882
11,50000,0.590438551120758,0.010782803070545197,7590,75.9,49984,549824,0,0,nan,0,4.528620719909668
12,50000,0.5758544646072388,0.010268389591574669,7797,77.97,49984,599808,0,0,nan,0,4.51235032081604
13,50000,0.5526297105407715,0.009891116288304328,7827,78.27,49984,649792,0,0,nan,0,4.504589080810547
14,50000,0.5514609349822998,0.012215142726898193,7510,75.1,49984,699776,0,0,nan,0,4.500455379486084
15,50000,0.5439112929725647,0.010184841123223305,7826,78.26,49984,749760,0,0,nan,0,4.497109413146973
16,50000,0.5306819595336915,0.013454177081584931,7164,71.64,49984,799744,0,0,nan,0,4.511711120605469
17,50000,0.521915955734253,0.011214821410179139,7584,75.84,49984,849728,0,0,nan,0,4.517940521240234
18,50000,0.5205982678031922,0.010225156340003014,7787,77.87,49984,899712,0,0,nan,0,4.502354145050049
19,50000,0.5114286605834961,0.008651822029054165,8082,80.82,49984,949696,0,0,nan,0,4.50575590133667
20,50000,0.5090748313903809,0.008471501466631889,8151,81.51,49984,999680,0,0,nan,0,4.496522665023804
21,50000,0.4959127638435364,0.010767377382516862,7769,77.69,49984,1049664,0,0,nan,0,4.4899725914001465
22,50000,0.500403276348114,0.010904593947529793,7617,76.17,49984,1099648,0,0,nan,0,4.495192050933838
23,50000,0.4871231322097778,0.011828238555788994,7469,74.69,49984,1149632,0,0,nan,0,4.514654874801636
24,50000,0.48421356349945066,0.013310626411437989,7219,72.19,49984,1199616,0,0,nan,0,4.529080629348755
25,50000,0.48315038314819336,0.02216504336595535,6092,60.92,49984,1249600,0,0,nan,0,4.524225234985352
26,50000,0.4779547022628784,0.008675953191518784,8170,81.7,49984,1299584,0,0,nan,0,4.513224840164185
27,50000,0.47032988105773926,0.008963429999351501,8034,80.34,49984,1349568,0,0,nan,0,4.510650873184204
28,50000,0.467897748298645,0.009096547147631645,8058,80.58,49984,1399552,0,0,nan,0,4.504901170730591
29,50000,0.4618479041481018,0.009848049345612526,7882,78.82,49984,1449536,0,0,nan,0,4.525336265563965
30,50000,0.4629127438545227,0.009933463679254056,7851,78.51,49984,1499520,0,0,nan,0,4.523516893386841
