epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8823582797241212,0.02695953109264374,3778,37.78,49984,49984,0,0,nan,0,11.220563411712646
2,50000,1.3858321643066407,0.0190389705657959,5661,56.61,49984,99968,0,0,nan,0,4.509488821029663
3,50000,1.076751464920044,0.01860148978829384,5951,59.51,49984,149952,0,0,nan,0,4.4912109375
4,50000,0.8666093790054321,0.01571440903544426,6560,65.6,49984,199936,0,0,nan,0,4.501931190490723
5,50000,0.7603080101013183,0.011855385527014732,7387,73.87,49984,249920,0,0,nan,0,4.5210206508636475
6,50000,0.6953637068176269,0.012982488405704498,7124,71.24,49984,299904,0,0,nan,0,4.501744031906128
7,50000,0.6614196858978272,0.011450688210129737,7564,75.64,49984,349888,0,0,nan,0,4.510004758834839
8,50000,0.6372104487991334,0.01228903089761734,7364,73.64,49984,399872,0,0,nan,0,4.5187599658966064
9,50000,0.6127662990188598,0.011254124319553376,7447,74.47,49984,449856,0,0,nan,0,4.514593124389648
10,50000,0.5906817527389526,0.016655516511201857,6466,64.66,49984,499840,0,0,nan,0,4.523619174957275
11,50000,0.5849681912612915,0.011767698499560357,7456,74.56,49984,549824,0,0,nan,0,4.516942501068115
12,50000,0.575382070388794,0.010635281300544738,7721,77.21,49984,599808,0,0,nan,0,4.518966197967529
13,50000,0.5618800239181518,0.0108202879935503,7701,77.01,49984,649792,0,0,nan,0,4.489723205566406
14,50000,0.5537870436859131,0.012171703651547431,7484,74.84,49984,699776,0,0,nan,0,4.497527599334717
15,50000,0.5562468266105652,0.010275023153424262,7790,77.9,49984,749760,0,0,nan,0,4.508688688278198
16,50000,0.5390643120574952,0.01305328085720539,7254,72.54,49984,799744,0,0,nan,0,4.499720811843872
17,50000,0.5343707958984375,0.015243869113922118,6779,67.79,49984,849728,0,0,nan,0,4.518230199813843
18,50000,0.5370457144927978,0.012254511141777039,7353,73.53,49984,899712,0,0,nan,0,4.5027382373809814
19,50000,0.5281277947998047,0.011631100741028785,7536,75.36,49984,949696,0,0,nan,0,4.512320280075073
20,50000,0.5285737578964234,0.008650272291898728,8146,81.46,49984,999680,0,0,nan,0,4.516882419586182
21,50000,0.5183632374191284,0.009319736579060555,7948,79.48,49984,1049664,0,0,nan,0,4.54059624671936
22,50000,0.5193661087989807,0.011412277472019195,7583,75.83,49984,1099648,0,0,nan,0,4.521423816680908
23,50000,0.5133127454566956,0.010220112401247025,7861,78.61,49984,1149632,0,0,nan,0,4.538316011428833
24,50000,0.5122958428573609,0.010671435207128524,7649,76.49,49984,1199616,0,0,nan,0,4.505245923995972
25,50000,0.5107968705368042,0.012089666348695755,7464,74.64,49984,1249600,0,0,nan,0,4.517688035964966
26,50000,0.505666542892456,0.011342777970433236,7636,76.36,49984,1299584,0,0,nan,0,4.517293691635132
27,50000,0.500431201248169,0.014314190059900284,7068,70.68,49984,1349568,0,0,nan,0,4.5077643394470215
