epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.12897249420166,0.030696092998981475,2214,22.14,49984,49984,0,0,nan,0,9.549495697021484
2,50000,1.8312015817260743,0.028046159291267397,2833,28.33,49984,99968,0,0,nan,0,3.984415054321289
3,50000,1.6244062590026855,0.026107327592372893,4103,41.03,49984,149952,0,0,nan,0,4.006540298461914
4,50000,1.4428384079742431,0.020437842404842376,5447,54.47,49984,199936,0,0,nan,0,3.9919962882995605
5,50000,1.2511627156066893,0.025861859238147735,4499,44.99,49984,249920,0,0,nan,0,4.017584323883057
6,50000,1.1452760859680176,0.020423693281412126,5695,56.95,49984,299904,0,0,nan,0,4.01897406578064
7,50000,1.0578002930450439,0.028339201295375822,5365,53.65,49984,349888,0,0,nan,0,4.017139673233032
8,50000,0.9763876165008545,0.014870293146371841,6863,68.63,49984,399872,0,0,nan,0,4.030139684677124
9,50000,0.9272998282623292,0.016394124495983122,6876,68.76,49984,449856,0,0,nan,0,4.033390998840332
10,50000,0.8796846927261353,0.015693417328596117,6822,68.22,49984,499840,0,0,nan,0,3.9979805946350098
11,50000,0.8388400706100464,0.016840037685632706,6698,66.98,49984,549824,0,0,nan,0,4.018432855606079
12,50000,0.7874807893753052,0.010599788637459279,7794,77.94,49984,599808,0,0,nan,0,3.9997775554656982
13,50000,0.7586665872192383,0.01258384390771389,7521,75.21,49984,649792,0,0,nan,0,4.029023885726929
14,50000,0.7292510012054443,0.012345668271183968,7504,75.04,49984,699776,0,0,nan,0,4.015754461288452
15,50000,0.6998656155776978,0.012807024270296096,7511,75.11,49984,749760,0,0,nan,0,4.004512786865234
16,50000,0.6851430096817016,0.011561071240901947,7636,76.36,49984,799744,0,0,nan,0,4.000008821487427
17,50000,0.6541624769973755,0.01623643054366112,7083,70.83,49984,849728,0,0,nan,0,4.001368999481201
18,50000,0.6281563932800293,0.01260074661374092,7428,74.28,49984,899712,0,0,nan,0,3.9971654415130615
19,50000,0.6130531881332397,0.016470241844654083,6836,68.36,49984,949696,0,0,nan,0,3.9948158264160156
20,50000,0.5934215590286255,0.011435105767846107,7837,78.37,49984,999680,0,0,nan,0,4.009975433349609
21,50000,0.5703449371337891,0.009733434787392616,8054,80.54,49984,1049664,0,0,nan,0,4.033249855041504
22,50000,0.5519667245864868,0.009882197400927543,7981,79.81,49984,1099648,0,0,nan,0,3.9885878562927246
23,50000,0.5372078450965881,0.009560742926597596,8057,80.57,49984,1149632,0,0,nan,0,4.0115134716033936
24,50000,0.517195596408844,0.009598372301459313,8026,80.26,49984,1199616,0,0,nan,0,3.9915707111358643
25,50000,0.506807442779541,0.008974119225144387,8199,81.99,49984,1249600,0,0,nan,0,4.001944303512573
26,50000,0.48535227613449095,0.00851855451464653,8244,82.44,49984,1299584,0,0,nan,0,3.9959800243377686
27,50000,0.47146443813323974,0.011099016693234444,7819,78.19,49984,1349568,0,0,nan,0,4.025829315185547
28,50000,0.4539670928955078,0.010488102075457573,8013,80.13,49984,1399552,0,0,nan,0,4.032453536987305
29,50000,0.4479505699157715,0.008016772577166558,8353,83.53,49984,1449536,0,0,nan,0,4.014406442642212
30,50000,0.42860417037963866,0.008667211012542248,8236,82.36,49984,1499520,0,0,nan,0,4.021821975708008
31,50000,0.4190017381286621,0.009085590301454068,8209,82.09,49984,1549504,0,0,nan,0,4.010320663452148
32,50000,0.40678325393676756,0.008505609521269799,8332,83.32,49984,1599488,0,0,nan,0,3.9997246265411377
33,50000,0.3902181855678558,0.007943797533214092,8450,84.5,49984,1649472,0,0,nan,0,4.010182619094849
34,50000,0.37913378465652464,0.007539925952255726,8445,84.45,49984,1699456,0,0,nan,0,4.0189666748046875
35,50000,0.3695166340255737,0.00685374791175127,8579,85.79,49984,1749440,0,0,nan,0,4.028780698776245
36,50000,0.3615933390235901,0.00654454869478941,8641,86.41,49984,1799424,0,0,nan,0,4.016400098800659
37,50000,0.3480845771789551,0.0073533374145627025,8495,84.95,49984,1849408,0,0,nan,0,3.9933316707611084
38,50000,0.33184548624038696,0.008754591372609139,8259,82.59,49984,1899392,0,0,nan,0,4.010954141616821
39,50000,0.3239178677845001,0.007226550316810608,8553,85.53,49984,1949376,0,0,nan,0,4.00611138343811
40,50000,0.3105095174407959,0.0064771869048476215,8660,86.6,49984,1999360,0,0,nan,0,3.9946651458740234
41,50000,0.3077128865337372,0.007192699194699526,8554,85.54,49984,2049344,0,0,nan,0,4.016831874847412
42,50000,0.29595576968193055,0.00703330312371254,8576,85.76,49984,2099328,0,0,nan,0,4.011951684951782
43,50000,0.28206436826705933,0.006708237786591053,8649,86.49,49984,2149312,0,0,nan,0,4.0057902336120605
44,50000,0.27253609155654906,0.006301037926971912,8737,87.37,49984,2199296,0,0,nan,0,4.04946494102478
45,50000,0.2655631588220596,0.006961648064851761,8653,86.53,49984,2249280,0,0,nan,0,4.0193190574646
46,50000,0.2586933252811432,0.005898752994090319,8807,88.07,49984,2299264,0,0,nan,0,3.985196352005005
47,50000,0.2477109621524811,0.006641466233879328,8697,86.97,49984,2349248,0,0,nan,0,3.99699330329895
48,50000,0.24014251914024354,0.007097161581367254,8603,86.03,49984,2399232,0,0,nan,0,4.0203187465667725
49,50000,0.232680472240448,0.006148698082566261,8788,87.88,49984,2449216,0,0,nan,0,4.010822772979736
50,50000,0.2200557775592804,0.005622784943878651,8857,88.57,49984,2499200,0,0,nan,0,3.9979071617126465
51,50000,0.21164469419956208,0.006680208270251751,8748,87.48,49984,2549184,0,0,nan,0,4.004311800003052
52,50000,0.20783224162578584,0.006185872222483158,8772,87.72,49984,2599168,0,0,nan,0,4.0326879024505615
53,50000,0.19900162292718887,0.006354186461865902,8747,87.47,49984,2649152,0,0,nan,0,4.017425537109375
54,50000,0.19272823857307433,0.005848489730805159,8844,88.44,49984,2699136,0,0,nan,0,4.005685329437256
55,50000,0.18098638065099718,0.006037252744287252,8855,88.55,49984,2749120,0,0,nan,0,4.012444019317627
56,50000,0.17898487623929976,0.005635974524915218,8873,88.73,49984,2799104,0,0,nan,0,4.009215831756592
57,50000,0.1684405345416069,0.0060038764484226705,8887,88.87,49984,2849088,0,0,nan,0,4.013902425765991
58,50000,0.16842220795154572,0.005554232208430767,8926,89.26,49984,2899072,0,0,nan,0,4.017364025115967
59,50000,0.15397788094520568,0.005833747027814388,8913,89.13,49984,2949056,0,0,nan,0,4.0028486251831055
60,50000,0.14994348405361174,0.005145387857034802,9037,90.37,49984,2999040,0,0,nan,0,4.005644083023071
61,50000,0.1438520918607712,0.00551925058066845,8964,89.64,49984,3049024,0,0,nan,0,4.031543970108032
62,50000,0.1365623240673542,0.006135746168345213,8846,88.46,49984,3099008,0,0,nan,0,4.016118288040161
63,50000,0.13019530145525932,0.005562900331988931,8921,89.21,49984,3148992,0,0,nan,0,4.017793655395508
64,50000,0.12399403649091721,0.005568039917945862,8959,89.59,49984,3198976,0,0,nan,0,4.011263847351074
65,50000,0.12160175964832307,0.00564487606715411,8952,89.52,49984,3248960,0,0,nan,0,4.012898683547974
66,50000,0.11506436298131943,0.0054419006366282704,8983,89.83,49984,3298944,0,0,nan,0,3.9963297843933105
67,50000,0.10872203890442848,0.007505169399082661,8707,87.07,49984,3348928,0,0,nan,0,4.045032262802124
68,50000,0.10909557723641396,0.005679462448135018,8942,89.42,49984,3398912,0,0,nan,0,4.0155415534973145
69,50000,0.09881925515949726,0.0055831887912005185,9000,90.0,49984,3448896,0,0,nan,0,4.0103960037231445
70,50000,0.0962018158841133,0.0054924778826534746,9007,90.07,49984,3498880,0,0,nan,0,4.009265422821045
71,50000,0.09611347947478294,0.005701342555135489,8956,89.56,49984,3548864,0,0,nan,0,3.989346981048584
72,50000,0.08771770067512989,0.0052512556307017805,9060,90.6,49984,3598848,0,0,nan,0,4.008869409561157
73,50000,0.08003280313372611,0.005511796998977661,9051,90.51,49984,3648832,0,0,nan,0,4.011057376861572
74,50000,0.08089836481690407,0.0054797210725024345,9031,90.31,49984,3698816,0,0,nan,0,3.9904539585113525
75,50000,0.06937609868884087,0.005612367714941502,9028,90.28,49984,3748800,0,0,nan,0,3.9962711334228516
76,50000,0.06693370555013418,0.005281523733586073,9058,90.58,49984,3798784,0,0,nan,0,4.013542652130127
77,50000,0.06603054932951927,0.0058321099255234,9011,90.11,49984,3848768,0,0,nan,0,4.040539503097534
78,50000,0.06252310733675957,0.005742080647498369,9031,90.31,49984,3898752,0,0,nan,0,3.9992198944091797
79,50000,0.060968550717532634,0.006032309601083398,8951,89.51,49984,3948736,0,0,nan,0,3.9967551231384277
80,50000,0.05759368629872799,0.0056773736648261545,9070,90.7,49984,3998720,0,0,nan,0,4.010700702667236
81,50000,0.05657724373936653,0.005640643135085702,9034,90.34,49984,4048704,0,0,nan,0,4.0139429569244385
82,50000,0.04697330287799239,0.005792463890463114,9100,91.0,49984,4098688,0,0,nan,0,3.9804608821868896
83,50000,0.04638078714773059,0.006145225664973259,9029,90.29,49984,4148672,0,0,nan,0,4.000120162963867
84,50000,0.04610583271682262,0.005286778855323792,9136,91.36,49984,4198656,0,0,nan,0,4.009951114654541
85,50000,0.042241742497235536,0.0057929593376815315,9089,90.89,49984,4248640,0,0,nan,0,3.996842861175537
86,50000,0.041433397059440616,0.006402509025856853,9045,90.45,49984,4298624,0,0,nan,0,4.018691062927246
87,50000,0.038530612247884274,0.005796338334679603,9087,90.87,49984,4348608,0,0,nan,0,4.008718013763428
88,50000,0.03699743190661073,0.005741231359541416,9091,90.91,49984,4398592,0,0,nan,0,4.011660099029541
89,50000,0.03299922400474548,0.0053958029810339215,9141,91.41,49984,4448576,0,0,nan,0,3.9965150356292725
90,50000,0.031959902284890415,0.0053065128149464725,9173,91.73,49984,4498560,0,0,nan,0,4.012707471847534
91,50000,0.028067333455830814,0.005775537267699838,9158,91.58,49984,4548544,0,0,nan,0,3.999826669692993
92,50000,0.026387058485150338,0.005867430476658046,9132,91.32,49984,4598528,0,0,nan,0,3.9966683387756348
93,50000,0.02262709591910243,0.005827134365029633,9162,91.62,49984,4648512,0,0,nan,0,4.003794193267822
94,50000,0.023497924967929722,0.0056416211852803825,9195,91.95,49984,4698496,0,0,nan,0,3.9989895820617676
95,50000,0.02224976633757353,0.005998194251209498,9093,90.93,49984,4748480,0,0,nan,0,3.989701509475708
96,50000,0.02105588908687234,0.0061528439672663806,9123,91.23,49984,4798464,0,0,nan,0,4.003950595855713
97,50000,0.020630978848189114,0.005918557068705559,9144,91.44,49984,4848448,0,0,nan,0,4.032940626144409
98,50000,0.019495252441316842,0.0055225112587213515,9204,92.04,49984,4898432,0,0,nan,0,3.9985806941986084
99,50000,0.01695891987942159,0.005734946297481656,9176,91.76,49984,4948416,0,0,nan,0,3.987699031829834
100,50000,0.014107662390843033,0.005687030060961842,9203,92.03,49984,4998400,0,0,nan,0,3.9933290481567383
101,50000,0.015285083706900477,0.005799196759425104,9191,91.91,49984,5048384,0,0,nan,0,4.002143383026123
102,50000,0.015000696576610208,0.005705813771113753,9220,92.2,49984,5098368,0,0,nan,0,4.012318849563599
103,50000,0.01263015304416418,0.006211669009272009,9168,91.68,49984,5148352,0,0,nan,0,4.0147528648376465
104,50000,0.01414454661630094,0.005661073415959254,9227,92.27,49984,5198336,0,0,nan,0,4.01451849937439
105,50000,0.009437418169230223,0.005522279003076255,9265,92.65,49984,5248320,0,0,nan,0,3.9975063800811768
106,50000,0.011000277394577861,0.00603000271981582,9194,91.94,49984,5298304,0,0,nan,0,4.00324821472168
107,50000,0.008942725542411208,0.00591413141656667,9203,92.03,49984,5348288,0,0,nan,0,3.9970598220825195
108,50000,0.008337261065393686,0.005751995102316141,9241,92.41,49984,5398272,0,0,nan,0,4.000532150268555
109,50000,0.00946988769069314,0.00585799549780786,9209,92.09,49984,5448256,0,0,nan,0,3.9867639541625977
110,50000,0.007942785037755966,0.005925820396840573,9226,92.26,49984,5498240,0,0,nan,0,3.9916772842407227
111,50000,0.006859324504211545,0.0055744608302833515,9255,92.55,49984,5548224,0,0,nan,0,3.975287437438965
112,50000,0.007544794073216617,0.00582370740454644,9235,92.35,49984,5598208,0,0,nan,0,4.0219056606292725
113,50000,0.006124773596003652,0.00588821180909872,9221,92.21,49984,5648192,0,0,nan,0,4.029786109924316
114,50000,0.00676235678717494,0.005852300127223134,9236,92.36,49984,5698176,0,0,nan,0,3.9822232723236084
115,50000,0.006329796200543642,0.006006931093893946,9218,92.18,49984,5748160,0,0,nan,0,3.993657112121582
116,50000,0.00510849907040596,0.006159386810660362,9213,92.13,49984,5798144,0,0,nan,0,4.0002195835113525
