method,batch_size,n_samples,peak_mem_used_delta_mib,mean_gpu_util_pct,mean_power_w,mean_epoch_time_s,backprop_saved_pct_short_run
baseline,32,110,1036.0,67.12727272727273,356.9220909090909,6.848987847566605,0.031999999999998696
ies_shipped,32,121,1036.0,61.16528925619835,345.1910743801653,7.550270289182663,0.039999999999995595
tgies,32,129,1478.0,58.91472868217054,331.6008527131783,8.068184107542038,0.12799999999999478
baseline,64,86,1158.0,66.77906976744185,395.3562790697674,5.337200611829758,0.031999999999998696
ies_shipped,64,102,1216.0,59.09803921568628,354.9992156862745,6.355621188879013,0.048000000000003595
tgies,64,115,1454.0,51.84347826086957,316.9264347826087,7.181761831045151,0.12799999999999478
baseline,128,78,1566.0,67.25641025641026,406.93371794871797,4.809041857719421,0.16000000000000458
ies_shipped,128,92,1586.0,58.43478260869565,367.57065217391306,5.720454216003418,0.16000000000000458
tgies,128,118,1586.0,47.53389830508475,307.33542372881357,7.36906623840332,0.16000000000000458
baseline,256,79,2432.0,70.58227848101266,408.64367088607594,4.896580010652542,0.16000000000000458
ies_shipped,256,86,4122.0,65.06976744186046,394.09732558139535,5.346112102270126,0.16000000000000458
tgies,256,112,4122.0,52.25892857142857,321.66723214285713,7.017025172710419,0.28799999999999937
