epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9011257717493666,0.024706225991249085,4281,42.81,49984,49984,0,0,0.5,1,32.57026124000549
2,35856,1.1622331239223014,0.02230197020769119,4857,48.57,35840,85824,14144,14144,0.5,1,16.353673219680786
3,35492,0.9898019800958366,0.02003856628537178,5553,55.53,35456,121280,14508,14508,0.5,1,16.115103721618652
4,34932,0.864745621897889,0.01532776660323143,6536,65.36,34880,156160,15068,15068,0.5,1,15.874228239059448
5,34391,0.7696852474330187,0.014463571864366531,6755,67.55,34368,190528,15609,15609,0.5,1,15.70177173614502
6,33878,0.6738825707505167,0.015274589240550996,6818,68.18,33856,224384,16122,16122,0.5,1,15.441269874572754
7,33420,0.6062146955398477,0.014022640717029572,6979,69.79,33408,257792,16580,16580,0.5,1,15.35680365562439
8,33689,0.5721837925089311,0.011725975370407104,7459,74.59,33664,291456,16311,16311,0.5,1,15.392542839050293
9,33175,0.5389178235775027,0.010883589681982993,7600,76.0,33152,324608,16825,16825,0.5,1,15.200389862060547
10,32907,0.5071218762860753,0.014237213772535324,7047,70.47,32896,357504,17093,17093,0.5,1,15.05715823173523
11,32648,0.4803300570202164,0.012634844353795052,7393,73.93,32640,390144,17352,17352,0.5,1,14.963497161865234
12,32527,0.45884914099392327,0.009635563164949417,7846,78.46,32512,422656,17473,17473,0.5,1,14.913431167602539
13,32703,0.43301812452074795,0.010495632779598236,7798,77.98,32640,455296,17297,17297,0.5,1,14.996474027633667
14,32306,0.41396879598997954,0.008517193368077278,8137,81.37,32256,487552,17694,17694,0.5,1,14.841294050216675
15,32168,0.39915384994598896,0.01061560873389244,7812,78.12,32128,519680,17832,17832,0.5,1,14.67090106010437
16,31988,0.38950800237073235,0.007321378390491008,8429,84.29,31936,551616,18012,18012,0.5,1,14.666125059127808
17,31968,0.3709936752350434,0.008667798759043216,8162,81.62,31936,583552,18032,18032,0.5,1,14.749745845794678
18,31667,0.3558099899213016,0.009242953354120254,8104,81.04,31616,615168,18333,18333,0.5,1,14.652726173400879
19,31638,0.3464674425411074,0.008671082496643067,8130,81.3,31616,646784,18362,18362,0.5,1,14.620488166809082
20,31617,0.3291428584801017,0.0066212726756930355,8545,85.45,31616,678400,18383,18383,0.5,1,14.612879753112793
21,31519,0.3202769684115389,0.00781963229700923,8367,83.67,31488,709888,18481,18481,0.5,1,14.549416303634644
22,31389,0.3078464744420117,0.007322109732031823,8432,84.32,31360,741248,18611,18611,0.5,1,14.447748899459839
23,31452,0.30380260311158713,0.008496772450208663,8169,81.69,31424,772672,18548,18548,0.5,1,14.519286394119263
24,31264,0.2896507777899246,0.0065475353926420215,8625,86.25,31232,803904,18736,18736,0.5,1,14.429258346557617
25,31185,0.28228961079803316,0.007223037032783031,8434,84.34,31168,835072,18815,18815,0.5,1,14.36675477027893
26,31097,0.26789848668417615,0.006428302212059498,8630,86.3,31040,866112,18903,18903,0.5,1,14.307896614074707
27,31104,0.2594096712369239,0.00665622921437025,8543,85.43,31104,897216,18896,18896,0.5,1,14.336031913757324
