epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.192938672986078,0.029924341332912444,2331,23.31,49984,49984,0,0,0.5,1,16.93354368209839
2,37392,1.4448439585917257,0.02792252769470215,2715,27.15,37376,87360,12608,12608,0.5,1,8.607134580612183
3,38444,1.402088737666225,0.026706603801250457,3420,34.2,38400,125760,11556,11556,0.5,1,8.473337173461914
4,37492,1.2917469911812447,0.024239186787605286,4192,41.92,37440,163200,12508,12508,0.5,1,8.309526681900024
5,36467,1.2071072792610222,0.024754976558685304,3705,37.05,36416,199616,13533,13533,0.5,1,8.051407098770142
6,35902,1.1052605060358651,0.033696130287647244,4613,46.13,35840,235456,14098,14098,0.5,1,7.957566261291504
7,35315,1.024499310523143,0.028582111716270446,4459,44.59,35264,270720,14685,14685,0.5,1,7.900447368621826
8,34901,0.9720509954077038,0.01938731191754341,5821,58.21,34880,305600,15099,15099,0.5,1,7.772474050521851
9,34828,0.9159911627600141,0.016885899829864503,6299,62.99,34816,340416,15172,15172,0.5,1,7.845596790313721
10,34897,0.8765196346901171,0.01956207503080368,5979,59.79,34880,375296,15103,15103,0.5,1,7.880206823348999
11,34533,0.8301366873115673,0.020965545696020126,5951,59.51,34496,409792,15467,15467,0.5,1,7.646605730056763
12,34506,0.7867286157265488,0.016422048199176788,6411,64.11,34496,444288,15494,15494,0.5,1,7.69895601272583
13,34232,0.7530398895097419,0.017148368799686432,6734,67.34,34176,478464,15768,15768,0.5,1,7.660369157791138
14,33888,0.712655761344209,0.014740295445919037,7167,71.67,33856,512320,16112,16112,0.5,1,7.558780193328857
15,33748,0.6798364510002423,0.013818582955002785,7318,73.18,33728,546048,16252,16252,0.5,1,7.502119302749634
16,33341,0.6512434158315875,0.014076641464233399,7283,72.83,33280,579328,16659,16659,0.5,1,7.426112174987793
17,33170,0.626624487128278,0.014386333298683166,7164,71.64,33152,612480,16830,16830,0.5,1,7.3748509883880615
18,33246,0.6069758841888604,0.016121647375822067,6852,68.52,33216,645696,16754,16754,0.5,1,7.705670118331909
19,32913,0.5784222122451026,0.017564357250928878,6999,69.99,32896,678592,17087,17087,0.5,1,7.453781843185425
20,32778,0.5665900658170394,0.012742372563481331,7611,76.11,32768,711360,17222,17222,0.5,1,7.335958480834961
21,32825,0.5444107009466692,0.010531343972682954,7836,78.36,32768,744128,17175,17175,0.5,1,7.3620994091033936
22,32607,0.5187301616302267,0.009368170276284218,8140,81.4,32576,776704,17393,17393,0.5,1,7.311659336090088
23,32414,0.5044432286697844,0.011965741410851478,7638,76.38,32384,809088,17586,17586,0.5,1,7.269999980926514
24,32016,0.48394588384116005,0.009920174911618233,7958,79.58,32000,841088,17984,17984,0.5,1,7.218835830688477
25,32232,0.4777140862485535,0.01238801679611206,7557,75.57,32192,873280,17768,17768,0.5,1,7.3993213176727295
26,32188,0.4668350179370823,0.010387715685367584,7945,79.45,32128,905408,17812,17812,0.5,1,7.215420961380005
27,31916,0.435980663184648,0.009965444898605347,8059,80.59,31872,937280,18084,18084,0.5,1,7.146847248077393
28,31723,0.42470597225576384,0.00938291702568531,8080,80.8,31680,968960,18277,18277,0.5,1,7.1237053871154785
29,31721,0.41634426715886547,0.00868858336955309,8276,82.76,31680,1000640,18279,18279,0.5,1,7.0403406620025635
30,31682,0.39720030677897616,0.008951021286845207,8155,81.55,31680,1032320,18318,18318,0.5,1,7.020383596420288
31,31765,0.39184942330822914,0.008307562446594238,8297,82.97,31744,1064064,18235,18235,0.5,1,7.170939207077026
32,31444,0.3787916299825629,0.008313349786400795,8320,83.2,31424,1095488,18556,18556,0.5,1,7.176851987838745
33,31405,0.3685512863714452,0.011241046759486199,7844,78.44,31360,1126848,18595,18595,0.5,1,7.000295400619507
34,31391,0.348622365882378,0.010021197359263897,8111,81.11,31360,1158208,18609,18609,0.5,1,7.03285813331604
35,31286,0.3458364115937705,0.008448857426643372,8251,82.51,31232,1189440,18714,18714,0.5,1,6.975534439086914
36,31386,0.32678208955968113,0.008748186886310577,8243,82.43,31360,1220800,18614,18614,0.5,1,6.989581108093262
37,31302,0.31927996162064654,0.007053247706592083,8549,85.49,31296,1252096,18698,18698,0.5,1,7.199091196060181
38,31213,0.30253488087831343,0.007097494834661483,8540,85.4,31168,1283264,18787,18787,0.5,1,7.239958763122559
39,31037,0.2967961167828975,0.007318887311220169,8486,84.86,30976,1314240,18963,18963,0.5,1,6.954372406005859
40,31133,0.2890734412237755,0.007481539091467857,8480,84.8,31104,1345344,18867,18867,0.5,1,6.98581337928772
41,30912,0.27294172192740085,0.008680188488960267,8253,82.53,30912,1376256,19088,19088,0.5,1,6.973318815231323
42,30706,0.2614419154811012,0.008538782820105553,8353,83.53,30656,1406912,19294,19294,0.5,1,6.886590957641602
43,30811,0.2628917363605737,0.007433362770080567,8526,85.26,30784,1437696,19189,19189,0.5,1,6.892012596130371
44,30670,0.25163069773563446,0.007438896964490413,8457,84.57,30656,1468352,19330,19330,0.5,1,7.185399293899536
45,30542,0.2387030425165137,0.006434655960649252,8669,86.69,30528,1498880,19458,19458,0.5,1,6.879384994506836
46,30593,0.23572577740761294,0.006906780495494604,8577,85.77,30592,1529472,19407,19407,0.5,1,6.919942855834961
47,30504,0.2219973167593945,0.007426709480583668,8506,85.06,30464,1559936,19496,19496,0.5,1,6.847895622253418
48,30471,0.21724826212604448,0.006379567078500986,8705,87.05,30464,1590400,19529,19529,0.5,1,6.792500019073486
49,30582,0.20778206262993826,0.007406664348393679,8473,84.73,30528,1620928,19418,19418,0.5,1,6.816893577575684
50,30548,0.20131603421801997,0.007737387464940548,8567,85.67,30528,1651456,19452,19452,0.5,1,6.849356412887573
51,30369,0.19299439853392136,0.006208410142362118,8793,87.93,30336,1681792,19631,19631,0.5,1,7.010268449783325
52,30299,0.1849435487188234,0.007240967364609241,8582,85.82,30272,1712064,19701,19701,0.5,1,6.812354564666748
53,30326,0.17343085027932856,0.006613898818194866,8689,86.89,30272,1742336,19674,19674,0.5,1,6.823407173156738
54,30209,0.17555490934432716,0.006014211389422416,8776,87.76,30208,1772544,19791,19791,0.5,1,6.791485786437988
55,30139,0.1697665365894369,0.006915963988006115,8667,86.67,30080,1802624,19861,19861,0.5,1,6.739927053451538
56,29882,0.15688307413516867,0.006955340859293938,8636,86.36,29824,1832448,20118,20118,0.5,1,6.756709575653076
57,30122,0.1480847878921649,0.00639242397621274,8765,87.65,30080,1862528,19878,19878,0.5,1,7.020470857620239
58,30060,0.14625432371787891,0.005975649996101856,8818,88.18,30016,1892544,19940,19940,0.5,1,6.901850461959839
59,29767,0.14334025252505692,0.005836883959174156,8880,88.8,29760,1922304,20233,20233,0.5,1,6.64573335647583
60,29780,0.12855104229510522,0.006024331311136484,8911,89.11,29760,1952064,20220,20220,0.5,1,6.759042739868164
61,29729,0.12683027023942942,0.006017930990457535,8849,88.49,29696,1981760,20271,20271,0.5,1,6.708685874938965
62,29815,0.12302464726063204,0.005330379260331392,8995,89.95,29760,2011520,20185,20185,0.5,1,6.70789361000061
63,29593,0.1127184410772868,0.005416597306728363,8959,89.59,29568,2041088,20407,20407,0.5,1,6.968459129333496
64,29752,0.11001039960716175,0.005851559248194098,8885,88.85,29696,2070784,20248,20248,0.5,1,6.74432635307312
65,29417,0.10586646010545585,0.00572642417922616,8960,89.6,29376,2100160,20583,20583,0.5,1,6.522089242935181
66,29440,0.10190564803052672,0.005535967795550823,8954,89.54,29440,2129600,20560,20560,0.5,1,6.591742277145386
67,29557,0.09464859720573746,0.0055527915455400945,8966,89.66,29504,2159104,20443,20443,0.5,1,6.5414769649505615
68,29456,0.0942349065638768,0.00632457380592823,8877,88.77,29440,2188544,20544,20544,0.5,1,6.752910852432251
69,29615,0.08458194808021578,0.0055336862936615945,9022,90.22,29568,2218112,20385,20385,0.5,1,6.986816644668579
70,29347,0.08461588265080101,0.005353617738187313,9041,90.41,29312,2247424,20653,20653,0.5,1,6.706008434295654
71,29323,0.07806286037104883,0.005494403325393796,9027,90.27,29312,2276736,20677,20677,0.5,1,6.641704082489014
72,29252,0.07440031500441899,0.0056411717265844345,8977,89.77,29248,2305984,20748,20748,0.5,1,6.669768571853638
73,29194,0.07190031795509245,0.005664010507240891,9016,90.16,29184,2335168,20806,20806,0.5,1,6.641940355300903
74,29439,0.06888970811273945,0.005848862781561911,9016,90.16,29376,2364544,20561,20561,0.5,1,6.6720240116119385
75,29045,0.06607065450417168,0.005438965392112732,9028,90.28,28992,2393536,20955,20955,0.5,1,6.797879934310913
76,29315,0.05804389661865474,0.0058097067940980195,9020,90.2,29312,2422848,20685,20685,0.5,1,6.62239408493042
77,28934,0.05750223934244498,0.005898248746991157,8982,89.82,28928,2451776,21066,21066,0.5,1,6.465909719467163
78,28915,0.05657367911191157,0.006013503417745232,8993,89.93,28864,2480640,21085,21085,0.5,1,6.518495559692383
79,28849,0.05199582657441726,0.00592763264849782,9000,90.0,28800,2509440,21151,21151,0.5,1,6.301352500915527
80,28933,0.04879156358073016,0.005890954141318798,9020,90.2,28928,2538368,21067,21067,0.5,1,6.844026327133179
81,28813,0.04509228311670156,0.005756817305088043,9082,90.82,28800,2567168,21187,21187,0.5,1,6.409361839294434
82,28689,0.041808508824791125,0.005594087268039584,9100,91.0,28672,2595840,21311,21311,0.5,1,6.516592264175415
83,28878,0.042922195836917344,0.005892097342759371,9053,90.53,28864,2624704,21122,21122,0.5,1,6.535841226577759
84,28481,0.04090447893815107,0.005876211379468441,9084,90.84,28480,2653184,21519,21519,0.5,1,6.611430883407593
85,28477,0.03611730862775906,0.005808891415782273,9098,90.98,28416,2681600,21523,21523,0.5,1,6.6078901290893555
86,28529,0.03436253476194279,0.005781576528586447,9095,90.95,28480,2710080,21471,21471,0.5,1,6.625445604324341
87,28739,0.03498675214393861,0.0062023608226329085,9088,90.88,28736,2738816,21261,21261,0.5,1,6.489151239395142
88,28465,0.032419699457115606,0.0055419089578092095,9112,91.12,28416,2767232,21535,21535,0.5,1,6.467230558395386
89,28368,0.03164663549644459,0.005868490947410464,9088,90.88,28352,2795584,21632,21632,0.5,1,6.441695690155029
90,28247,0.027559733248275143,0.006133355110138654,9076,90.76,28224,2823808,21753,21753,0.5,1,6.511841297149658
91,28307,0.028079545421925603,0.005881671728938818,9081,90.81,28288,2852096,21693,21693,0.5,1,6.58702540397644
92,28254,0.022328344251732572,0.005859823072422296,9110,91.1,28224,2880320,21746,21746,0.5,1,6.383726596832275
93,28195,0.02434129376525606,0.005898397962469608,9118,91.18,28160,2908480,21805,21805,0.5,1,6.391488790512085
94,28480,0.02006922184898392,0.005977740381367039,9143,91.43,28480,2936960,21520,21520,0.5,1,6.349918842315674
95,28396,0.023474374809220436,0.005660541037283838,9150,91.5,28352,2965312,21604,21604,0.5,1,6.363869667053223
96,28077,0.01853537025589812,0.0055899428970180454,9172,91.72,28032,2993344,21923,21923,0.5,1,6.460341930389404
97,28025,0.015545635500918215,0.006320103318430483,9110,91.1,27968,3021312,21975,21975,0.5,1,6.267398118972778
98,28177,0.01651989468564778,0.00629888079687953,9095,90.95,28160,3049472,21823,21823,0.5,1,6.354509353637695
99,27997,0.01701286172583894,0.006037786486372352,9156,91.56,27968,3077440,22003,22003,0.5,1,6.433124780654907
100,28063,0.01752036231832388,0.005877366056293249,9147,91.47,28032,3105472,21937,21937,0.5,1,6.473312616348267
101,28023,0.013908141528616491,0.0060665687464177605,9158,91.58,27968,3133440,21977,21977,0.5,1,6.565759658813477
102,27951,0.013599775822518109,0.005894516577292234,9174,91.74,27904,3161344,22049,22049,0.5,1,6.340289831161499
103,27772,0.010832410337413353,0.006450778844300658,9121,91.21,27712,3189056,22228,22228,0.5,1,6.280243873596191
