run_name,model,fwd_mflops_per_inst,bwd_mflops_per_inst,bwd_fwd_ratio,N,epochs,cum_backprop_instances,backprop_saved_pct,flop_saved_pct
alignprune_cifar100_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,7746368,22.53632,15.016227467977295
alignprune_cifar10_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,7924864,20.75136,13.826886644753234
alignprune_cifar10_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,7911872,20.881280000000004,13.913453940240682
alignprune_cifar10_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,7914880,20.851200000000002,13.893411265916
alignprune_cifar10_vgg16_SGD_exponential_learning_rate_seed0,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,7727360,22.7264,15.137455520686615
baseline_cifar100_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar100_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar100_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed0,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9996800,0.031999999999998696,0.02141586438945131
baseline_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed1,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9996800,0.031999999999998696,0.02141586438945131
baseline_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed2,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9996800,0.031999999999998696,0.02141586438945131
baseline_cifar10_densenet121_SGD_exponential_learning_rate_seed0,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,9996800,0.031999999999998696,0.021326246452135766
baseline_cifar10_densenet121_SGD_exponential_learning_rate_seed1,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,9996800,0.031999999999998696,0.021326246452135766
baseline_cifar10_densenet121_SGD_exponential_learning_rate_seed2,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,9996800,0.031999999999998696,0.021326246452135766
baseline_cifar10_resnet18_Adam_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_Adam_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_Adam_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_cosine_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_fixed_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_fixed_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_fixed_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_linear_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_resnet18_SGD_step_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,9996800,0.031999999999998696,0.02132199396241985
baseline_cifar10_vgg16_SGD_exponential_learning_rate_seed0,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,9996800,0.031999999999998696,0.021314355844392896
baseline_cifar10_vgg16_SGD_exponential_learning_rate_seed1,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,9996800,0.031999999999998696,0.021314355844392896
baseline_cifar10_vgg16_SGD_exponential_learning_rate_seed2,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,9996800,0.031999999999998696,0.021314355844392896
baseline_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed0,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9996800,0.031999999999998696,0.02141586438945131
baseline_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed1,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9996800,0.031999999999998696,0.02141586438945131
baseline_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed2,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9996800,0.031999999999998696,0.02141586438945131
bls_infobatch_cifar100_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6906560,30.934399999999997,20.61197156347605
bls_infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6409984,35.90016,23.920718586565137
bls_infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6410560,35.894400000000005,23.916880627651892
bls_infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6426432,35.73568,23.811123537598267
bls_infobatch_cifar10_vgg16_SGD_exponential_learning_rate_seed0,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,6362048,36.37952,24.231438585254562
ies_alg1_cifar100_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8181568,18.18432,12.116436289087517
ies_alg1_cifar100_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8168320,18.3168,12.204709344091958
ies_alg1_cifar100_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8101760,18.9824,12.648206818510388
ies_alg1_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed0,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8771648,12.283520000000003,8.220693704534154
ies_alg1_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed1,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8730048,12.699519999999998,8.499099941596999
ies_alg1_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed2,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8745024,12.54976,8.398873696254372
ies_alg1_cifar10_densenet121_SGD_exponential_learning_rate_seed0,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,4804096,51.95904,34.62785288926518
ies_alg1_cifar10_densenet121_SGD_exponential_learning_rate_seed1,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,4773312,52.26687999999999,34.833011380134735
ies_alg1_cifar10_densenet121_SGD_exponential_learning_rate_seed2,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,4941376,50.586240000000004,33.712956916468464
ies_alg1_cifar10_resnet18_Adam_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,4020224,59.79776,39.843983677703974
ies_alg1_cifar10_resnet18_Adam_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,3961280,60.38719999999999,40.23673480649184
ies_alg1_cifar10_resnet18_Adam_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,3990208,60.09792,40.04398398107152
ies_alg1_cifar10_resnet18_SGD_cosine_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8375168,16.248320000000007,10.826455654360812
ies_alg1_cifar10_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5140864,48.591359999999995,32.37702139206281
ies_alg1_cifar10_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5099648,49.00352,32.65164867429884
ies_alg1_cifar10_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5053376,49.46623999999999,32.95996470699551
ies_alg1_cifar10_resnet18_SGD_fixed_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5040000,49.6,33.04909064175844
ies_alg1_cifar10_resnet18_SGD_fixed_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5062272,49.37728,32.90068956377996
ies_alg1_cifar10_resnet18_SGD_fixed_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5072576,49.274240000000006,32.83203274322095
ies_alg1_cifar10_resnet18_SGD_linear_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,7525056,24.74944,16.49085657041859
ies_alg1_cifar10_resnet18_SGD_step_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6773056,32.26944,21.501525151588417
ies_alg1_cifar10_vgg16_SGD_exponential_learning_rate_seed0,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,5814592,41.85408,27.877898583113
ies_alg1_cifar10_vgg16_SGD_exponential_learning_rate_seed1,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,5854592,41.454080000000005,27.61146913505811
ies_alg1_cifar10_vgg16_SGD_exponential_learning_rate_seed2,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,6025920,39.7408,26.470298523149406
ies_alg1_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed0,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8294976,17.050240000000006,11.41080086398657
ies_alg1_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed1,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8352192,16.478079999999995,11.027885208703214
ies_alg1_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed2,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8347648,16.52352,11.058295736136238
ies_shipped_cifar100_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8826112,11.738879999999996,7.821760265175914
ies_shipped_cifar100_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8800768,11.992320000000001,7.990630457358316
ies_shipped_cifar100_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8780864,12.191359999999996,8.123253259804597
ies_shipped_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed0,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9179904,8.200960000000002,5.488457725728157
ies_shipped_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed1,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9137600,8.623999999999999,5.771575452956689
ies_shipped_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed2,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,9167040,8.329600000000003,5.574549500573744
ies_shipped_cifar10_densenet121_SGD_exponential_learning_rate_seed0,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,5181056,48.18944,32.11562105720335
ies_shipped_cifar10_densenet121_SGD_exponential_learning_rate_seed1,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,5021312,49.78688,33.180227280094066
ies_shipped_cifar10_densenet121_SGD_exponential_learning_rate_seed2,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,5216512,47.83488,31.87932624651365
ies_shipped_cifar10_resnet18_Adam_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,4396352,56.03648,37.337796507360565
ies_shipped_cifar10_resnet18_Adam_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,4419584,55.80416,37.18299883119336
ies_shipped_cifar10_resnet18_Adam_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,4376576,56.23424,37.46956643004835
ies_shipped_cifar10_resnet18_SGD_cosine_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,8763392,12.366080000000002,8.239671346839438
ies_shipped_cifar10_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5464448,45.355520000000006,30.22094136258241
ies_shipped_cifar10_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5391104,46.08896,30.709641464201187
ies_shipped_cifar10_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5446528,45.53471999999999,30.34034452877199
ies_shipped_cifar10_resnet18_SGD_fixed_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5528832,44.71168,29.79194284405843
ies_shipped_cifar10_resnet18_SGD_fixed_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5544576,44.55424,29.687038633763297
ies_shipped_cifar10_resnet18_SGD_fixed_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,5576640,44.233599999999996,29.4733922542598
ies_shipped_cifar10_resnet18_SGD_linear_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,7917696,20.823040000000002,13.874647911229065
ies_shipped_cifar10_resnet18_SGD_step_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,7208128,27.918719999999997,18.602586852457137
ies_shipped_cifar10_vgg16_SGD_exponential_learning_rate_seed0,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,6132672,38.67328,25.759251612180513
ies_shipped_cifar10_vgg16_SGD_exponential_learning_rate_seed1,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,6253952,37.46048,24.951437525678088
ies_shipped_cifar10_vgg16_SGD_exponential_learning_rate_seed2,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,6300864,36.99135999999999,24.638969068999316
ies_shipped_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed0,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8662848,13.371520000000004,8.948833093775443
ies_shipped_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed1,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8702528,12.974719999999994,8.68327637534626
ies_shipped_cifar10_vit_tiny_cifar_AdamW_warmup_cosine_seed2,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,8694144,13.058559999999996,8.739385940046617
infobatch_cifar100_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6482688,35.173120000000004,23.436282883738848
infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6107072,38.92928,25.939058535048265
infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6108864,38.911359999999995,25.927118218429314
infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,6109632,38.903679999999994,25.92200093987832
infobatch_cifar10_vgg16_SGD_exponential_learning_rate_seed0,vgg16,664.223744,1324.908544,1.9946720603833157,50000,200,6108160,38.9184,25.922519577948556
tgies_cifar100_resnet18_SGD_exponential_learning_rate_seed0,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,4219392,57.80608,38.516902773482656
tgies_cifar100_resnet18_SGD_exponential_learning_rate_seed1,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,4226688,57.73311999999999,38.46828862724833
tgies_cifar100_resnet18_SGD_exponential_learning_rate_seed2,resnet18,1110.84544,2218.151936,1.9968141886597652,50000,200,4224832,57.75167999999999,38.48065538374653
tgies_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed0,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,7377408,26.225920000000002,17.55158581901738
tgies_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed1,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,7356672,26.433280000000003,17.690360620261004
tgies_cifar100_vit_tiny_cifar_AdamW_warmup_cosine_seed2,vit_tiny_cifar,365.699328,739.953408,2.023392856767842,50000,200,7382656,26.173440000000003,17.51646380141868
tgies_cifar10_densenet121_SGD_exponential_learning_rate_seed0,densenet121,1776.70144,3549.863936,1.9980081380470993,50000,200,4527488,54.725120000000004,36.471293632587965
