epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,4.013235978088379,0.058241919589042665,1245,12.45,49984,49984,0,0,0.002,0,20.60852289199829
2,50000,3.3650072216796874,0.050064098119735716,2130,21.3,49984,99968,0,0,0.002,0,12.165708065032959
3,50000,2.831532135620117,0.04504926109313965,2803,28.03,49984,149952,48,48,0.002,0,12.287297487258911
4,49952,2.400163426818848,0.037858812379837035,3671,36.71,49920,199872,38,38,0.002,0,15.87421727180481
5,49962,2.1338840879821777,0.03856387597322464,3675,36.75,49920,249792,43,43,0.002,0,16.364775896072388
6,49957,1.9400859150695802,0.03216801646947861,4505,45.05,49920,299712,62,62,0.002,0,15.789207458496094
7,49938,1.8202827017211913,0.032339123821258545,4551,45.51,49920,349632,103,102,0.002,0,16.23885703086853
8,49897,1.7189559840393067,0.031243690979480744,4716,47.16,49856,399488,136,131,0.002,0,11.933225870132446
9,49864,1.6376686630249024,0.027135281383991242,5289,52.89,49856,449344,192,182,0.002,0,12.05691123008728
10,49808,1.5694180291748048,0.02768312522172928,5174,51.74,49792,499136,198,183,0.002,0,12.020186424255371
11,49802,1.525679570236206,0.02782565448284149,5204,52.04,49792,548928,214,192,0.002,0,12.109325408935547
12,49786,1.4664973291015626,0.026537270557880403,5364,53.64,49728,598656,256,243,0.002,0,12.131097316741943
13,49744,1.4199039164733886,0.027072672259807588,5238,52.38,49728,648384,325,301,0.002,0,12.110978126525879
14,49675,1.3759316762542724,0.025134563493728636,5630,56.3,49664,698048,355,311,0.002,0,12.157099962234497
15,49645,1.3412767040252687,0.02488445829153061,5621,56.21,49600,747648,343,303,0.002,0,12.142159223556519
16,49657,1.296209391479492,0.024245325350761415,5757,57.57,49600,797248,404,366,0.002,0,12.120636940002441
17,49596,1.2543217807006837,0.0246991511285305,5645,56.45,49536,846784,418,376,0.002,0,12.169902086257935
18,49582,1.2219402542114257,0.023421286618709566,5836,58.36,49536,896320,469,417,0.002,0,12.125310182571411
19,49531,1.182284384613037,0.0223546531021595,6057,60.57,49472,945792,541,467,0.002,0,12.159033298492432
20,49459,1.153325749053955,0.023436000645160673,5858,58.58,49408,995200,620,524,0.002,0,12.107900857925415
21,49380,1.122279500579834,0.023643155896663666,5833,58.33,49344,1044544,599,490,0.002,0,12.085794925689697
22,49401,1.0971589527130128,0.02254082116484642,5990,59.9,49344,1093888,657,519,0.002,0,12.090675115585327
23,49343,1.061112315979004,0.02271404323577881,5973,59.73,49280,1143168,760,622,0.002,0,11.915496826171875
24,49240,1.0265332945251464,0.02123557143211365,6225,62.25,49216,1192384,775,622,0.002,0,11.937767028808594
25,49225,0.9906219928741455,0.02088847689628601,6320,63.2,49216,1241600,857,668,0.002,0,11.990529298782349
26,49143,0.9711345755386352,0.02143522098660469,6227,62.27,49088,1290688,890,665,0.002,0,12.088470697402954
