epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.7089948068237304,0.02376599442958832,4450,44.5,49984,49984,0,0,0.001,0,147.48027229309082
2,50000,1.219674309158325,0.017883916902542114,6041,60.41,49984,99968,0,0,0.001,0,147.9282305240631
3,50000,0.9285826638793945,0.013597097259759904,6915,69.15,49984,149952,22,22,0.001,0,147.68741822242737
4,49978,0.7691682464981079,0.012873071110248565,7121,71.21,49920,199872,98,98,0.001,0,152.28546690940857
5,49902,0.6554900899505616,0.011599938026070594,7437,74.37,49856,249728,314,313,0.001,0,146.88132071495056
6,49686,0.5926244549560546,0.011015787589550019,7606,76.06,49664,299392,480,474,0.001,0,147.84771299362183
7,49520,0.5564148432731628,0.010425813710689544,7764,77.64,49472,348864,674,650,0.001,0,145.242041349411
8,49326,0.5295969669151306,0.0101212945997715,7829,78.29,49280,398144,796,750,0.001,0,147.5389859676361
9,49204,0.5119580435943604,0.009684796568751335,7933,79.33,49152,447296,915,866,0.001,0,145.39579486846924
10,49085,0.48524051864624024,0.009949107775092125,7864,78.64,49024,496320,1072,965,0.001,0,144.30759072303772
11,48928,0.462850606842041,0.010020375922322274,7853,78.53,48896,545216,1076,956,0.001,0,144.50970649719238
12,48924,0.4480634739112854,0.008785099425911904,8137,81.37,48896,594112,1259,1119,0.001,0,144.34924864768982
13,48741,0.43150902339935304,0.008829383209347725,8125,81.25,48704,642816,1542,1323,0.001,0,144.03598809242249
14,48458,0.4194767021751404,0.009708191001415253,7935,79.35,48448,691264,1604,1382,0.001,0,144.3611524105072
15,48396,0.3999348027229309,0.008158161467313766,8233,82.33,48384,739648,1688,1374,0.001,0,144.11869406700134
16,48312,0.3876272118186951,0.007785786479711533,8369,83.69,48256,787904,1779,1440,0.001,0,144.9464373588562
17,48221,0.377658069229126,0.007885538698732854,8296,82.96,48192,836096,2098,1746,0.001,0,144.70995450019836
18,47902,0.365159374294281,0.007637210687994957,8331,83.31,47872,883968,2070,1641,0.001,0,143.21613764762878
19,47930,0.35306158078193667,0.007525428712368012,8376,83.76,47872,931840,2211,1711,0.001,0,143.35204648971558
20,47789,0.3391910618209839,0.007179072900116444,8446,84.46,47744,979584,2400,1841,0.001,0,140.25243377685547
21,47600,0.33337381050109866,0.007072731859982014,8499,84.99,47552,1027136,2650,2072,0.001,0,141.13005828857422
22,47350,0.3191494877433777,0.007812488064169884,8351,83.51,47296,1074432,2651,1942,0.001,0,141.19266414642334
23,47349,0.30936771326065066,0.006580355729162693,8605,86.05,47296,1121728,2884,2120,0.001,0,141.03984141349792
24,47116,0.3007282343673706,0.00628154794126749,8625,86.25,47104,1168832,3128,2246,0.001,0,140.39413285255432
25,46872,0.2900217987918854,0.006291192692518234,8641,86.41,46848,1215680,3334,2370,0.001,0,140.36183762550354
26,46666,0.28084942553520204,0.0066482823655009265,8596,85.96,46656,1262336,3423,2391,0.001,0,140.17053985595703
27,46577,0.2693346679210663,0.006185525353252888,8677,86.77,46528,1308864,3685,2469,0.001,0,138.84791827201843
