epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.4094974996185303,0.01857128192782402,5937,59.37,49984,49984,0,0,0.001,0,21.32722759246826
2,50000,0.9563260089874268,0.013815446132421494,6904,69.04,49984,99968,0,0,0.001,0,12.099343538284302
3,50000,0.757744764251709,0.012339566904306412,7312,73.12,49984,149952,68,68,0.001,0,12.014087915420532
4,49932,0.6252974877548217,0.011222552064061165,7613,76.13,49920,199872,316,313,0.001,0,12.387728929519653
5,49684,0.5437303919219971,0.009235734036564826,8008,80.08,49664,249536,858,841,0.001,0,12.372779846191406
6,49142,0.484312796497345,0.011171706426143646,7694,76.94,49088,298624,1305,1187,0.001,0,12.263577699661255
7,48695,0.43246312299728396,0.009804251679778098,7924,79.24,48640,347264,1678,1470,0.001,0,12.032576560974121
8,48322,0.39478827201843264,0.009558745869994164,7966,79.66,48320,395584,2183,1770,0.001,0,11.701725482940674
9,47817,0.3528170920276642,0.008440510433912278,8182,81.82,47808,443392,3084,2268,0.001,0,11.680553674697876
10,46916,0.3254730458831787,0.007910266563296318,8300,83.0,46912,490304,3788,2571,0.001,0,12.091553926467896
11,46212,0.29572836362838745,0.007245782519876957,8444,84.44,46208,536512,4706,2933,0.001,0,11.812887191772461
12,45294,0.27469702889442443,0.007179622586071491,8497,84.97,45248,581760,5342,3038,0.001,0,11.564138174057007
13,44658,0.2512576823616028,0.006319242388010025,8626,86.26,44608,626368,6026,3258,0.001,0,11.363884925842285
14,43974,0.22886244241714476,0.006581075130403042,8608,86.08,43968,670336,6965,3503,0.001,0,11.159619092941284
15,43035,0.21520936529636384,0.005426208466291427,8844,88.44,43008,713344,8227,3801,0.001,0,11.32524061203003
16,41773,0.19884368298530578,0.005267494070529938,8857,88.57,41728,755072,9324,4006,0.001,0,11.035407304763794
17,40676,0.18242664495944977,0.005581953717768193,8786,87.86,40640,795712,10150,3925,0.001,0,11.107301235198975
18,39850,0.16899092012405395,0.005534244371950626,8842,88.42,39808,835520,10862,3792,0.001,0,10.973024368286133
19,39138,0.1530743025636673,0.006142572899162769,8741,87.41,39104,874624,11673,4223,0.001,0,10.465725421905518
20,38327,0.1398970510339737,0.005032124654203654,8899,88.99,38272,912896,12720,4217,0.001,0,10.52468729019165
21,37280,0.13199118791103362,0.0055851433992385865,8854,88.54,37248,950144,13720,4191,0.001,0,10.333994626998901
22,36280,0.12242314376354217,0.005164624670147896,8939,89.39,36224,986368,15059,4786,0.001,0,10.420764923095703
23,34941,0.11492498941421508,0.005182333952188492,8923,89.23,34880,1021248,15511,4099,0.001,0,10.12527322769165
24,34489,0.10430143702507019,0.005363650976866484,8884,88.84,34432,1055680,15491,4306,0.001,0,10.22651219367981
25,34509,0.09889202614545822,0.005316815397143364,8955,89.55,34496,1090176,15789,4301,0.001,0,10.00643515586853
26,34211,0.09151637341499329,0.005425532733649015,8893,88.93,34176,1124352,16543,4479,0.001,0,9.738544940948486
27,33457,0.08773648188829422,0.005229952534288168,8927,89.27,33408,1157760,17928,4973,0.001,0,10.042678594589233
28,32072,0.08036878005027771,0.00515991814956069,8915,89.15,32064,1189824,18786,4651,0.001,0,9.64390778541565
29,31214,0.07595197933673858,0.00559984954893589,8919,89.19,31168,1220992,18842,4308,0.001,0,9.429090976715088
30,31158,0.06834302899062633,0.005106738517433405,8997,89.97,31104,1252096,19525,4224,0.001,0,9.479839324951172
31,30475,0.06759327835083008,0.005684240940585733,8925,89.25,30464,1282560,20390,4670,0.001,0,9.6538667678833
32,29610,0.05823573692560196,0.005059588891267777,9038,90.38,29568,1312128,22211,5057,0.001,0,9.586433172225952
33,27789,0.057865136444568636,0.005012445737048983,9087,90.87,27776,1339904,23222,4339,0.001,0,9.202942132949829
34,26778,0.054855092566013335,0.0049637155216187235,9040,90.4,26752,1366656,23389,4476,0.001,0,9.419655799865723
35,26611,0.04934503934621811,0.005084659845381975,9081,90.81,26560,1393216,23808,3754,0.001,0,9.091139078140259
36,26192,0.051398903939127924,0.005475839301198721,9046,90.46,26176,1419392,24062,4021,0.001,0,9.116749286651611
37,25938,0.04623090405344963,0.005027390164136887,9091,90.91,25920,1445312,24993,4384,0.001,0,8.843996286392212
38,25007,0.04378793066501618,0.005890357665531337,8940,89.4,24960,1470272,24304,3779,0.001,0,8.626105546951294
39,25696,0.043496404633522036,0.005111041634529829,9059,90.59,25664,1495936,24620,4345,0.001,0,9.12837266921997
40,25380,0.03642632917642594,0.005140980997867882,9105,91.05,25344,1521280,25122,3960,0.001,0,8.603288888931274
41,24878,0.0420652271348238,0.005127146741002798,9050,90.5,24832,1546112,26102,4698,0.001,0,8.64562201499939
42,23898,0.034756637361049655,0.005506970173120499,9059,90.59,23872,1569984,26689,4304,0.001,0,8.480051279067993
43,23311,0.038184139419198036,0.005422905883565545,9023,90.23,23296,1593280,25826,3561,0.001,0,8.457988262176514
44,24174,0.03121294769883156,0.005515101420134306,9062,90.62,24128,1617408,26456,4144,0.001,0,8.835652112960815
45,23544,0.03451176994800568,0.0054240197869017725,9057,90.57,23488,1640896,26783,4085,0.001,0,8.624638795852661
46,23217,0.030597792434245347,0.005613265947625041,9091,90.91,23168,1664064,27879,4550,0.001,0,8.382549524307251
47,22121,0.03166146283864975,0.005376851150393486,9059,90.59,22080,1686144,28073,3781,0.001,0,8.397703886032104
48,21927,0.028559122920036317,0.005293206113949418,9125,91.25,21888,1708032,28446,3982,0.001,0,8.547287464141846
49,21554,0.027216739956736565,0.005818630027398467,9077,90.77,21504,1729536,28289,3927,0.001,0,8.406561374664307
50,21711,0.028570305465459824,0.0050939833423122765,9135,91.35,21696,1751232,28750,3918,0.001,0,8.243005275726318
51,21250,0.026687407212257385,0.005241268658638,9114,91.14,21248,1772480,28889,3937,0.001,0,8.258074760437012
52,21111,0.025115458307266237,0.0054298345655202866,9096,90.96,21056,1793536,28868,4099,0.001,0,8.292746305465698
53,21132,0.02850876366376877,0.004962012889608741,9173,91.73,21120,1814656,29060,3671,0.001,0,8.396944999694824
54,20940,0.02092424668997526,0.005584045957401394,9060,90.6,20928,1835584,29468,4015,0.001,0,8.128312349319458
55,20532,0.023193046497404574,0.005514183437079191,9112,91.12,20480,1856064,30021,4249,0.001,0,8.043739080429077
56,19979,0.024399770442843437,0.005719663752987981,9076,90.76,19968,1876032,29853,3750,0.001,0,8.060534000396729
57,20147,0.02336865590542555,0.005566740392148495,9125,91.25,20096,1896128,29751,3732,0.001,0,8.229753494262695
58,20249,0.021280349393784998,0.005316366570442915,9110,91.1,20224,1916352,29896,3978,0.001,0,7.994018793106079
59,20104,0.023250063469707965,0.005756956725474447,9068,90.68,20096,1936448,29874,3994,0.001,0,7.92118239402771
60,20126,0.021214957076907157,0.005473905786732212,9162,91.62,20096,1956544,30480,3898,0.001,0,8.145931959152222
61,19520,0.020007322686612605,0.006080050926841795,9089,90.89,19520,1976064,30503,4093,0.001,0,8.115315198898315
62,19497,0.019108289511948824,0.005733633953332901,9123,91.23,19456,1995520,30911,4001,0.001,0,7.9750378131866455
