epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.943079638519287,0.026238725304603576,3724,37.24,49984,49984,0,0,0.001,0,11.34086561203003
2,50000,1.4534386058044433,0.021760296189785002,5081,50.81,49984,99968,0,0,0.001,0,4.696658611297607
3,50000,1.1453778519439697,0.017406035208702087,6055,60.55,49984,149952,25,25,0.001,0,4.656025171279907
4,49975,0.9009332849884033,0.014115840113162994,6838,68.38,49920,199872,47,47,0.001,0,7.9618165493011475
5,49953,0.7721457530975342,0.013065719863772392,7123,71.23,49920,249792,125,125,0.001,0,7.95315146446228
6,49875,0.7096412594985962,0.011681740874052047,7471,74.71,49856,299648,269,267,0.001,0,4.7160468101501465
7,49731,0.6786382192230225,0.012016295984387398,7357,73.57,49728,349376,448,446,0.001,0,4.723406076431274
8,49552,0.6411722715759277,0.011757007226347923,7419,74.19,49536,398912,525,506,0.001,0,4.745335102081299
9,49475,0.6185743076324463,0.012138089781999588,7397,73.97,49472,448384,576,550,0.001,0,4.747939109802246
10,49424,0.6022045289230347,0.011664018568396568,7546,75.46,49408,497792,680,635,0.001,0,4.709568738937378
11,49320,0.585650641708374,0.011236800134181976,7578,75.78,49280,547072,730,689,0.001,0,4.729237079620361
12,49270,0.5722718117141724,0.010753201752901077,7642,76.42,49216,596288,785,748,0.001,0,4.728638648986816
13,49215,0.5647552685928344,0.009975529953837395,7884,78.84,49152,645440,827,752,0.001,0,4.684382915496826
14,49173,0.554567537727356,0.010707868188619614,7733,77.33,49152,694592,824,759,0.001,0,4.690311908721924
15,49176,0.5479462640762329,0.010336812493205071,7814,78.14,49152,743744,821,760,0.001,0,4.742278337478638
16,49179,0.5424821971893311,0.008923014479875565,8114,81.14,49152,792896,997,915,0.001,0,4.733106851577759
17,49003,0.5357561334228516,0.010540059074759483,7737,77.37,48960,841856,1038,939,0.001,0,4.71813440322876
18,48962,0.5328239980316162,0.010002936354279518,7837,78.37,48960,890816,1066,918,0.001,0,4.745614767074585
19,48934,0.5228764500808716,0.010759848219156265,7715,77.15,48896,939712,1151,990,0.001,0,4.720614910125732
20,48849,0.5142186860084533,0.009601484513282776,7940,79.4,48832,988544,1114,987,0.001,0,4.701507568359375
21,48886,0.5170764464569092,0.010525988301634788,7812,78.12,48832,1037376,1017,951,0.001,0,4.700725793838501
