epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.487318475112915,0.018381609869003297,5770,57.7,49984,49984,0,0,0.001,0,11.363686561584473
2,50000,1.054960755996704,0.014727764409780502,6641,66.41,49984,99968,0,0,0.001,0,4.64372181892395
3,50000,0.8455655088043212,0.012810501438379288,7107,71.07,49984,149952,41,41,0.001,0,4.658376932144165
4,49959,0.7102411777114869,0.010818904456496239,7588,75.88,49920,199872,197,197,0.001,0,7.9674646854400635
5,49803,0.6235391070556641,0.010073998484015466,7769,77.69,49792,249664,497,486,0.001,0,4.73607063293457
6,49503,0.556046580734253,0.01173457550406456,7494,74.94,49472,299136,809,784,0.001,0,4.720078468322754
7,49191,0.5050865159797668,0.01115371710062027,7709,77.09,49152,348288,1098,1017,0.001,0,4.773010969161987
8,48902,0.4603609398651123,0.010441353327035904,7812,78.12,48896,397184,1401,1217,0.001,0,4.726449966430664
9,48599,0.42982698438644407,0.009836609116196632,7963,79.63,48576,445760,1846,1517,0.001,0,4.703913688659668
10,48154,0.39521100646972657,0.009544783398509026,8014,80.14,48128,493888,2299,1828,0.001,0,4.692030906677246
11,47701,0.3694432288169861,0.00878822177350521,8154,81.54,47680,541568,2632,1950,0.001,0,4.657953500747681
12,47368,0.3465360196685791,0.008476394292712212,8188,81.88,47360,588928,3101,2101,0.001,0,4.650465488433838
13,46899,0.3247429187393188,0.007847612404823304,8305,83.05,46848,635776,3567,2339,0.001,0,4.6031622886657715
14,46433,0.3085782766914368,0.007869176270067692,8320,83.2,46400,682176,4075,2597,0.001,0,4.581711292266846
15,45925,0.2897074085235596,0.007990435895323753,8335,83.35,45888,728064,4442,2619,0.001,0,4.556769847869873
16,45558,0.2715695747852325,0.008084270432591438,8305,83.05,45504,773568,4763,2709,0.001,0,4.509833812713623
17,45237,0.2580303007030487,0.0074253732711076735,8436,84.36,45184,818752,5358,2935,0.001,0,4.50299072265625
18,44642,0.2432197074508667,0.00680830203294754,8523,85.23,44608,863360,6157,3127,0.001,0,4.499946355819702
19,43843,0.22973404537200928,0.007072358387708664,8506,85.06,43840,907200,6583,3174,0.001,0,4.435980796813965
20,43417,0.21818307049751282,0.00661055271923542,8624,86.24,43392,950592,7040,3189,0.001,0,4.430365800857544
21,42960,0.20959615920066835,0.006764500485360622,8551,85.51,42944,993536,7548,3239,0.001,0,4.388410329818726
22,42452,0.202810465593338,0.006396081660687923,8675,86.75,42432,1035968,7924,3398,0.001,0,4.3806281089782715
23,42076,0.18861601673126221,0.006047130396962166,8723,87.23,42048,1078016,8219,3364,0.001,0,4.357164144515991
24,41781,0.18006114744186402,0.006333351988345385,8647,86.47,41728,1119744,8633,3431,0.001,0,4.331527948379517
25,41367,0.17001903938293458,0.006336039155721665,8692,86.92,41344,1161088,9248,3691,0.001,0,4.291620254516602
26,40752,0.1635964430952072,0.006172614683955907,8682,86.82,40704,1201792,9688,3658,0.001,0,4.240314245223999
