epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.866674347229004,0.02490041788816452,4139,41.39,49984,49984,0,0,0.001,0,11.310268878936768
2,50000,1.3844191075897216,0.019400800663232805,5619,56.19,49984,99968,0,0,0.001,0,4.60846734046936
3,50000,1.0920726809692383,0.019680623918771744,5853,58.53,49984,149952,25,25,0.001,0,4.581714153289795
4,49975,0.8928826713562011,0.014861970746517182,6698,66.98,49920,199872,57,57,0.001,0,7.775803804397583
5,49943,0.7613969003295898,0.01512939173579216,6739,67.39,49920,249792,149,149,0.001,0,7.833531141281128
6,49851,0.6900371259689331,0.012794092190265656,7215,72.15,49792,299584,316,315,0.001,0,4.6651740074157715
7,49684,0.6496958629989624,0.012391086128354073,7327,73.27,49664,349248,467,460,0.001,0,4.701010704040527
8,49533,0.622245942993164,0.012765830814838409,7274,72.74,49472,398720,596,583,0.001,0,4.671090602874756
9,49404,0.5941004935836792,0.010925140777230263,7688,76.88,49344,448064,656,626,0.001,0,4.6427600383758545
10,49344,0.5754100791931153,0.010675269478559493,7678,76.78,49344,497408,756,702,0.001,0,4.646347284317017
11,49244,0.563599097328186,0.010706173357367515,7769,77.69,49216,546624,829,778,0.001,0,4.670108795166016
12,49171,0.5476125360870361,0.01159155648946762,7537,75.37,49152,595776,881,792,0.001,0,4.653212308883667
13,49119,0.5344833815383911,0.01016528394818306,7858,78.58,49088,644864,896,806,0.001,0,4.657022714614868
14,49104,0.5243298927307128,0.01082354435622692,7672,76.72,49088,693952,1000,911,0.001,0,4.672525644302368
15,49000,0.5156287393379212,0.010498328253626824,7792,77.92,48960,742912,999,903,0.001,0,4.671335697174072
16,49001,0.5112789580917358,0.010353899735212327,7834,78.34,48960,791872,1094,996,0.001,0,4.632404327392578
17,48906,0.5008578457641601,0.009037590119242668,8069,80.69,48896,840768,1181,1007,0.001,0,4.657783508300781
18,48819,0.4966722766876221,0.010235263857245444,7761,77.61,48768,889536,1151,991,0.001,0,4.6349098682403564
19,48849,0.4943835229492187,0.011481560558080674,7498,74.98,48832,938368,1204,1085,0.001,0,4.665952920913696
20,48796,0.4839244520568848,0.00975203891992569,8017,80.17,48768,987136,1162,1042,0.001,0,4.653181552886963
21,48838,0.4779083583641052,0.009055955436825752,8058,80.58,48832,1035968,1263,1104,0.001,0,4.6375062465667725
22,48737,0.47237663875579833,0.008683730003237725,8138,81.38,48704,1084672,1390,1143,0.001,0,4.6314003467559814
23,48610,0.4664872871208191,0.008497274562716484,8223,82.23,48576,1133248,1517,1325,0.001,0,4.632445812225342
24,48483,0.46531803066253663,0.010417546224594116,7847,78.47,48448,1181696,1370,1126,0.001,0,4.600379943847656
25,48630,0.458856630897522,0.009089022976160049,8043,80.43,48576,1230272,1296,1141,0.001,0,4.616595506668091
26,48704,0.4577425731277466,0.008965308246016502,8039,80.39,48704,1278976,1360,1141,0.001,0,4.61857795715332
27,48640,0.45198670181274414,0.008962497967481614,8043,80.43,48640,1327616,1576,1337,0.001,0,4.628389835357666
28,48424,0.44900767774581907,0.011750241512060165,7587,75.87,48384,1376000,1514,1296,0.001,0,4.607158184051514
29,48486,0.4449988619995117,0.008921297138929368,8124,81.24,48448,1424448,1529,1307,0.001,0,4.670470952987671
30,48471,0.44403015703201293,0.010735447779297828,7794,77.94,48448,1472896,1472,1285,0.001,0,4.627910137176514
31,48528,0.44007084016799924,0.008939123743772507,8090,80.9,48512,1521408,1461,1283,0.001,0,4.627501726150513
32,48539,0.42878087144851684,0.009378679302334785,8012,80.12,48512,1569920,1480,1231,0.001,0,4.627453804016113
33,48520,0.4325165559577942,0.008199941337108612,8247,82.47,48512,1618432,1540,1340,0.001,0,4.6126368045806885
34,48460,0.4274361925315857,0.0074510460108518604,8388,83.88,48448,1666880,1628,1338,0.001,0,4.6458961963653564
35,48372,0.42566184747695923,0.008797036018967629,8057,80.57,48320,1715200,1640,1387,0.001,0,4.620607852935791
36,48360,0.4226473037147522,0.009725361922383309,7911,79.11,48320,1763520,1762,1486,0.001,0,4.626841068267822
37,48238,0.4177250450515747,0.009237992376089096,8026,80.26,48192,1811712,1584,1352,0.001,0,4.604023456573486
38,48416,0.41180854764938357,0.00761405760794878,8364,83.64,48384,1860096,1693,1448,0.001,0,4.619673013687134
39,48307,0.4113039557075501,0.008197225174307822,8269,82.69,48256,1908352,1711,1354,0.001,0,4.608541250228882
40,48289,0.4140293363571167,0.0077806715428829195,8333,83.33,48256,1956608,1857,1489,0.001,0,4.619905233383179
41,48143,0.4094332232666016,0.007828209035098553,8339,83.39,48128,2004736,1728,1426,0.001,0,4.614160060882568
42,48272,0.40294398891448974,0.007644515001773834,8349,83.49,48256,2052992,1880,1496,0.001,0,4.609224796295166
43,48120,0.3992216234588623,0.008221734637022018,8209,82.09,48064,2101056,1847,1461,0.001,0,4.576533555984497
44,48153,0.39702387632369995,0.007601643738150597,8430,84.3,48128,2149184,1977,1656,0.001,0,4.608757972717285
45,48023,0.39491307878494264,0.006926567730307579,8540,85.4,48000,2197184,1919,1527,0.001,0,4.610615015029907
46,48081,0.3878894712257385,0.007632407948374748,8384,83.84,48064,2245248,2057,1613,0.001,0,4.585042238235474
47,47943,0.39080291439056397,0.008050935161113739,8275,82.75,47936,2293184,2089,1640,0.001,0,4.576656103134155
48,47911,0.3865084697341919,0.008155582885444164,8218,82.18,47872,2341056,1983,1586,0.001,0,4.617785215377808
49,48017,0.38139884080886843,0.008243268282711505,8279,82.79,48000,2389056,2048,1661,0.001,0,4.604758024215698
50,47952,0.38082679054260254,0.007764962914586067,8401,84.01,47936,2436992,2065,1689,0.001,0,4.5588743686676025
51,47935,0.37836734741210937,0.006739642402529717,8579,85.79,47872,2484864,2130,1734,0.001,0,4.624279022216797
52,47870,0.38522402967453,0.0076563722401857374,8350,83.5,47808,2532672,2046,1593,0.001,0,4.597122669219971
53,47954,0.37613768350601196,0.0071304746806621555,8497,84.97,47936,2580608,2039,1599,0.001,0,4.607147932052612
54,47961,0.3737058865356445,0.007707870525121689,8397,83.97,47936,2628544,2097,1659,0.001,0,4.609856843948364
55,47903,0.36645057373046874,0.00799679470360279,8286,82.86,47872,2676416,2113,1786,0.001,0,4.59961724281311
56,47887,0.3701510342216492,0.0070959134504199025,8493,84.93,47872,2724288,2111,1622,0.001,0,4.5854332447052
57,47889,0.3631131694984436,0.007237572692334652,8436,84.36,47872,2772160,2245,1788,0.001,0,4.5978546142578125
58,47755,0.36158730682373047,0.007323020175099373,8392,83.92,47744,2819904,2449,1828,0.001,0,4.591294527053833
59,47551,0.3575666326713562,0.007691131936013698,8339,83.39,47488,2867392,2284,1745,0.001,0,4.566276550292969
60,47716,0.3587692164039612,0.007738479505479336,8323,83.23,47680,2915072,2314,1777,0.001,0,4.583778381347656
61,47686,0.35509835733413697,0.008002291542291642,8208,82.08,47680,2962752,2218,1792,0.001,0,4.559306383132935
62,47782,0.3484681259727478,0.007482495838403702,8441,84.41,47744,3010496,2325,1836,0.001,0,4.592753887176514
63,47675,0.3497596901702881,0.0079199687987566,8319,83.19,47616,3058112,2326,1884,0.001,0,4.568350791931152
64,47674,0.3454697011375427,0.007763660359382629,8355,83.55,47616,3105728,2524,1911,0.001,0,4.569943904876709
65,47476,0.3439109206008911,0.007631834873557091,8371,83.71,47424,3153152,2386,1893,0.001,0,4.563796281814575
66,47614,0.3378111688899994,0.006927562683820725,8524,85.24,47552,3200704,2446,1931,0.001,0,4.584590435028076
67,47554,0.3322746146011353,0.007079675707221031,8492,84.92,47552,3248256,2637,1993,0.001,0,4.558129072189331
68,47363,0.3377557730484009,0.006990545658767223,8472,84.72,47360,3295616,2750,2167,0.001,0,4.558712959289551
69,47250,0.3354661552715302,0.007356527611613274,8450,84.5,47232,3342848,2522,1915,0.001,0,4.561690330505371
70,47478,0.32915272199630735,0.006195816919207573,8701,87.01,47424,3390272,2568,1954,0.001,0,4.556276798248291
71,47432,0.3268808349990845,0.007822505047917367,8363,83.63,47424,3437696,2542,1927,0.001,0,4.5664143562316895
72,47458,0.3246757246685028,0.007093401202559471,8486,84.86,47424,3485120,2754,2148,0.001,0,4.549996852874756
73,47246,0.3177622083282471,0.00667238804847002,8606,86.06,47232,3532352,2819,2130,0.001,0,4.565026521682739
74,47181,0.3130727919101715,0.007282587939500809,8448,84.48,47168,3579520,2815,2180,0.001,0,4.551001071929932
75,47185,0.31404321204185487,0.006491757093369961,8624,86.24,47168,3626688,2896,2126,0.001,0,4.5548131465911865
76,47104,0.3108068380832672,0.006495525692403316,8600,86.0,47104,3673792,2929,2160,0.001,0,4.533691644668579
77,47071,0.30852018045425417,0.006771186380088329,8565,85.65,47040,3720832,2967,2198,0.001,0,4.560665607452393
78,47033,0.30457945817947385,0.005956389179825783,8728,87.28,46976,3767808,2991,2163,0.001,0,4.537414789199829
79,47009,0.30364074199676516,0.007076109109818936,8480,84.8,46976,3814784,2971,2201,0.001,0,4.523637056350708
80,47029,0.30098393953323366,0.0070215462386608125,8511,85.11,46976,3861760,2986,2201,0.001,0,4.545582056045532
81,47014,0.29912528107643127,0.006959295292198658,8483,84.83,46976,3908736,2835,2162,0.001,0,4.524435997009277
82,47165,0.2918854088497162,0.005926480728387832,8759,87.59,47104,3955840,2866,2127,0.001,0,4.567236661911011
83,47134,0.29046150606155396,0.005914504174888134,8732,87.32,47104,4002944,2963,2233,0.001,0,4.5595386028289795
84,47037,0.2891498537635803,0.00720811964571476,8430,84.3,46976,4049920,3102,2376,0.001,0,4.560745716094971
85,46898,0.2840153681087494,0.005950048857927322,8728,87.28,46848,4096768,3194,2274,0.001,0,4.5301384925842285
86,46806,0.286340647649765,0.005756354269385338,8775,87.75,46784,4143552,3263,2327,0.001,0,4.540566921234131
87,46737,0.28232526284217835,0.00574576695561409,8747,87.47,46720,4190272,3424,2492,0.001,0,4.530186891555786
88,46576,0.2757479560470581,0.005778327411413192,8768,87.68,46528,4236800,3304,2370,0.001,0,4.535861253738403
89,46696,0.2805852398967743,0.006165861918032169,8675,86.75,46656,4283456,3198,2370,0.001,0,4.5224080085754395
90,46802,0.27020446551322935,0.005725249192118645,8805,88.05,46784,4330240,3312,2360,0.001,0,4.539975881576538
