epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9440964331054686,0.026134234356880188,3942,39.42,49984,49984,0,0,0.001,0,11.284463167190552
2,50000,1.4751440882873534,0.021427792978286744,5121,51.21,49984,99968,0,0,0.001,0,4.642086982727051
3,50000,1.19452471824646,0.018014313250780106,5885,58.85,49984,149952,20,20,0.001,0,4.67073655128479
4,49980,0.981001989364624,0.014107884871959686,6880,68.8,49920,199872,43,43,0.001,0,7.927908658981323
5,49957,0.8256047703552246,0.013396176999807358,7001,70.01,49920,249792,76,76,0.001,0,7.933681964874268
6,49924,0.7328579285430908,0.01067105525135994,7644,76.44,49920,299712,248,248,0.001,0,4.686155796051025
7,49752,0.6806112474441528,0.01205869536101818,7286,72.86,49728,349440,374,366,0.001,0,4.702244520187378
8,49626,0.6452510104370117,0.013054056602716446,7142,71.42,49600,399040,506,497,0.001,0,4.728267192840576
9,49494,0.6143793386650085,0.012565835535526275,7288,72.88,49472,448512,562,543,0.001,0,4.72821307182312
10,49438,0.5998411738777161,0.012592683127522469,7349,73.49,49408,497920,687,668,0.001,0,4.734112024307251
11,49313,0.5831725548553467,0.012802490013837814,7309,73.09,49280,547200,699,656,0.001,0,4.702208518981934
12,49301,0.5709600591850281,0.012285543939471245,7407,74.07,49280,596480,755,699,0.001,0,4.716448068618774
13,49245,0.5608208855056762,0.010053259319067002,7818,78.18,49216,645696,833,759,0.001,0,4.68654465675354
14,49167,0.5513415238571167,0.010909533089399338,7613,76.13,49152,694848,843,787,0.001,0,4.702195167541504
15,49157,0.5449841831207275,0.010620032921433448,7701,77.01,49152,744000,907,815,0.001,0,4.682788848876953
16,49093,0.5378270487594604,0.008990528371930123,8081,80.81,49088,793088,977,886,0.001,0,4.692068576812744
17,49023,0.5269878064346314,0.01126863510608673,7632,76.32,48960,842048,1005,914,0.001,0,4.683710336685181
18,48995,0.5291049614334107,0.010693478500843049,7625,76.25,48960,891008,1003,914,0.001,0,4.706279039382935
