epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.221239428253174,0.031279383277893064,2142,21.42,49984,49984,0,0,0.001,0,9.636346578598022
2,50000,1.8794782566833497,0.03099765067100525,2639,26.39,49984,99968,0,0,0.001,0,4.119318246841431
3,50000,1.6252313612365723,0.024777606856822967,4036,40.36,49984,149952,37,37,0.001,0,4.113176107406616
4,49963,1.4381413093566895,0.020927014070749282,5203,52.03,49920,199872,26,26,0.001,0,6.7959771156311035
5,49974,1.2587566861724853,0.016846728032827378,6084,60.84,49920,249792,21,21,0.001,0,6.819763422012329
6,49979,1.1346685261535645,0.015798366874456404,6582,65.82,49920,299712,27,27,0.001,0,6.82049822807312
7,49973,1.029239460067749,0.01799018184542656,6525,65.25,49920,349632,75,75,0.001,0,6.8257575035095215
8,49925,0.9741803668212891,0.0181622710108757,6326,63.26,49920,399552,90,88,0.001,0,4.156658172607422
9,49910,0.9035248697280884,0.022482626283168793,5628,56.28,49856,449408,103,103,0.001,0,4.106364727020264
10,49897,0.8580086363601684,0.016522067481279372,6745,67.45,49856,499264,175,175,0.001,0,4.12641716003418
11,49825,0.7984234808731079,0.01171117045879364,7633,76.33,49792,549056,238,235,0.001,0,4.104560136795044
12,49762,0.7728993999862671,0.013133989292383194,7375,73.75,49728,598784,257,251,0.001,0,4.119940519332886
13,49743,0.7369846653747558,0.013173340982198715,7404,74.04,49728,648512,271,266,0.001,0,4.166636228561401
14,49729,0.7129702396392822,0.011590071162581444,7599,75.99,49728,698240,327,324,0.001,0,4.161451578140259
15,49673,0.6822408137893676,0.011294828194379807,7707,77.07,49664,747904,388,378,0.001,0,4.129992723464966
16,49612,0.6589989200210571,0.01089134518802166,7801,78.01,49600,797504,409,398,0.001,0,4.143744230270386
17,49591,0.6387375984954834,0.013089353016018868,7328,73.28,49536,847040,443,437,0.001,0,4.140696287155151
18,49557,0.6095311152648926,0.009509408688545226,8052,80.52,49536,896576,500,492,0.001,0,4.109777450561523
19,49500,0.5937964012908935,0.012294265657663346,7479,74.79,49472,946048,546,538,0.001,0,4.141546010971069
20,49454,0.5718970369720459,0.011153360578417778,7774,77.74,49408,995456,631,623,0.001,0,4.151095390319824
21,49369,0.5547528544998169,0.009878219532966614,7993,79.93,49344,1044800,621,593,0.001,0,4.156615495681763
22,49379,0.5475957692718506,0.009412128713726998,8053,80.53,49344,1094144,679,652,0.001,0,4.123962640762329
23,49321,0.5260691963577271,0.009401095819473267,8082,80.82,49280,1143424,782,733,0.001,0,4.129491090774536
24,49218,0.5046205768013,0.010570952323079108,7875,78.75,49216,1192640,775,745,0.001,0,4.1616432666778564
25,49225,0.48214246324539184,0.010383158120512962,7888,78.88,49216,1241856,848,818,0.001,0,4.105520486831665
26,49152,0.4715069603729248,0.009892464530467987,8048,80.48,49152,1291008,945,908,0.001,0,4.169081687927246
27,49055,0.46033020414352416,0.009020275095105171,8147,81.47,49024,1340032,1060,995,0.001,0,4.167866468429565
28,48940,0.43573406620025634,0.009092188429832459,8155,81.55,48896,1388928,1057,995,0.001,0,4.1179821491241455
29,48943,0.4325215941619873,0.010529008182883262,7902,79.02,48896,1437824,1178,1123,0.001,0,4.119084596633911
30,48822,0.4053477303123474,0.009652394461631774,8038,80.38,48768,1486592,1340,1229,0.001,0,4.120887756347656
