epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.7737049150085449,0.024189898252487182,4335,43.35,49984,49984,0,0,0.001,0,33.623255491256714
2,50000,1.5129367901611328,0.022254263174533846,4850,48.5,49984,99968,0,0,0.001,0,33.84130525588989
3,50000,1.3945256845855714,0.020285218513011932,5258,52.58,49984,149952,25,25,0.001,0,34.24168062210083
4,49975,1.3183663790130615,0.020588618397712706,5252,52.52,49920,199872,34,33,0.001,0,33.85755443572998
5,49966,1.276901226196289,0.019836118674278258,5419,54.19,49920,249792,58,58,0.001,0,34.26330518722534
6,49942,1.2288760166168213,0.018177190548181534,5732,57.32,49920,299712,42,42,0.001,0,34.23725199699402
7,49958,1.2024659434509277,0.01827017681002617,5773,57.73,49920,349632,46,46,0.001,0,33.5115225315094
8,49954,1.1578896975708008,0.01706418151259422,6039,60.39,49920,399552,45,44,0.001,0,34.493123292922974
9,49955,1.1246069401550294,0.01731214864253998,6026,60.26,49920,449472,63,63,0.001,0,34.36366939544678
10,49937,1.0794690968322753,0.015890970259904862,6398,63.98,49920,499392,69,67,0.001,0,33.84043478965759
11,49931,1.0245328153228759,0.01578758854866028,6385,63.85,49920,549312,69,67,0.001,0,33.780428647994995
12,49931,0.9852724391174317,0.015286398696899415,6536,65.36,49920,599232,69,68,0.001,0,33.92753219604492
13,49931,0.9449742211151123,0.014465690559148788,6726,67.26,49920,649152,94,94,0.001,0,34.17780113220215
14,49906,0.9053460765457153,0.013900408643484116,6849,68.49,49856,699008,104,104,0.001,0,33.99821162223816
15,49896,0.8746184509277344,0.013153787195682526,7040,70.4,49856,748864,88,86,0.001,0,34.56500196456909
16,49912,0.8475774211120606,0.013114144605398179,7006,70.06,49856,798720,129,127,0.001,0,34.51099133491516
17,49871,0.8296408369827271,0.012901769703626633,7116,71.16,49856,848576,139,135,0.001,0,34.376272439956665
18,49861,0.8032084315872192,0.01273210530281067,7137,71.37,49856,898432,174,168,0.001,0,34.555707931518555
19,49826,0.779285887184143,0.013086481946706773,7074,70.74,49792,948224,191,180,0.001,0,34.57453751564026
20,49809,0.7579568774795532,0.011992069536447525,7279,72.79,49792,998016,196,187,0.001,0,34.38165998458862
21,49804,0.7492681635665893,0.012121751976013184,7305,73.05,49792,1047808,228,214,0.001,0,34.59342575073242
22,49772,0.7320353891372681,0.01123195270895958,7483,74.83,49728,1097536,234,220,0.001,0,34.54755091667175
23,49766,0.7116795758056641,0.011256989377737045,7494,74.94,49728,1147264,278,255,0.001,0,34.34029245376587
24,49722,0.6998940925216675,0.011536564195156097,7389,73.89,49664,1196928,294,269,0.001,0,33.98359537124634
25,49706,0.6817670635604859,0.011044930797815322,7543,75.43,49664,1246592,301,282,0.001,0,33.998589754104614
26,49699,0.6679787985992431,0.010689461466670037,7603,76.03,49664,1296256,322,303,0.001,0,33.89715528488159
27,49678,0.6623892281723023,0.011114150881767274,7559,75.59,49664,1345920,337,303,0.001,0,33.953303813934326
28,49663,0.645933974571228,0.010737619295716285,7612,76.12,49600,1395520,364,317,0.001,0,34.62235236167908
29,49636,0.638861399269104,0.011141504016518592,7511,75.11,49600,1445120,393,346,0.001,0,33.613606452941895
30,49607,0.6314097282028198,0.010725698712468148,7628,76.28,49600,1494720,414,347,0.001,0,34.502803802490234
31,49586,0.6205346156692505,0.010570722565054893,7657,76.57,49536,1544256,445,391,0.001,0,34.12229824066162
32,49555,0.6058128667068482,0.010931825399398803,7637,76.37,49536,1593792,471,408,0.001,0,34.9166579246521
33,49529,0.5994955276489258,0.01056077011525631,7661,76.61,49472,1643264,476,433,0.001,0,33.54050660133362
34,49524,0.5942288667678833,0.01010668720304966,7760,77.6,49472,1692736,508,430,0.001,0,32.913039445877075
35,49492,0.58812961769104,0.010294968712329865,7758,77.58,49472,1742208,534,469,0.001,0,34.44466948509216
36,49466,0.575496424407959,0.010439889287948608,7737,77.37,49408,1791616,565,486,0.001,0,34.385167837142944
37,49435,0.5678630160522461,0.01023998486995697,7741,77.41,49408,1841024,623,526,0.001,0,34.576900482177734
38,49377,0.5619923241806031,0.010567741212248802,7704,77.04,49344,1890368,614,473,0.001,0,33.4292426109314
39,49386,0.5553056982040405,0.010829074341058731,7685,76.85,49344,1939712,634,528,0.001,0,34.267614126205444
40,49366,0.5469445156478882,0.010482497075200081,7743,77.43,49344,1989056,592,517,0.001,0,34.048900842666626
41,49408,0.5421615275192261,0.009868410697579384,7869,78.69,49408,2038464,640,527,0.001,0,34.2673614025116
42,49360,0.5368269966888428,0.009817221975326538,7842,78.42,49344,2087808,684,566,0.001,0,34.34058618545532
43,49316,0.5298659275054932,0.009491945242881775,7890,78.9,49280,2137088,708,586,0.001,0,34.05548667907715
44,49292,0.5264590786933899,0.010047269541025161,7805,78.05,49280,2186368,753,594,0.001,0,34.30288076400757
45,49247,0.5183045166397094,0.009885551446676254,7802,78.02,49216,2235584,731,601,0.001,0,35.190659284591675
46,49269,0.5143530974769592,0.01057704332768917,7728,77.28,49216,2284800,760,575,0.001,0,34.0984091758728
47,49240,0.5053734299659729,0.009296996811032295,8007,80.07,49216,2334016,802,594,0.001,0,34.47935342788696
48,49198,0.4995371783256531,0.009675322178006172,7892,78.92,49152,2383168,826,631,0.001,0,33.97206425666809
49,49174,0.4922948956489563,0.009831301406025887,7837,78.37,49152,2432320,947,698,0.001,0,33.25242805480957
50,49053,0.488173550491333,0.009978224197030067,7875,78.75,49024,2481344,927,651,0.001,0,34.18576192855835
51,49073,0.481529881439209,0.010236408627033233,7804,78.04,49024,2530368,931,710,0.001,0,33.58103823661804
52,49069,0.4781238621330261,0.009421180000901223,7959,79.59,49024,2579392,971,711,0.001,0,34.59610414505005
53,49029,0.4682019613838196,0.009121517208218575,7989,79.89,49024,2628416,1057,768,0.001,0,34.45556426048279
54,48943,0.45630800077438355,0.009493373841047287,7966,79.66,48896,2677312,1045,762,0.001,0,34.44837808609009
55,48955,0.46196589488983153,0.009518750926852226,7957,79.57,48896,2726208,1048,765,0.001,0,33.899890661239624
56,48952,0.4559176089096069,0.009462236881256103,7984,79.84,48896,2775104,1087,805,0.001,0,34.22728633880615
57,48913,0.4470619167518616,0.010400249618291856,7814,78.14,48896,2824000,1115,789,0.001,0,34.03699827194214
58,48885,0.44206183055877685,0.009424410711228848,7968,79.68,48832,2872832,1126,850,0.001,0,34.0541307926178
59,48874,0.44050750877380374,0.00934068906903267,7982,79.82,48832,2921664,1131,819,0.001,0,34.19774842262268
60,48869,0.4335460213470459,0.009782733380794524,7930,79.3,48832,2970496,1201,889,0.001,0,34.5959370136261
