epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,4.027615709228516,0.05838890573978424,1163,11.63,49984,49984,0,0,0.002,0,19.761955499649048
2,50000,3.3814710821533205,0.051244858765602114,1968,19.68,49984,99968,0,0,0.002,0,12.278207778930664
3,50000,2.838084267578125,0.04236083557605744,3053,30.53,49984,149952,0,0,0.002,0,12.199052333831787
4,50000,2.419636890563965,0.03797492727041245,3592,35.92,49984,199936,0,0,0.002,0,12.268938779830933
5,50000,2.158890415649414,0.039796119928359984,3613,36.13,49984,249920,0,0,0.002,0,12.264875888824463
6,50000,1.9782175537109374,0.03637113538980484,4042,40.42,49984,299904,0,0,0.002,0,12.275388479232788
7,50000,1.841985417327881,0.031692849445343015,4610,46.1,49984,349888,0,0,0.002,0,12.290118932723999
8,50000,1.7343856491088867,0.02953210210800171,4866,48.66,49984,399872,4,4,0.002,0,12.350898504257202
9,49996,1.660992328491211,0.02811040333509445,5112,51.12,49984,449856,11,11,0.002,0,16.609524726867676
10,49989,1.589974169921875,0.0327308133482933,4520,45.2,49984,499840,25,25,0.002,0,16.36779022216797
11,49975,1.5305906951904298,0.026449337315559387,5364,53.64,49920,549760,29,28,0.002,0,16.641289472579956
12,49971,1.486937884979248,0.026380860805511476,5333,53.33,49920,599680,40,35,0.002,0,16.225619792938232
13,49960,1.429760262527466,0.026759811651706697,5407,54.07,49920,649600,30,25,0.002,0,16.73989200592041
14,49970,1.3905031690216065,0.02650499688386917,5397,53.97,49920,699520,48,44,0.002,0,15.975425481796265
15,49952,1.3476725074005127,0.027481731188297272,5302,53.02,49920,749440,60,55,0.002,0,16.55228304862976
16,49940,1.3099945501708985,0.02511287612915039,5582,55.82,49920,799360,65,55,0.002,0,15.94623327255249
17,49935,1.2624827840423585,0.026235720086097716,5450,54.5,49920,849280,99,90,0.002,0,12.119578123092651
18,49901,1.2395690073394776,0.024077970629930497,5824,58.24,49856,899136,98,83,0.002,0,12.052367687225342
19,49902,1.1940356272125243,0.024285285252332686,5765,57.65,49856,948992,112,95,0.002,0,12.083067655563354
20,49888,1.15965255027771,0.02398275127410889,5801,58.01,49856,998848,140,120,0.002,0,12.007575511932373
21,49860,1.1261633612060546,0.02261109171509743,5955,59.55,49856,1048704,191,153,0.002,0,9.919046878814697
22,49809,1.1022657926940918,0.021676759684085847,6123,61.23,49792,1098496,222,182,0.002,0,11.954831600189209
23,49778,1.0671079418182372,0.022044629895687104,6129,61.29,49728,1148224,250,187,0.002,0,12.139852523803711
24,49750,1.028272579345703,0.02400010941028595,5847,58.47,49728,1197952,213,144,0.002,0,12.380622386932373
25,49787,1.002462497253418,0.021397098273038866,6123,61.23,49728,1247680,282,215,0.002,0,12.477530241012573
