epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,4.016641384887695,0.058272949600219726,1410,14.1,49984,49984,0,0,0.002,0,34.24239635467529
2,50000,3.5128697650146483,0.052590631198883055,1944,19.44,49984,99968,0,0,0.002,0,33.42853903770447
3,50000,3.2357156546020507,0.04821035013198852,2381,23.81,49984,149952,0,0,0.002,0,34.72978353500366
4,50000,3.062509302368164,0.04642550408840179,2607,26.07,49984,199936,0,0,0.002,0,34.411208629608154
5,50000,2.9444063653564454,0.0447814421415329,2768,27.68,49984,249920,0,0,0.002,0,33.826942443847656
6,50000,2.83180987121582,0.042436924505233765,3129,31.29,49984,299904,0,0,0.002,0,33.448046922683716
7,50000,2.732421792907715,0.04178166081905365,3120,31.2,49984,349888,0,0,0.002,0,33.72074866294861
8,50000,2.619724783630371,0.039337328696250916,3542,35.42,49984,399872,0,0,0.002,0,34.415098667144775
9,50000,2.5062535957336425,0.03770381642580033,3689,36.89,49984,449856,0,0,0.002,0,33.67115354537964
10,50000,2.4157079054260255,0.037379979956150056,3721,37.21,49984,499840,0,0,0.002,0,33.059176206588745
11,50000,2.2857175228881834,0.03515349317789078,4111,41.11,49984,549824,0,0,0.002,0,34.36740016937256
12,50000,2.1876734231567383,0.03484818714857101,4160,41.6,49984,599808,1,1,0.002,0,33.76032280921936
13,49999,2.0862959255981446,0.03354921250343323,4295,42.95,49984,649792,1,1,0.002,0,33.89540672302246
14,49999,2.005516741027832,0.03239657794237137,4504,45.04,49984,699776,0,0,0.002,0,33.519617319107056
15,50000,1.9243952136230469,0.03158421566486359,4635,46.35,49984,749760,2,2,0.002,0,34.166126012802124
16,49998,1.846359430847168,0.03098042231798172,4650,46.5,49984,799744,2,2,0.002,0,33.504371643066406
17,49998,1.7836577058410645,0.03162091431617737,4705,47.05,49984,849728,4,3,0.002,0,34.347980260849
18,49996,1.720199539642334,0.0310934232711792,4685,46.85,49984,899712,5,4,0.002,0,33.90674638748169
19,49995,1.6513372021484376,0.02957953072786331,4940,49.4,49984,949696,6,5,0.002,0,34.07447361946106
20,49994,1.5911175157165527,0.030079019570350647,4863,48.63,49984,999680,5,4,0.002,0,33.58669590950012
21,49995,1.5401267967224122,0.029235692822933198,5055,50.55,49984,1049664,12,9,0.002,0,33.98235821723938
22,49988,1.4822779847717285,0.030016983485221863,4997,49.97,49984,1099648,26,16,0.002,0,33.30397439002991
23,49974,1.4366727871704101,0.029059519171714784,5163,51.63,49920,1149568,36,16,0.002,0,33.88540434837341
24,49964,1.372351893157959,0.02856470205783844,5192,51.92,49920,1199488,36,15,0.002,0,33.91317820549011
25,49964,1.3344218203735352,0.029740537977218626,5036,50.36,49920,1249408,46,24,0.002,0,33.92483711242676
26,49954,1.2932455707550048,0.029496951699256896,5103,51.03,49920,1299328,50,18,0.002,0,33.54615807533264
27,49950,1.2427887190246583,0.029546977508068086,5181,51.81,49920,1349248,43,17,0.002,0,32.929776430130005
28,49957,1.221346301422119,0.02878632320165634,5258,52.58,49920,1399168,59,37,0.002,0,33.941445112228394
29,49941,1.179894005432129,0.028957265841960907,5241,52.41,49920,1449088,78,36,0.002,0,33.89312720298767
30,49922,1.136707174758911,0.029308395445346833,5176,51.76,49920,1499008,88,45,0.002,0,33.796870946884155
31,49912,1.1001852968597412,0.029719181764125822,5151,51.51,49856,1548864,79,38,0.002,0,33.817394971847534
32,49921,1.0782525123596192,0.02957444256544113,5146,51.46,49920,1598784,82,42,0.002,0,34.33572697639465
33,49918,1.0445213398742677,0.029282219207286835,5267,52.67,49856,1648640,103,57,0.002,0,32.37484073638916
34,49897,1.0048944403076172,0.029376218545436858,5255,52.55,49856,1698496,101,59,0.002,0,33.30171799659729
35,49899,0.9790491045379639,0.029369795203208923,5322,53.22,49856,1748352,119,71,0.002,0,33.31559944152832
36,49881,0.9541202272033691,0.03068283096551895,5216,52.16,49856,1798208,118,69,0.002,0,34.06478667259216
37,49882,0.928060466003418,0.029680262327194215,5300,53.0,49856,1848064,106,57,0.002,0,33.65835881233215
38,49894,0.9053055484390259,0.030451600742340088,5239,52.39,49856,1897920,136,93,0.002,0,33.805957317352295
39,49864,0.8833263388442993,0.030563901805877685,5271,52.71,49856,1947776,224,127,0.002,0,33.250105142593384
40,49776,0.8594070420074463,0.03074821661710739,5243,52.43,49728,1997504,250,112,0.002,0,32.432109117507935
41,49750,0.8390165702819824,0.0308420508146286,5268,52.68,49728,2047232,225,94,0.002,0,33.707616090774536
42,49775,0.823842933883667,0.031143895435333253,5263,52.63,49728,2096960,222,85,0.002,0,33.583595752716064
43,49778,0.8052994465637207,0.030435691863298416,5317,53.17,49728,2146688,259,117,0.002,0,32.819286823272705
44,49741,0.7786693133163453,0.031223769283294678,5181,51.81,49728,2196416,316,140,0.002,0,33.873618841171265
45,49684,0.7683633957672119,0.03070481003522873,5278,52.78,49664,2246080,297,119,0.002,0,32.870081663131714
46,49703,0.7452620540237427,0.031679766237735746,5283,52.83,49664,2295744,300,109,0.002,0,32.84811592102051
47,49700,0.7405903120803833,0.03179434841871261,5240,52.4,49664,2345408,303,118,0.002,0,34.02508068084717
48,49697,0.7122910708618164,0.031039827609062196,5276,52.76,49664,2395072,325,135,0.002,0,33.85078692436218
49,49675,0.7074519543075561,0.032046946775913236,5189,51.89,49664,2444736,357,141,0.002,0,34.36996650695801
50,49643,0.686104905204773,0.031395280653238294,5316,53.16,49600,2494336,384,143,0.002,0,34.43092918395996
51,49616,0.6856445093154907,0.03191789360046387,5278,52.78,49600,2543936,433,147,0.002,0,33.69884467124939
52,49567,0.6613295651245117,0.032422911632061006,5243,52.43,49536,2593472,406,129,0.002,0,34.08242726325989
53,49594,0.639860876045227,0.03222946616411209,5305,53.05,49536,2643008,436,149,0.002,0,34.349621057510376
54,49564,0.6447336650848389,0.032126150691509245,5342,53.42,49536,2692544,430,147,0.002,0,33.906362533569336
55,49570,0.6333687692642211,0.03219715131521225,5309,53.09,49536,2742080,465,171,0.002,0,33.77664804458618
56,49535,0.6075986874008179,0.03276005380153656,5273,52.73,49472,2791552,487,151,0.002,0,34.41840147972107
57,49513,0.6133486201477051,0.032099200081825256,5367,53.67,49472,2841024,510,167,0.002,0,33.907384395599365
58,49490,0.5870979581832886,0.03270297608375549,5348,53.48,49472,2890496,524,181,0.002,0,34.39182448387146
59,49476,0.571978971862793,0.03288007372617722,5336,53.36,49472,2939968,539,160,0.002,0,33.98452043533325
60,49461,0.5799926014328003,0.03279014474153519,5257,52.57,49408,2989376,543,157,0.002,0,33.94749927520752
61,49457,0.5585460760498047,0.03357790014743805,5330,53.3,49408,3038784,580,184,0.002,0,33.9400794506073
62,49420,0.5614242343521119,0.03231220996379852,5378,53.78,49408,3088192,568,129,0.002,0,35.02849888801575
63,49432,0.5395574043083191,0.03323913758993149,5362,53.62,49408,3137600,569,171,0.002,0,34.388869524002075
64,49431,0.5256969073295593,0.03330887936353683,5263,52.63,49408,3187008,564,174,0.002,0,34.65612530708313
65,49436,0.5311588660240173,0.03284996970891953,5340,53.4,49408,3236416,590,200,0.002,0,34.37201976776123
66,49410,0.5120760667037964,0.03331523905992508,5421,54.21,49408,3285824,657,225,0.002,0,34.80177855491638
67,49343,0.5087245764160157,0.0336007248044014,5387,53.87,49280,3335104,704,228,0.002,0,34.39533495903015
68,49296,0.5006577278518677,0.03335468119382858,5360,53.6,49280,3384384,716,211,0.002,0,34.38747954368591
69,49284,0.487786381816864,0.033553250336647036,5289,52.89,49280,3433664,709,184,0.002,0,34.30737590789795
70,49291,0.47622673460006715,0.03347820006608963,5354,53.54,49280,3482944,757,226,0.002,0,33.52396631240845
71,49243,0.47975452533721924,0.03322975635528565,5332,53.32,49216,3532160,729,203,0.002,0,33.69366455078125
72,49271,0.4661481083869934,0.032611788082122804,5454,54.54,49216,3581376,756,218,0.002,0,33.472352743148804
73,49244,0.44958656593322754,0.03348051791191101,5417,54.17,49216,3630592,802,261,0.002,0,33.70235228538513
74,49198,0.4523608661079407,0.03365993733406067,5430,54.3,49152,3679744,810,233,0.002,0,33.12388777732849
75,49190,0.444137719039917,0.03433491390943527,5361,53.61,49152,3728896,804,221,0.002,0,33.68237805366516
76,49196,0.43053401317596435,0.034252119421958924,5363,53.63,49152,3778048,861,276,0.002,0,33.566182136535645
77,49139,0.4276162398338318,0.03411998500823975,5417,54.17,49088,3827136,868,248,0.002,0,33.864805698394775
78,49132,0.4183011493682861,0.034597417318820954,5335,53.35,49088,3876224,881,239,0.002,0,33.43015718460083
79,49119,0.4158275224685669,0.03485347061157226,5286,52.86,49088,3925312,894,239,0.002,0,34.434070110321045
80,49106,0.39991867975234985,0.034618718254566194,5386,53.86,49088,3974400,919,283,0.002,0,34.18590569496155
81,49081,0.3998984576416016,0.0346451020359993,5371,53.71,49024,4023424,943,258,0.002,0,34.62248182296753
82,49057,0.39146638094902036,0.03462092959880829,5318,53.18,49024,4072448,1005,303,0.002,0,34.279608726501465
83,48995,0.37538874073028566,0.035248260283470154,5338,53.38,48960,4121408,1046,321,0.002,0,34.00120711326599
84,48954,0.3702874025344849,0.03396709933280945,5453,54.53,48896,4170304,1051,285,0.002,0,33.673773527145386
85,48949,0.3663083096408844,0.03486189266443253,5356,53.56,48896,4219200,1047,284,0.002,0,33.60707211494446
86,48953,0.3629932996559143,0.035121318316459656,5407,54.07,48896,4268096,1067,303,0.002,0,33.65603065490723
87,48933,0.3644966130447388,0.03449591703414917,5415,54.15,48896,4316992,1086,312,0.002,0,34.17058849334717
88,48914,0.3427923802947998,0.03457847303152085,5444,54.44,48896,4365888,1095,305,0.002,0,33.002652645111084
89,48905,0.3366740948009491,0.03469433434009552,5496,54.96,48896,4414784,1129,304,0.002,0,34.307722330093384
90,48871,0.3411931171131134,0.03430030326843262,5445,54.45,48832,4463616,1175,345,0.002,0,34.30276846885681
