epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.6498456240844726,0.021883583736419677,4909,49.09,49984,49984,0,0,0.001,0,147.73769736289978
2,50000,1.1498019234466552,0.015983263850212096,6445,64.45,49984,99968,0,0,0.001,0,147.66992020606995
3,50000,0.8963667742919922,0.014657155460119248,6714,67.14,49984,149952,0,0,0.001,0,148.06069231033325
4,50000,0.7286352910232544,0.011628552475571633,7381,73.81,49984,199936,0,0,0.001,0,145.11472821235657
5,50000,0.6314019018554687,0.01059649732708931,7584,75.84,49984,249920,0,0,0.001,0,146.76581716537476
6,50000,0.5748386560440063,0.010557848396897315,7711,77.11,49984,299904,22,22,0.001,0,148.11929893493652
7,49978,0.5478858359909058,0.010612252125144005,7652,76.52,49920,349824,111,109,0.001,0,152.03786945343018
8,49889,0.5157829996871949,0.009568340855836868,7910,79.1,49856,399680,176,171,0.001,0,147.81533217430115
9,49824,0.4878838766670227,0.009834733828902244,7868,78.68,49792,449472,244,225,0.001,0,145.84970235824585
10,49756,0.47194187631607054,0.009449817740917205,7949,79.49,49728,499200,282,244,0.001,0,145.22221112251282
11,49718,0.45013283237457274,0.010804532390832901,7669,76.69,49664,548864,330,284,0.001,0,145.677232503891
12,49670,0.4380347287750244,0.009102370131015778,8033,80.33,49664,598528,433,352,0.001,0,145.2517809867859
13,49567,0.4215675472831726,0.007975340065360069,8242,82.42,49536,648064,467,380,0.001,0,146.0198142528534
14,49533,0.40669731956481936,0.007164593207836151,8419,84.19,49472,697536,529,402,0.001,0,145.60856318473816
15,49471,0.39329845275878905,0.008252913755178452,8214,82.14,49408,746944,519,406,0.001,0,146.13239693641663
16,49481,0.38183931562423706,0.008013926437497139,8267,82.67,49472,796416,630,500,0.001,0,146.63116550445557
17,49370,0.36927437168121335,0.006613240890204907,8561,85.61,49344,845760,778,541,0.001,0,145.7371597290039
18,49222,0.3698582434082031,0.00871431959271431,8175,81.75,49216,894976,829,542,0.001,0,145.96734976768494
19,49171,0.35292948749542236,0.006990648090839386,8492,84.92,49152,944128,894,619,0.001,0,146.2769649028778
20,49106,0.3417421281719208,0.007221351927518845,8451,84.51,49088,993216,1000,682,0.001,0,141.34286904335022
21,49000,0.3259149747943878,0.007540780475735664,8388,83.88,48960,1042176,1076,676,0.001,0,143.61139917373657
