epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.4470649936676026,0.01826930521130562,5766,57.66,49984,49984,0,0,0.001,0,19.644043445587158
2,50000,0.9592489083862304,0.012874099963903428,7080,70.8,49984,99968,0,0,0.001,0,12.39352011680603
3,50000,0.7356297792434693,0.010907819044589996,7533,75.33,49984,149952,0,0,0.001,0,12.499540328979492
4,50000,0.6089810168075561,0.010196729606389999,7840,78.4,49984,199936,0,0,0.001,0,12.46614122390747
5,50000,0.5293895627212525,0.009387659761309624,7991,79.91,49984,249920,0,0,0.001,0,12.392796277999878
6,50000,0.47214102571487426,0.0077252850815653805,8306,83.06,49984,299904,207,207,0.001,0,12.39111328125
7,49793,0.4255526054954529,0.007894139142334462,8292,82.92,49792,349696,673,641,0.001,0,12.304521322250366
8,49327,0.38236933881759644,0.012385975533723831,7671,76.71,49280,398976,877,766,0.001,0,12.305256366729736
9,49123,0.3475091027164459,0.008467792309820652,8239,82.39,49088,448064,1237,968,0.001,0,12.224888801574707
10,48763,0.31695224192142485,0.008715786787867547,8213,82.13,48704,496768,1773,1123,0.001,0,12.087397336959839
11,48227,0.29430814611434936,0.007625425642728806,8311,83.11,48192,544960,2294,1327,0.001,0,11.994401454925537
12,47706,0.26716221426963804,0.007298351427912712,8461,84.61,47680,592640,2977,1565,0.001,0,11.853076457977295
13,47023,0.24589517022132873,0.007413536530733109,8451,84.51,46976,639616,3866,1890,0.001,0,11.844870567321777
14,46134,0.22801862376213075,0.005986766237020493,8672,86.72,46080,685696,4961,2049,0.001,0,11.707005500793457
15,45039,0.20445499341487886,0.005782285812497139,8770,87.7,44992,730688,5968,2178,0.001,0,11.537128210067749
16,44032,0.19383735277175904,0.006170999470353126,8691,86.91,44032,774720,6820,2323,0.001,0,11.481439352035522
17,43180,0.1781730692100525,0.006044245451688766,8667,86.67,43136,817856,7586,2274,0.001,0,11.367313385009766
18,42414,0.1621471366739273,0.005855000714212656,8759,87.59,42368,860224,8553,2381,0.001,0,11.297671556472778
19,41447,0.1507376349067688,0.00556186580657959,8802,88.02,41408,901632,9368,2354,0.001,0,11.243587255477905
20,40632,0.13747255221843718,0.00561276774033904,8839,88.39,40576,942208,10392,2653,0.001,0,11.089543581008911
21,39608,0.12730520726680755,0.005543574796617031,8845,88.45,39552,981760,11397,2796,0.001,0,10.922583818435669
22,38603,0.11688920361042023,0.005513426297903061,8870,88.7,38592,1020352,12216,2724,0.001,0,10.660104990005493
23,37784,0.10965783175230026,0.005860579343140125,8814,88.14,37760,1058112,12850,2621,0.001,0,10.545584440231323
24,37150,0.09995633425474167,0.005052687646448612,8961,89.61,37120,1095232,13613,2670,0.001,0,10.43004322052002
25,36387,0.09475172300815582,0.0057695003926753995,8841,88.41,36352,1131584,14141,2728,0.001,0,10.301501989364624
26,35859,0.08887184334754944,0.005158745835721493,8971,89.71,35840,1167424,15000,2745,0.001,0,10.14965295791626
27,35000,0.07559830418586731,0.004814262453466654,9026,90.26,34944,1202368,16195,2842,0.001,0,10.04055643081665
28,33805,0.07903068709850311,0.005159413158148527,8955,89.55,33792,1236160,17083,2825,0.001,0,9.810068845748901
29,32917,0.0739611697590351,0.004882815658301115,9003,90.03,32896,1269056,18037,2973,0.001,0,9.59455943107605
30,31963,0.06809874107003212,0.005037852483987808,9009,90.09,31936,1300992,18676,2821,0.001,0,9.400116205215454
31,31324,0.06222593485355377,0.005983783506602049,8890,88.9,31296,1332288,18736,2467,0.001,0,7.200791120529175
32,31264,0.05730110219478607,0.005164667892456055,9026,90.26,31232,1363520,19149,2315,0.001,0,9.381308794021606
33,30851,0.055474986842870715,0.005220889905095101,9033,90.33,30848,1394368,20089,2739,0.001,0,9.404327154159546
34,29911,0.05645442737817764,0.005121031605452299,9005,90.05,29888,1424256,20753,2746,0.001,0,9.370210647583008
35,29247,0.04750852130770683,0.0048092586021870375,9076,90.76,29184,1453440,21522,2743,0.001,0,9.096782445907593
36,28478,0.047329038301110266,0.00505924420915544,9075,90.75,28416,1481856,22161,2679,0.001,0,9.026429891586304
37,27839,0.04464975457847118,0.005066652497649193,9084,90.84,27776,1509632,22428,2350,0.001,0,8.971195936203003
38,27572,0.04295007636666298,0.004982929742895067,9092,90.92,27520,1537152,22797,2493,0.001,0,8.978898525238037
39,27203,0.04500300739884377,0.005278905519470573,9035,90.35,27200,1564352,23132,2663,0.001,0,8.749439477920532
40,26868,0.036874343458414074,0.00499277624450624,9072,90.72,26816,1591168,23244,2366,0.001,0,9.11706018447876
41,26756,0.037308537041842935,0.0053460423335433,9034,90.34,26752,1617920,23588,2574,0.001,0,8.942837238311768
42,26412,0.0338652706733346,0.005079949618130923,9071,90.71,26368,1644288,23805,2459,0.001,0,8.66633129119873
43,26195,0.036096375796794894,0.005653804515302181,9026,90.26,26176,1670464,23910,2550,0.001,0,8.737001180648804
44,26090,0.03423558057069778,0.005634594655409456,9038,90.38,26048,1696512,24364,2622,0.001,0,8.746546506881714
45,25636,0.03198709353387356,0.005489853092841804,9080,90.8,25600,1722112,24585,2440,0.001,0,8.70401906967163
46,25415,0.035327287489175796,0.005976292449980975,9008,90.08,25408,1747520,25102,2592,0.001,0,9.01791501045227
47,24898,0.030598068357110025,0.0053594158641994,9082,90.82,24896,1772416,25298,2492,0.001,0,8.632184028625488
48,24702,0.03148972718000412,0.005452888664603233,9053,90.53,24640,1797056,25626,2594,0.001,0,8.658832550048828
49,24374,0.029770434339046477,0.005247492627799511,9092,90.92,24320,1821376,25608,2382,0.001,0,8.654573440551758
50,24392,0.027121774753928185,0.005044979977235198,9135,91.35,24384,1845760,25864,2453,0.001,0,8.434779167175293
51,24136,0.028102864176034928,0.005240567550063133,9087,90.87,24128,1869888,26269,2491,0.001,0,8.75994348526001
52,23731,0.027808562459945677,0.004991629470512271,9120,91.2,23680,1893568,26706,2530,0.001,0,8.647139310836792
53,23294,0.02438308055669069,0.005754743313416839,9052,90.52,23232,1916800,26975,2511,0.001,0,8.334977388381958
54,23025,0.023555637238770723,0.005493585380911827,9083,90.83,22976,1939776,27232,2523,0.001,0,8.417659282684326
55,22768,0.024711154915988444,0.005237430561520159,9126,91.26,22720,1962496,27379,2393,0.001,0,8.3206627368927
56,22621,0.026203298518657683,0.0056976946875453,9075,90.75,22592,1985088,27158,2248,0.001,0,8.091978788375854
57,22842,0.026119614148139954,0.005143095222115516,9124,91.24,22784,2007872,27056,2234,0.001,0,8.574977159500122
58,22944,0.019890476765930653,0.005563451585173607,9068,90.68,22912,2030784,27272,2419,0.001,0,8.306946754455566
59,22728,0.022117821018695832,0.00582391021065414,9068,90.68,22720,2053504,27390,2416,0.001,0,8.17247986793518
60,22610,0.019119733907580375,0.005948698337376118,9003,90.03,22592,2076096,27474,2468,0.001,0,8.060213327407837
61,22526,0.02184583722144365,0.005360955850034952,9100,91.0,22464,2098560,27932,2740,0.001,0,8.060487747192383
62,22068,0.02277537916302681,0.005565718819573522,9093,90.93,22016,2120576,28130,2491,0.001,0,8.032511234283447
63,21870,0.01974913527175784,0.005463423786684871,9113,91.13,21824,2142400,28034,2243,0.001,0,8.30458664894104
64,21966,0.022047811136543752,0.0052389410059899095,9110,91.1,21952,2164352,28272,2527,0.001,0,8.195534944534302
65,21728,0.02029732969328761,0.0055239316849038005,9073,90.73,21696,2186048,28281,2471,0.001,0,7.973320484161377
66,21719,0.023985649231672287,0.005245451027527452,9097,90.97,21696,2207744,28122,2381,0.001,0,7.90553617477417
67,21878,0.01697819669775665,0.005799487506225705,9094,90.94,21824,2229568,28378,2450,0.001,0,8.02648663520813
68,21622,0.019104221035391094,0.00546002833917737,9108,91.08,21568,2251136,28477,2397,0.001,0,7.912205696105957
69,21523,0.018188037427067757,0.005332000998407602,9124,91.24,21504,2272640,28778,2500,0.001,0,8.213932752609253
70,21222,0.016306226106137037,0.005614428653195501,9087,90.87,21184,2293824,29266,2679,0.001,0,7.878294229507446
71,20734,0.019506665204912423,0.005830295615270734,9048,90.48,20672,2314496,29247,2551,0.001,0,7.783921957015991
72,20753,0.017919984780550003,0.005469217756390572,9159,91.59,20736,2335232,29374,2409,0.001,0,7.901909828186035
73,20626,0.01845446312919259,0.0054451664071530105,9136,91.36,20608,2355840,29451,2358,0.001,0,7.872260570526123
74,20549,0.01639849473685026,0.005502439458481967,9127,91.27,20544,2376384,29523,2362,0.001,0,8.01945185661316
75,20477,0.018489441062659026,0.005220074276253581,9147,91.47,20416,2396800,29637,2481,0.001,0,8.141133308410645
76,20363,0.017352044235169888,0.00569667779058218,9080,90.8,20352,2417152,29630,2627,0.001,0,7.850755453109741
77,20370,0.015468301528692245,0.005826480686571449,9060,90.6,20352,2437504,29137,2277,0.001,0,7.828186988830566
78,20863,0.015008224440515042,0.005378835383802652,9155,91.55,20800,2458304,29092,2384,0.001,0,8.005662441253662
79,20908,0.01628392765045166,0.005367001620307565,9128,91.28,20864,2479168,29191,2386,0.001,0,7.836540937423706
80,20809,0.013238321637958288,0.005507613511383533,9114,91.14,20800,2499968,29668,2614,0.001,0,7.954067230224609
81,20332,0.013789859802126884,0.0056072829693555835,9097,90.97,20288,2520256,30220,2873,0.001,0,8.014208555221558
82,19780,0.017692192730903625,0.005205975526571273,9154,91.54,19776,2540032,30424,2639,0.001,0,7.710787534713745
83,19576,0.013017116903066636,0.005496138687245548,9142,91.42,19520,2559552,30349,2431,0.001,0,7.755566835403442
