epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9332698483276367,0.025924674999713897,3922,39.22,49984,49984,0,0,0.001,0,11.374749422073364
2,50000,1.457522354888916,0.021181982505321502,5183,51.83,49984,99968,0,0,0.001,0,4.668390989303589
3,50000,1.1960346271514892,0.017551020342111586,6002,60.02,49984,149952,0,0,0.001,0,4.685774564743042
4,50000,0.9786147957611084,0.014792565083503724,6684,66.84,49984,199936,0,0,0.001,0,4.660479307174683
5,50000,0.8214039122390747,0.01386952844262123,6875,68.75,49984,249920,0,0,0.001,0,4.672164678573608
6,50000,0.7304941236114502,0.014625838822126388,6893,68.93,49984,299904,2,2,0.001,0,4.68372106552124
7,49998,0.6813124992370605,0.015086887896060944,6763,67.63,49984,349888,4,4,0.001,0,7.949356317520142
8,49996,0.6456518264007568,0.010944882917404175,7644,76.44,49984,399872,51,51,0.001,0,8.035673141479492
9,49949,0.6186516342544556,0.011396886092424393,7541,75.41,49920,449792,89,88,0.001,0,7.981391668319702
10,49911,0.6001354136276245,0.00991795602440834,7858,78.58,49856,499648,119,119,0.001,0,4.745293140411377
11,49881,0.5846635348510743,0.012652875304222107,7383,73.83,49856,549504,168,157,0.001,0,4.723117828369141
12,49832,0.5710170275115967,0.010590194255113601,7744,77.44,49792,599296,168,144,0.001,0,4.744761943817139
13,49832,0.5620057512283325,0.012003469261527061,7538,75.38,49792,649088,204,185,0.001,0,4.7141900062561035
14,49796,0.5590761862564086,0.009832429718971252,7842,78.42,49792,698880,232,201,0.001,0,4.737715244293213
15,49768,0.5450375161743164,0.009849346405267715,7805,78.05,49728,748608,257,224,0.001,0,4.755897760391235
16,49743,0.546531141242981,0.009441103559732437,7913,79.13,49728,798336,259,227,0.001,0,4.786660671234131
17,49741,0.5389345667266846,0.010465448993444443,7692,76.92,49728,848064,252,219,0.001,0,4.762565612792969
18,49748,0.5312980593109131,0.010395550346374512,7704,77.04,49728,897792,253,228,0.001,0,4.6876380443573
19,49747,0.5266817688941956,0.01035479797720909,7741,77.41,49728,947520,265,222,0.001,0,4.78569769859314
20,49735,0.5234656077194214,0.009544906756281852,7875,78.75,49728,997248,263,222,0.001,0,4.785315752029419
21,49737,0.5201600860214234,0.01047916474044323,7834,78.34,49728,1046976,372,308,0.001,0,4.741729259490967
22,49628,0.5179323123550416,0.011434053945541383,7615,76.15,49600,1096576,329,278,0.001,0,4.753971338272095
23,49671,0.511770390586853,0.0105652522534132,7798,77.98,49664,1146240,339,280,0.001,0,4.743285417556763
24,49661,0.5088792812728882,0.010499453952908517,7801,78.01,49600,1195840,305,256,0.001,0,4.749725580215454
25,49695,0.506727444934845,0.00884594821035862,8088,80.88,49664,1245504,358,304,0.001,0,4.760908603668213
26,49642,0.5022137525749206,0.010896953803300857,7671,76.71,49600,1295104,339,266,0.001,0,4.760706186294556
27,49661,0.5023708145713807,0.009492405369877815,7980,79.8,49600,1344704,316,250,0.001,0,4.728652477264404
28,49684,0.49765370121002195,0.00847033100426197,8217,82.17,49664,1394368,358,301,0.001,0,4.756954908370972
29,49642,0.49515174882888796,0.008840342268347741,8092,80.92,49600,1443968,408,347,0.001,0,4.74266242980957
30,49592,0.49647751832962034,0.008407397165894509,8176,81.76,49536,1493504,358,291,0.001,0,4.74859881401062
31,49642,0.48688555812835693,0.009347321829199791,7966,79.66,49600,1543104,383,319,0.001,0,4.745320558547974
32,49617,0.4885542201423645,0.009905389718711376,7938,79.38,49600,1592704,428,336,0.001,0,4.758466482162476
33,49572,0.489513309173584,0.012815296545624733,7399,73.99,49536,1642240,395,317,0.001,0,4.761027097702026
34,49605,0.4835811279296875,0.010226238164305687,7861,78.61,49600,1691840,383,296,0.001,0,4.7711098194122314
35,49617,0.4771447898292541,0.007947999355196952,8309,83.09,49600,1741440,407,357,0.001,0,4.753906965255737
36,49593,0.47911942226409915,0.009386107474565506,8004,80.04,49536,1790976,430,340,0.001,0,4.781879186630249
37,49570,0.47653794094085694,0.010220278981328011,7875,78.75,49536,1840512,423,332,0.001,0,4.76288104057312
38,49577,0.4718020598602295,0.008728258928656578,8156,81.56,49536,1890048,445,376,0.001,0,4.746407508850098
39,49555,0.4716850564956665,0.008115487384796142,8239,82.39,49536,1939584,491,384,0.001,0,4.752435922622681
40,49509,0.47436658130645754,0.008518709808588027,8224,82.24,49472,1989056,477,363,0.001,0,4.76366925239563
41,49523,0.47649619440078733,0.010275099113583566,7761,77.61,49472,2038528,434,355,0.001,0,4.7631776332855225
42,49566,0.4651936848068237,0.009546437287330628,7970,79.7,49536,2088064,427,361,0.001,0,4.791789531707764
43,49573,0.4672795820426941,0.007921512204408645,8273,82.73,49536,2137600,475,371,0.001,0,4.779067516326904
44,49525,0.46414481494903564,0.010318958687782287,7780,77.8,49472,2187072,445,348,0.001,0,4.737531661987305
45,49555,0.4547794859313965,0.010103912433981895,7849,78.49,49536,2236608,469,394,0.001,0,4.732406139373779
46,49531,0.46070008361816406,0.008287229910492896,8215,82.15,49472,2286080,572,453,0.001,0,4.753829479217529
47,49428,0.4574059425163269,0.00937658706754446,7965,79.65,49408,2335488,502,339,0.001,0,4.769265651702881
48,49498,0.4549301837730408,0.009535194629430772,7934,79.34,49472,2384960,470,375,0.001,0,4.763633728027344
49,49530,0.4540891024208069,0.00836311699450016,8192,81.92,49472,2434432,519,415,0.001,0,4.769007682800293
50,49481,0.45191303735733035,0.01106595132946968,7685,76.85,49472,2483904,498,377,0.001,0,4.74340295791626
51,49502,0.45096870231628416,0.009336080695688724,7947,79.47,49472,2533376,530,408,0.001,0,4.736454486846924
52,49470,0.4438044289588928,0.008230221515893936,8256,82.56,49408,2582784,490,365,0.001,0,4.747247695922852
53,49510,0.44846049867630006,0.00781854752600193,8330,83.3,49472,2632256,499,386,0.001,0,4.758522987365723
54,49501,0.4393807572174072,0.007759121811389923,8369,83.69,49472,2681728,553,414,0.001,0,4.750030755996704
55,49447,0.4354762627220154,0.00887353714108467,8057,80.57,49408,2731136,578,417,0.001,0,4.772141456604004
56,49422,0.4407285396575928,0.010001101985573769,7881,78.81,49408,2780544,578,428,0.001,0,4.735610485076904
57,49422,0.4323901488876343,0.007872722598910331,8324,83.24,49408,2829952,631,455,0.001,0,4.761581182479858
58,49369,0.4312864422225952,0.008682560524344443,8147,81.47,49344,2879296,557,429,0.001,0,4.784132242202759
59,49443,0.43003813222885134,0.009363384193181992,8005,80.05,49408,2928704,465,384,0.001,0,4.784294843673706
60,49535,0.4270011632537842,0.008110380686819553,8313,83.13,49472,2978176,594,450,0.001,0,4.75220251083374
61,49406,0.43022375413894653,0.008690095657110214,8074,80.74,49344,3027520,595,474,0.001,0,4.792209148406982
62,49405,0.4292090838813782,0.007907986602187157,8360,83.6,49344,3076864,609,445,0.001,0,4.750292539596558
63,49391,0.4254889919281006,0.008270021530985832,8185,81.85,49344,3126208,593,449,0.001,0,4.731217384338379
64,49407,0.41602299303054807,0.008193085178732872,8231,82.31,49344,3175552,633,460,0.001,0,4.749951124191284
65,49367,0.4154385405540466,0.008005367118120194,8297,82.97,49344,3224896,627,404,0.001,0,4.7819788455963135
66,49373,0.4094780225753784,0.00869171851426363,8129,81.29,49344,3274240,675,515,0.001,0,4.741600513458252
67,49325,0.41203853399276735,0.00859089467972517,8117,81.17,49280,3323520,650,467,0.001,0,4.75366473197937
68,49350,0.41174633800506594,0.00785923424065113,8324,83.24,49344,3372864,722,516,0.001,0,4.788270711898804
69,49278,0.40604069370269774,0.008025738826394081,8242,82.42,49216,3422080,759,535,0.001,0,4.751814365386963
70,49241,0.4102905411148071,0.007863611376285553,8331,83.31,49216,3471296,686,477,0.001,0,4.752272605895996
71,49314,0.4018423790550232,0.010842544811964035,7693,76.93,49280,3520576,622,478,0.001,0,4.764926433563232
72,49378,0.39284099285125734,0.008078299686312676,8285,82.85,49344,3569920,731,531,0.001,0,4.759101629257202
73,49269,0.4035403900146484,0.008884613171219826,8119,81.19,49216,3619136,744,555,0.001,0,4.70858097076416
74,49256,0.3961932380867004,0.0077568429067730905,8356,83.56,49216,3668352,705,509,0.001,0,4.738769292831421
75,49295,0.39217307874679563,0.006893594574928284,8564,85.64,49280,3717632,725,510,0.001,0,4.771793365478516
76,49275,0.39225737215042117,0.007871932539343833,8328,83.28,49216,3766848,755,531,0.001,0,4.76797890663147
77,49245,0.38691501317977905,0.008025161318480968,8288,82.88,49216,3816064,686,490,0.001,0,4.736206531524658
78,49314,0.383443362493515,0.007445066791772843,8439,84.39,49280,3865344,739,552,0.001,0,4.765833854675293
79,49261,0.385924640712738,0.007185940200090409,8478,84.78,49216,3914560,746,538,0.001,0,4.796171426773071
80,49254,0.3802828104019165,0.00880678137242794,8131,81.31,49216,3963776,744,539,0.001,0,4.736644268035889
81,49256,0.3779626529598236,0.007252956056594848,8443,84.43,49216,4012992,765,542,0.001,0,4.760239601135254
82,49235,0.3770007912063599,0.008030853822827339,8257,82.57,49216,4062208,798,591,0.001,0,4.767139434814453
83,49202,0.3707411638355255,0.008058737917244435,8333,83.33,49152,4111360,787,556,0.001,0,4.769747972488403
84,49213,0.3676303072166443,0.007291265708208084,8437,84.37,49152,4160512,796,560,0.001,0,4.7933502197265625
85,49204,0.365100523147583,0.007313679084181786,8440,84.4,49152,4209664,863,638,0.001,0,4.786608457565308
86,49137,0.3660003165435791,0.007478815639019013,8379,83.79,49088,4258752,891,631,0.001,0,4.773151636123657
87,49109,0.35765475598335267,0.007540172716975212,8337,83.37,49088,4307840,925,656,0.001,0,4.789697170257568
88,49075,0.355096129322052,0.007083602532744407,8454,84.54,49024,4356864,974,632,0.001,0,4.768671035766602
89,49026,0.35492220620155335,0.006892050732672215,8546,85.46,49024,4405888,1006,632,0.001,0,4.752277135848999
90,48994,0.34995898159980776,0.007939917501807213,8321,83.21,48960,4454848,969,659,0.001,0,4.760476350784302
91,49031,0.3458965118598938,0.0071770366951823235,8476,84.76,49024,4503872,983,660,0.001,0,4.754487991333008
92,49017,0.3495027746772766,0.0073406724095344544,8433,84.33,48960,4552832,981,658,0.001,0,4.759578227996826
93,49019,0.3427120756149292,0.007760548232495785,8348,83.48,48960,4601792,1123,731,0.001,0,4.777941942214966
94,48877,0.34227946551322935,0.0071183458507061,8517,85.17,48832,4650624,1071,736,0.001,0,4.736988544464111
95,48929,0.3344843377494812,0.007026550994813442,8471,84.71,48896,4699520,1101,691,0.001,0,4.754853248596191
96,48899,0.3365199761581421,0.007691593414545059,8351,83.51,48896,4748416,1072,744,0.001,0,4.750915288925171
97,48928,0.3292422093772888,0.007418372055888176,8351,83.51,48896,4797312,1088,746,0.001,0,4.759193181991577
98,48912,0.3289542666721344,0.006838397836685181,8570,85.7,48896,4846208,1116,740,0.001,0,4.746829271316528
99,48884,0.3253228308391571,0.006455614106357098,8609,86.09,48832,4895040,1094,688,0.001,0,4.745573043823242
100,48906,0.3238317408180237,0.006810868407785892,8537,85.37,48896,4943936,1053,680,0.001,0,4.72680139541626
101,48947,0.32397249187469485,0.007262862479686737,8458,84.58,48896,4992832,1137,769,0.001,0,4.708431720733643
102,48863,0.3125737598133087,0.00671784838438034,8595,85.95,48832,5041664,1174,681,0.001,0,4.7202887535095215
103,48826,0.31398147837638857,0.0074704303547739985,8446,84.46,48768,5090432,1192,767,0.001,0,4.724506855010986
104,48808,0.3076758487701416,0.00704920097887516,8482,84.82,48768,5139200,1240,809,0.001,0,4.727136850357056
105,48760,0.3053773620605469,0.008035858473181725,8316,83.16,48704,5187904,1277,877,0.001,0,4.718165397644043
106,48723,0.30197418121337893,0.006697842463850975,8548,85.48,48704,5236608,1283,803,0.001,0,4.695497989654541
107,48717,0.29999641251564024,0.006869660288095474,8552,85.52,48704,5285312,1242,828,0.001,0,4.718174934387207
108,48758,0.29088103675842286,0.00644375656247139,8650,86.5,48704,5334016,1388,892,0.001,0,4.70149040222168
109,48612,0.29107193581581114,0.00763859157115221,8468,84.68,48576,5382592,1471,905,0.001,0,4.728776454925537
110,48529,0.2860696722126007,0.006984289643168449,8474,84.74,48512,5431104,1396,894,0.001,0,4.733073949813843
111,48604,0.283128267993927,0.0072902802541851995,8485,84.85,48576,5479680,1378,828,0.001,0,4.742046117782593
112,48622,0.2804907640838623,0.006159106825292111,8723,87.23,48576,5528256,1523,968,0.001,0,4.707885265350342
113,48477,0.2760857890892029,0.0063240413203835485,8632,86.32,48448,5576704,1462,900,0.001,0,4.740422248840332
114,48538,0.27089138998031614,0.006245658248662949,8627,86.27,48512,5625216,1544,943,0.001,0,4.71788215637207
115,48456,0.26539746321201324,0.006776117235422135,8589,85.89,48448,5673664,1754,1076,0.001,0,4.718828439712524
116,48246,0.2704738653564453,0.005952210089564323,8727,87.27,48192,5721856,1768,1032,0.001,0,4.684023141860962
117,48232,0.26243132168769834,0.00673512032032013,8599,85.99,48192,5770048,1727,1056,0.001,0,4.688946008682251
118,48273,0.255138175868988,0.0068361145362257954,8563,85.63,48256,5818304,1795,1084,0.001,0,4.707566022872925
119,48205,0.24954062221527099,0.00646670098900795,8585,85.85,48192,5866496,1751,938,0.001,0,4.687659502029419
120,48249,0.253592902173996,0.006353425846993923,8636,86.36,48192,5914688,1808,1020,0.001,0,4.697377681732178
121,48192,0.24766886826515197,0.006354978157579899,8681,86.81,48192,5962880,1863,1149,0.001,0,4.69064998626709
122,48137,0.24464727301597594,0.00649061273932457,8642,86.42,48128,6011008,2105,1258,0.001,0,4.668443918228149
123,47895,0.2395972775173187,0.005707082170248031,8773,87.73,47872,6058880,2107,1175,0.001,0,4.688111305236816
124,47893,0.23054334184646608,0.006835714706778526,8578,85.78,47872,6106752,2051,1131,0.001,0,4.668454647064209
125,47949,0.22787590174674988,0.005630505563318729,8816,88.16,47936,6154688,2028,1060,0.001,0,4.660604238510132
126,47972,0.22467073508262633,0.0052554561823606495,8846,88.46,47936,6202624,2275,1256,0.001,0,4.639966011047363
127,47725,0.22367556877613068,0.005430096211284399,8856,88.56,47680,6250304,2590,1299,0.001,0,4.651211738586426
128,47410,0.21409755666732788,0.0063717288285493855,8674,86.74,47360,6297664,2673,1389,0.001,0,4.659525156021118
129,47327,0.21266826480865478,0.005323822936415672,8867,88.67,47296,6344960,2755,1377,0.001,0,4.633727788925171
130,47245,0.21188280058860778,0.006088357202708721,8706,87.06,47232,6392192,2687,1374,0.001,0,4.649249792098999
131,47313,0.2021311954307556,0.005677908955514431,8782,87.82,47296,6439488,2626,1274,0.001,0,4.631889820098877
