epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.485585768814087,0.01865932096838951,5664,56.64,49984,49984,0,0,0.001,0,11.401932954788208
2,50000,1.0360654246520997,0.01423854387998581,6755,67.55,49984,99968,0,0,0.001,0,4.704715251922607
3,50000,0.8305867269897461,0.0132456666380167,7028,70.28,49984,149952,0,0,0.001,0,4.70780348777771
4,50000,0.7057629614639283,0.011040030512213707,7530,75.3,49984,199936,0,0,0.001,0,4.7035746574401855
5,50000,0.6207729497909545,0.010650958985090256,7653,76.53,49984,249920,0,0,0.001,0,4.674596786499023
6,50000,0.5550670999908447,0.008711791414022447,8064,80.64,49984,299904,72,72,0.001,0,4.681449890136719
7,49928,0.5048232688522339,0.008089202117919922,8227,82.27,49920,349824,300,295,0.001,0,4.722724437713623
8,49700,0.46111779724121094,0.008949464476108551,8061,80.61,49664,399488,481,446,0.001,0,4.765926361083984
9,49519,0.4304435036087036,0.011043303686380386,7703,77.03,49472,448960,573,496,0.001,0,4.750227451324463
10,49427,0.399241652469635,0.008787019947171211,8098,80.98,49408,498368,700,579,0.001,0,4.745323896408081
11,49300,0.3745757248497009,0.009138298654556275,8073,80.73,49280,547648,960,722,0.001,0,4.746856212615967
12,49040,0.34703870878219606,0.009027018335461616,8074,80.74,49024,596672,1273,830,0.001,0,4.7401123046875
13,48727,0.32778993879318236,0.008075353129208087,8280,82.8,48704,645376,1670,999,0.001,0,4.7086522579193115
14,48330,0.30627961638450624,0.008217952167987824,8270,82.7,48320,693696,2219,1179,0.001,0,4.69381856918335
15,47781,0.2957458668708801,0.008348183815181256,8248,82.48,47744,741440,2575,1208,0.001,0,4.64019775390625
16,47425,0.2744626746082306,0.008435711047053337,8248,82.48,47424,788864,2912,1326,0.001,0,4.637702465057373
17,47088,0.2597291775035858,0.00803567786514759,8300,83.0,47040,835904,3231,1398,0.001,0,4.6674582958221436
18,46769,0.24950755908966066,0.006968859155476093,8543,85.43,46720,882624,3531,1397,0.001,0,4.6331071853637695
19,46469,0.23431662413597107,0.007518762128055096,8410,84.1,46464,929088,3932,1456,0.001,0,4.587068319320679
20,46068,0.22418736364364625,0.007163443285226822,8442,84.42,46016,975104,4428,1638,0.001,0,4.539559841156006
21,45572,0.21016315422058104,0.006679956609010697,8613,86.13,45568,1020672,4829,1753,0.001,0,4.558550119400024
22,45171,0.20080583347320557,0.007188958463072777,8503,85.03,45120,1065792,5356,1815,0.001,0,4.523218870162964
23,44644,0.18977182334899903,0.006642152339220047,8580,85.8,44608,1110400,5883,1805,0.001,0,4.476523399353027
24,44117,0.18141091713428498,0.00686037320792675,8550,85.5,44096,1154496,6161,1740,0.001,0,4.460253477096558
25,43839,0.17417101495742798,0.006404651422798634,8641,86.41,43776,1198272,6724,1859,0.001,0,4.424307346343994
26,43276,0.162861592130661,0.006352659212052822,8666,86.66,43264,1241536,7537,2124,0.001,0,4.397872447967529
27,42463,0.15372642592430114,0.006532454416155815,8657,86.57,42432,1283968,7977,2105,0.001,0,4.366220235824585
28,42023,0.14993926913022995,0.006641444794088602,8627,86.27,41984,1325952,8376,1955,0.001,0,4.347107648849487
29,41624,0.144580799100399,0.006045315560698509,8757,87.57,41600,1367552,8916,2080,0.001,0,4.3107194900512695
30,41084,0.13499307180404663,0.006176359097659588,8740,87.4,41024,1408576,9253,1968,0.001,0,4.278663158416748
31,40747,0.12730204711437226,0.006460513196885586,8706,87.06,40704,1449280,9605,2030,0.001,0,4.297851085662842
32,40395,0.12434188697338104,0.006394645583629608,8672,86.72,40384,1489664,10133,2313,0.001,0,4.234607219696045
33,39867,0.12037055357933045,0.006307325328886509,8694,86.94,39808,1529472,10435,2122,0.001,0,4.233083963394165
34,39565,0.10953880957126617,0.00651470535621047,8707,87.07,39552,1569024,10756,2107,0.001,0,4.19814658164978
35,39244,0.10788075325965882,0.006078689656406641,8744,87.44,39232,1608256,11190,2161,0.001,0,4.196332931518555
36,38810,0.10488395496606827,0.006106324356794358,8790,87.9,38784,1647040,11610,2226,0.001,0,4.14835524559021
37,38390,0.09478900987148285,0.005717744021117687,8859,88.59,38336,1685376,12338,2360,0.001,0,4.161272764205933
38,37662,0.09736960338115692,0.005643880146741867,8855,88.55,37632,1723008,12895,2262,0.001,0,4.128026723861694
39,37105,0.083811190700531,0.006509089674055576,8772,87.72,37056,1760064,13099,2285,0.001,0,4.0723981857299805
40,36901,0.08546938590049744,0.00628500587940216,8766,87.66,36864,1796928,13329,2203,0.001,0,4.030581474304199
41,36671,0.07876466443538666,0.00611985137462616,8835,88.35,36608,1833536,13921,2259,0.001,0,4.038109540939331
42,36079,0.07526433938264847,0.006142211616039276,8788,87.88,36032,1869568,14431,2259,0.001,0,3.9944238662719727
43,35569,0.0758159692955017,0.0062263003505766395,8817,88.17,35520,1905088,14899,2322,0.001,0,3.975463628768921
44,35101,0.07214526605248452,0.005624959782510996,8917,89.17,35072,1940160,15573,2503,0.001,0,3.9717018604278564
45,34427,0.07523889967679978,0.0068772229656577115,8684,86.84,34368,1974528,15492,2206,0.001,0,3.915520429611206
46,34508,0.07100270892500878,0.005916025910153985,8857,88.57,34496,2009024,15500,2134,0.001,0,3.912202835083008
47,34500,0.06280570397138596,0.006152244405448436,8864,88.64,34496,2043520,15653,2011,0.001,0,3.9308180809020996
48,34347,0.05957148104667664,0.005755320201814174,8905,89.05,34304,2077824,16091,2214,0.001,0,3.9270026683807373
49,33909,0.0554274066233635,0.006149196264892817,8843,88.43,33856,2111680,16557,2311,0.001,0,3.9032680988311768
50,33443,0.05750589947581291,0.006532798720151186,8805,88.05,33408,2145088,17245,2630,0.001,0,3.870427131652832
51,32755,0.061011329796910284,0.006173433794081211,8861,88.61,32704,2177792,17645,2418,0.001,0,3.829915761947632
52,32355,0.05353351179242134,0.006100900496542454,8893,88.93,32320,2210112,17687,2170,0.001,0,3.809988021850586
53,32313,0.051381077660918234,0.005713966593891382,8925,89.25,32256,2242368,17945,2177,0.001,0,3.8062548637390137
54,32055,0.05513382365345955,0.005857683860138059,8920,89.2,32000,2274368,18046,2157,0.001,0,3.790560245513916
55,31954,0.04752557527780533,0.005847788564860821,8964,89.64,31936,2306304,18507,2339,0.001,0,3.773148536682129
56,31493,0.046468301817774775,0.005747024985402823,8965,89.65,31488,2337792,19080,2402,0.001,0,3.7727081775665283
57,30920,0.04256639331996441,0.00585320056155324,8947,89.47,30912,2368704,19487,2363,0.001,0,3.721695899963379
58,30513,0.043357114545106885,0.0059737086586654185,8920,89.2,30464,2399168,19673,2239,0.001,0,3.7147839069366455
59,30327,0.041000615398287775,0.0058819491043686865,8913,89.13,30272,2429440,20051,2241,0.001,0,3.7040703296661377
60,29949,0.040108709628582,0.006212917751818895,8895,88.95,29888,2459328,20280,2140,0.001,0,3.6789004802703857
61,29720,0.03999727828025818,0.006067922563478351,8923,89.23,29696,2489024,20392,2162,0.001,0,3.651148796081543
62,29608,0.0377065992975235,0.006038923610746861,8969,89.69,29568,2518592,20589,2294,0.001,0,3.6349902153015137
63,29411,0.03457976991295814,0.005829323407262564,8982,89.82,29376,2547968,20622,2268,0.001,0,3.6331045627593994
64,29378,0.03415731315791607,0.006066720471531153,8925,89.25,29376,2577344,20619,2220,0.001,0,3.623471736907959
65,29381,0.03886205260276795,0.0060172501135617494,8945,89.45,29376,2606720,20797,2320,0.001,0,3.6380131244659424
66,29203,0.03648270372033119,0.006640798787772655,8881,88.81,29184,2635904,20786,2233,0.001,0,3.6449246406555176
67,29214,0.03397899681985378,0.006598675747960806,8892,88.92,29184,2665088,20656,2217,0.001,0,3.635937452316284
68,29344,0.030413461272120475,0.00633484063744545,8925,89.25,29312,2694400,20717,2278,0.001,0,3.6456806659698486
69,29283,0.030859361571669578,0.005823789525032043,8956,89.56,29248,2723648,21046,2356,0.001,0,3.638861894607544
70,28954,0.03035307079285383,0.005696513255313039,8996,89.96,28928,2752576,21624,2424,0.001,0,3.6474523544311523
71,28376,0.02682228217214346,0.005766899283975363,8999,89.99,28352,2780928,22277,2595,0.001,0,3.608517646789551
72,27723,0.02566893276810646,0.0062021486192941665,8978,89.78,27712,2808640,22768,2499,0.001,0,3.548058032989502
73,27232,0.030089562985897066,0.0060576929166913035,8949,89.49,27200,2835840,22999,2392,0.001,0,3.5482966899871826
74,27001,0.028637462735176086,0.006119955644756555,8975,89.75,26944,2862784,23055,2273,0.001,0,3.5268025398254395
75,26945,0.022152465745508672,0.005938030150532722,8982,89.82,26944,2889728,23089,2161,0.001,0,3.5368006229400635
76,26911,0.029062683896422387,0.005728979977872223,9015,90.15,26880,2916608,23026,2174,0.001,0,3.518005132675171
77,26974,0.02846959131240845,0.006463321871683001,8932,89.32,26944,2943552,23027,2240,0.001,0,3.510423421859741
78,26973,0.027243961720168592,0.006344631800428033,8932,89.32,26944,2970496,23007,2235,0.001,0,3.5086679458618164
79,26993,0.022032339152693748,0.006004808293655514,9001,90.01,26944,2997440,23224,2313,0.001,0,3.524200439453125
80,26776,0.021392335412502288,0.005562437368929386,9062,90.62,26752,3024192,23477,2223,0.001,0,3.500244617462158
81,26523,0.017855007553696633,0.005838446905091405,9023,90.23,26496,3050688,23937,2459,0.001,0,3.476766347885132
82,26063,0.023420417855679988,0.006228650091588497,8990,89.9,26048,3076736,24274,2539,0.001,0,3.474862575531006
83,25726,0.024206856524944306,0.0059225179933011535,9020,90.2,25664,3102400,24473,2472,0.001,0,3.4564805030822754
84,25527,0.022136446630954744,0.006027541295439005,9035,90.35,25472,3127872,24370,2141,0.001,0,3.419611692428589
85,25630,0.02366133932441473,0.006135705489106477,8967,89.67,25600,3153472,24114,1998,0.001,0,3.4231150150299072
