epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9211408624267579,0.02493868553638458,4153,41.53,49984,49984,0,0,0.001,0,11.458375215530396
2,50000,1.4640528796386718,0.019797967040538787,5497,54.97,49984,99968,0,0,0.001,0,4.70661735534668
3,50000,1.178512386779785,0.017119273030757904,6154,61.54,49984,149952,0,0,0.001,0,4.716598987579346
4,50000,0.9402330686950684,0.01686097624897957,6314,63.14,49984,199936,0,0,0.001,0,4.7024245262146
5,50000,0.7886341330337524,0.0119772346585989,7367,73.67,49984,249920,0,0,0.001,0,4.711639165878296
6,50000,0.7092298205566406,0.011335774445533752,7495,74.95,49984,299904,2,2,0.001,0,4.692198753356934
7,49998,0.6694130514907837,0.01360522358417511,7083,70.83,49984,349888,4,4,0.001,0,7.996826887130737
8,49996,0.6372947597122193,0.012884529706835747,7278,72.78,49984,399872,99,99,0.001,0,8.050634145736694
9,49901,0.6117841454696655,0.010650016438961029,7709,77.09,49856,449728,133,129,0.001,0,4.716432571411133
10,49867,0.5929144771194458,0.010635007926821708,7715,77.15,49856,499584,129,123,0.001,0,4.7364466190338135
11,49871,0.5777579851531982,0.01046865672171116,7744,77.44,49856,549440,143,130,0.001,0,4.734112501144409
12,49857,0.5657722649002075,0.009495502418279648,7885,78.85,49856,599296,208,188,0.001,0,4.746951580047607
13,49792,0.5543027944564819,0.013180414545536041,7205,72.05,49792,649088,184,160,0.001,0,4.753125190734863
14,49816,0.5471792955780029,0.011334903517365456,7560,75.6,49792,698880,184,162,0.001,0,4.734160900115967
15,49816,0.5347754514312744,0.009784822481870651,7861,78.61,49792,748672,247,225,0.001,0,4.748368978500366
16,49753,0.5255135390853882,0.009847351112961769,7848,78.48,49728,798400,266,244,0.001,0,4.733722925186157
17,49734,0.5231738489341736,0.009614317238330842,7974,79.74,49728,848128,305,260,0.001,0,4.775427341461182
18,49695,0.5085844972801209,0.010862728998064996,7779,77.79,49664,897792,337,291,0.001,0,4.70927095413208
19,49663,0.5072656188201904,0.008758851498365403,8096,80.96,49600,947392,365,290,0.001,0,4.761840343475342
20,49635,0.49812703685760495,0.009850471937656403,7874,78.74,49600,996992,325,260,0.001,0,4.756408929824829
21,49675,0.49366756326675415,0.008519709625840187,8136,81.36,49664,1046656,389,309,0.001,0,4.7576584815979
22,49611,0.49181178636550904,0.008641980820894242,8181,81.81,49600,1096256,447,351,0.001,0,4.776846647262573
23,49553,0.4812787291717529,0.009476296079158782,7974,79.74,49536,1145792,375,302,0.001,0,4.751138925552368
24,49625,0.479195872592926,0.00901775649189949,8042,80.42,49600,1195392,394,311,0.001,0,4.72575044631958
25,49606,0.47467476194381714,0.008424292612075805,8279,82.79,49600,1244992,403,317,0.001,0,4.78401255607605
26,49597,0.47099864839553834,0.010600074550509453,7750,77.5,49536,1294528,415,349,0.001,0,4.745458602905273
27,49585,0.46486527551651,0.010440797412395477,7771,77.71,49536,1344064,463,370,0.001,0,4.786712169647217
28,49537,0.46717360076904296,0.009719917154312134,7937,79.37,49536,1393600,420,348,0.001,0,4.766145467758179
29,49580,0.45495226932525634,0.008737468683719635,8143,81.43,49536,1443136,436,340,0.001,0,4.762199640274048
30,49564,0.45665276304244995,0.009582513830065727,7881,78.81,49536,1492672,490,407,0.001,0,4.777626276016235
31,49510,0.4519123855018616,0.00836301910430193,8206,82.06,49472,1542144,508,409,0.001,0,4.784696340560913
32,49492,0.44872429737091063,0.008797752511501312,8072,80.72,49472,1591616,476,363,0.001,0,4.764228343963623
33,49524,0.43890190425872805,0.007941716216504574,8309,83.09,49472,1641088,575,430,0.001,0,4.777837038040161
34,49425,0.44230814895629883,0.007966030633449554,8339,83.39,49408,1690496,500,381,0.001,0,4.7766807079315186
35,49500,0.4386168972206116,0.009613883769512176,7904,79.04,49472,1739968,509,401,0.001,0,4.7575414180755615
36,49491,0.4375651410484314,0.008617351664602757,8189,81.89,49472,1789440,576,433,0.001,0,4.741574764251709
37,49424,0.43045560440063474,0.009833672553300858,7857,78.57,49408,1838848,588,444,0.001,0,4.791252374649048
38,49412,0.4258171309280396,0.008430413687229157,8179,81.79,49408,1888256,539,406,0.001,0,4.7559826374053955
39,49461,0.4244266453933716,0.010182100379467011,7793,77.93,49408,1937664,617,469,0.001,0,4.736715793609619
40,49383,0.4249769886016846,0.008387781211733818,8188,81.88,49344,1987008,575,426,0.001,0,4.762200832366943
41,49425,0.4257260912322998,0.007301271300017833,8466,84.66,49408,2036416,538,419,0.001,0,4.748833656311035
42,49462,0.4169886477470398,0.009295014759898185,8002,80.02,49408,2085824,595,441,0.001,0,4.778083086013794
43,49405,0.4140204741859436,0.008426095077395439,8276,82.76,49344,2135168,673,518,0.001,0,4.735078573226929
44,49327,0.4095257041358948,0.009633896225690842,7946,79.46,49280,2184448,656,479,0.001,0,4.7556421756744385
45,49344,0.4061731471633911,0.009485624378919602,7972,79.72,49344,2233792,698,504,0.001,0,4.754323244094849
46,49302,0.41159320829391477,0.010383968752622605,7874,78.74,49280,2283072,637,500,0.001,0,4.7672412395477295
47,49363,0.40697001194000243,0.008033423255383969,8268,82.68,49344,2332416,615,455,0.001,0,4.77023458480835
48,49385,0.4002317584228516,0.008061208897829056,8235,82.35,49344,2381760,614,461,0.001,0,4.758748769760132
49,49386,0.39862390464782715,0.007471798348426819,8361,83.61,49344,2431104,713,577,0.001,0,4.751029014587402
50,49287,0.3955613130569458,0.0076736582309007645,8375,83.75,49280,2480384,739,525,0.001,0,4.78330135345459
51,49261,0.3947137071418762,0.00797896112948656,8343,83.43,49216,2529600,774,581,0.001,0,4.727334976196289
52,49226,0.3897475672340393,0.007209432464838028,8527,85.27,49216,2578816,823,563,0.001,0,4.770816802978516
53,49177,0.3880942063522339,0.00857115726172924,8165,81.65,49152,2627968,731,476,0.001,0,4.769158601760864
54,49269,0.37704767278671264,0.00805373282134533,8234,82.34,49216,2677184,800,574,0.001,0,4.751510381698608
55,49200,0.3858982548713684,0.007223653960227967,8444,84.44,49152,2726336,851,602,0.001,0,4.7455549240112305
56,49149,0.37588901063919067,0.007225144572556018,8482,84.82,49088,2775424,852,636,0.001,0,4.790963649749756
57,49148,0.3794844309902191,0.008475109694898128,8084,80.84,49088,2824512,849,559,0.001,0,4.756629467010498
58,49151,0.3794928326606751,0.00784365210533142,8307,83.07,49088,2873600,868,611,0.001,0,4.745605230331421
59,49132,0.37348471990585325,0.007520596027374268,8426,84.26,49088,2922688,753,520,0.001,0,4.736681938171387
60,49247,0.36952732192993165,0.006580212531983852,8601,86.01,49216,2971904,801,552,0.001,0,4.7379469871521
61,49199,0.36623936081886294,0.00776333841085434,8428,84.28,49152,3021056,922,646,0.001,0,4.768685817718506
62,49078,0.3642404602813721,0.007710211613774299,8336,83.36,49024,3070080,910,627,0.001,0,4.748188257217407
63,49090,0.3543793406867981,0.008538379718363284,8170,81.7,49088,3119168,908,611,0.001,0,4.736403226852417
64,49092,0.35990717176437376,0.0077714558333158495,8388,83.88,49088,3168256,986,693,0.001,0,4.743292808532715
65,49014,0.3536962753677368,0.008442512425780296,8223,82.23,48960,3217216,892,604,0.001,0,4.736995458602905
