epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9250827787780762,0.024838307464122772,4049,40.49,49984,49984,0,0,0.001,0,11.322986364364624
2,50000,1.47638595123291,0.022349202978610993,5019,50.19,49984,99968,0,0,0.001,0,4.675662994384766
3,50000,1.2196401987457275,0.017358286041021347,6037,60.37,49984,149952,0,0,0.001,0,4.671682834625244
4,50000,1.0104630587768555,0.014233060491085053,6812,68.12,49984,199936,0,0,0.001,0,4.688701391220093
5,50000,0.8298093982696533,0.014180805671215057,6911,69.11,49984,249920,0,0,0.001,0,4.671972751617432
6,50000,0.7345246266555786,0.013025474590063094,7182,71.82,49984,299904,1,1,0.001,0,4.701604604721069
7,49999,0.6856379935073853,0.014248301815986634,7025,70.25,49984,349888,4,4,0.001,0,4.699618101119995
8,49996,0.659432068977356,0.01222429995238781,7330,73.3,49984,399872,40,40,0.001,0,7.958813190460205
9,49960,0.6282163998031616,0.01588109293580055,6649,66.49,49920,449792,105,99,0.001,0,7.96968936920166
10,49895,0.6105260674285888,0.013380005556344986,7131,71.31,49856,499648,132,130,0.001,0,4.719638824462891
11,49868,0.5973941706848145,0.010009772983193398,7784,77.84,49856,549504,119,107,0.001,0,4.733411550521851
12,49881,0.5775612303352355,0.009686277341842651,7887,78.87,49856,599360,150,144,0.001,0,4.767954349517822
13,49850,0.5679492109680175,0.01026479669213295,7799,77.99,49792,649152,190,176,0.001,0,4.727537393569946
14,49810,0.5589584794616699,0.013178155702352524,7228,72.28,49792,698944,174,159,0.001,0,4.738759517669678
15,49826,0.5556602448654174,0.010486185073852539,7796,77.96,49792,748736,272,241,0.001,0,4.747583627700806
16,49728,0.5494990729141236,0.013623268702626229,7121,71.21,49728,798464,270,233,0.001,0,4.7783331871032715
17,49730,0.5433998776626587,0.01187532956302166,7467,74.67,49728,848192,264,225,0.001,0,4.739678859710693
18,49736,0.5350834319114685,0.011362469863891602,7598,75.98,49728,897920,289,245,0.001,0,4.738507986068726
19,49711,0.5352402353858948,0.012235637030005455,7371,73.71,49664,947584,278,232,0.001,0,4.7279052734375
20,49722,0.5287963446044922,0.009608128961920738,7941,79.41,49664,997248,272,221,0.001,0,4.711703300476074
21,49728,0.5275240776443482,0.008726799565553665,8128,81.28,49728,1046976,279,233,0.001,0,4.7526328563690186
22,49721,0.5138224204063415,0.00944744613468647,7970,79.7,49664,1096640,318,264,0.001,0,4.739762783050537
23,49682,0.520243484992981,0.009312615698575973,7998,79.98,49664,1146304,323,275,0.001,0,4.729526519775391
24,49677,0.5181760522079468,0.013059647792577744,7009,70.09,49664,1195968,334,281,0.001,0,4.712112665176392
25,49666,0.5145170422554016,0.008861093567311764,8128,81.28,49664,1245632,320,259,0.001,0,4.745508909225464
26,49680,0.5096748257064819,0.009542529100179673,7986,79.86,49664,1295296,350,285,0.001,0,4.745341777801514
27,49650,0.5068375380516053,0.013726992923021316,7130,71.3,49600,1344896,294,239,0.001,0,4.7520058155059814
28,49706,0.5089828477287293,0.010190598449110985,7779,77.79,49664,1394560,321,278,0.001,0,4.740222215652466
29,49679,0.49855088684082033,0.009764510437846183,7889,78.89,49664,1444224,391,310,0.001,0,4.748291492462158
30,49609,0.5046233515548706,0.008538965359330178,8150,81.5,49600,1493824,360,270,0.001,0,4.755635499954224
31,49640,0.5011241452217102,0.00928772758245468,7967,79.67,49600,1543424,373,307,0.001,0,4.749075174331665
