epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.131582729949951,0.03034421490430832,2114,21.14,49984,49984,0,0,0.001,0,14.028266906738281
2,50000,1.8017190585327147,0.025894503343105318,3299,32.99,49984,99968,0,0,0.001,0,7.785104274749756
3,50000,1.5914333798217772,0.02272115994691849,4677,46.77,49984,149952,0,0,0.001,0,7.762554407119751
4,50000,1.3640113078308105,0.022875048017501832,4941,49.41,49984,199936,0,0,0.001,0,7.768458604812622
5,50000,1.1955956623840331,0.01882887341976166,5838,58.38,49984,249920,0,0,0.001,0,7.755416631698608
6,50000,1.0796230072784423,0.02100242930650711,5781,57.81,49984,299904,0,0,0.001,0,7.783924579620361
7,50000,1.0006183492279053,0.018512200236320494,6263,62.63,49984,349888,0,0,0.001,0,7.779640197753906
8,50000,0.9362433340454102,0.017478485614061356,6528,65.28,49984,399872,1,1,0.001,0,7.749920129776001
9,49999,0.8738859616470337,0.01872998024225235,6503,65.03,49984,449856,2,2,0.001,0,7.780069351196289
10,49998,0.8326426363754272,0.016641036075353624,6966,69.66,49984,499840,10,10,0.001,0,10.896369934082031
11,49990,0.8009910952377319,0.014386437553167344,7096,70.96,49984,549824,8,8,0.001,0,10.623400211334229
12,49992,0.7559945056915284,0.013796041813492775,7384,73.84,49984,599808,14,14,0.001,0,10.614336490631104
13,49986,0.7350723813629151,0.012171694049239158,7460,74.6,49984,649792,14,14,0.001,0,10.662550926208496
14,49986,0.7089866883087158,0.011230171576142312,7686,76.86,49984,699776,23,23,0.001,0,7.82839298248291
15,49977,0.6709784740829468,0.012364541691541673,7567,75.67,49920,749696,32,30,0.001,0,10.659016609191895
16,49968,0.6520043544006348,0.013514792868494987,7298,72.98,49920,799616,35,35,0.001,0,10.55034875869751
17,49965,0.6290323657226562,0.013965489003062248,7320,73.2,49920,849536,32,32,0.001,0,10.562381267547607
18,49968,0.6026624833297729,0.012204806885123253,7503,75.03,49920,899456,46,44,0.001,0,7.769647598266602
19,49954,0.5866898402786255,0.009930023792386056,7961,79.61,49920,949376,61,56,0.001,0,10.476438045501709
20,49939,0.5657927798461914,0.010416444909572602,7868,78.68,49920,999296,71,67,0.001,0,10.941080093383789
21,49929,0.5458012452125549,0.009969854199886321,7874,78.74,49920,1049216,89,87,0.001,0,7.759394407272339
22,49911,0.522954620628357,0.010603170475363731,7850,78.5,49856,1099072,115,108,0.001,0,7.738734245300293
23,49885,0.5099464245796204,0.009015303534269332,8159,81.59,49856,1148928,110,101,0.001,0,7.7665605545043945
24,49890,0.4900293461227417,0.009749045833945274,8088,80.88,49856,1198784,130,120,0.001,0,4.841760158538818
25,49870,0.4817803829956055,0.008852773120999337,8222,82.22,49856,1248640,148,131,0.001,0,4.3095996379852295
26,49852,0.45976717992782595,0.008648488241434098,8245,82.45,49792,1298432,196,179,0.001,0,4.267982482910156
27,49804,0.4514284234046936,0.008294890463352203,8281,82.81,49792,1348224,191,170,0.001,0,4.275002479553223
28,49809,0.43631632413864135,0.00698393791615963,8525,85.25,49792,1398016,199,180,0.001,0,4.274179220199585
29,49801,0.4237872035217285,0.009031470721960068,8121,81.21,49792,1447808,279,263,0.001,0,4.275540590286255
30,49721,0.41089941354751586,0.007390494109690189,8503,85.03,49664,1497472,300,274,0.001,0,4.316303014755249
31,49700,0.38954218006134034,0.0074947278946638106,8418,84.18,49664,1547136,377,324,0.001,0,4.293193101882935
32,49623,0.38785258434295655,0.009302447041869163,8163,81.63,49600,1596736,353,294,0.001,0,4.2948808670043945
33,49647,0.3781239542198181,0.009740017008781432,8057,80.57,49600,1646336,380,328,0.001,0,4.285738229751587
34,49620,0.3587183229827881,0.007060635085403919,8551,85.51,49600,1695936,454,392,0.001,0,4.283702373504639
