epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8792374897482715,0.02402672165632248,4354,43.54,49984,49984,0,0,0.5,1,22.906168937683105
2,35577,1.164839881333583,0.021220045852661133,5110,51.1,35520,85504,14423,14423,0.5,1,10.75406289100647
3,35826,0.9913981592316409,0.018410372906923295,5787,57.87,35776,121280,14174,14174,0.5,1,10.855084419250488
4,35189,0.852300017261988,0.01727587950229645,6095,60.95,35136,156416,14811,14811,0.5,1,10.656897783279419
5,34369,0.7539921728847122,0.014502680277824401,6800,68.0,34368,190784,15631,15631,0.5,1,10.507846593856812
6,33494,0.6702259988496577,0.01232817961871624,7280,72.8,33472,224256,16506,16506,0.5,1,10.250304937362671
7,32503,0.5958372953416765,0.013433832198381424,7046,70.46,32448,256704,17497,17497,0.5,1,9.844003915786743
8,32417,0.5496030535074597,0.011866896674036979,7388,73.88,32384,289088,17583,17583,0.5,1,9.906543254852295
9,31614,0.5070424879538066,0.010559254178404809,7689,76.89,31552,320640,18386,18386,0.5,1,9.698436975479126
10,31343,0.48600583456144564,0.010584199184179306,7746,77.46,31296,351936,18657,18657,0.5,1,9.627518653869629
11,31132,0.4542393960156245,0.01131226476430893,7541,75.41,31104,383040,18868,18868,0.5,1,11.944416046142578
12,30982,0.4327417870953247,0.012616216525435448,7387,73.87,30976,414016,19018,19018,0.5,1,13.18281602859497
13,31039,0.420307383047054,0.009368988421559334,8027,80.27,30976,444992,18961,18961,0.5,1,13.203895092010498
14,30693,0.39507381232228833,0.008723406434059142,8105,81.05,30656,475648,19307,19307,0.5,1,13.019121408462524
15,30605,0.3856114907610692,0.010851900169253349,7691,76.91,30592,506240,19395,19395,0.5,1,13.105234861373901
16,30351,0.37156413372307523,0.008072334180772304,8268,82.68,30336,536576,19649,19649,0.5,1,12.874964952468872
17,30229,0.3594929999687443,0.009464351323246956,7870,78.7,30208,566784,19771,19771,0.5,1,12.823990106582642
18,30001,0.3422858507039429,0.009959918999671935,7895,78.95,29952,596736,19999,19999,0.5,1,12.841932535171509
19,29934,0.3319040690832247,0.008036412152647972,8291,82.91,29888,626624,20066,20066,0.5,1,12.81588363647461
20,29945,0.3227245005372659,0.007870572355389596,8313,83.13,29888,656512,20055,20055,0.5,1,12.80509901046753
