epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.141626221411314,0.03122935618162155,2123,21.23,49984,49984,0,0,0.5,1,16.96854043006897
2,36823,1.4359915580064804,0.027728007435798646,2796,27.96,36800,86784,13177,13177,0.5,1,8.544605016708374
3,36946,1.355577998018323,0.02581181173324585,3601,36.01,36928,123712,13054,13054,0.5,1,8.236126899719238
4,36508,1.26485822732436,0.024305195343494415,4167,41.67,36480,160192,13492,13492,0.5,1,8.14809513092041
5,36037,1.1801618043234832,0.023078401696681978,4418,44.18,36032,196224,13963,13963,0.5,1,8.001112222671509
6,36153,1.1106403721730618,0.0239364577293396,4568,45.68,36096,232320,13847,13847,0.5,1,7.993654012680054
7,35325,1.0255930993144098,0.0198725515127182,5755,57.55,35264,267584,14675,14675,0.5,1,7.780546426773071
8,34689,0.9739808224562501,0.018051775354146957,5908,59.08,34688,302272,15311,15311,0.5,1,7.849424839019775
9,34462,0.9251328994132766,0.02717311816215515,5004,50.04,34432,336704,15538,15538,0.5,1,7.872901201248169
10,34228,0.8685033942771979,0.01578439289331436,6605,66.05,34176,370880,15772,15772,0.5,1,7.633558034896851
11,33701,0.8307317199869076,0.017563373631238936,6167,61.67,33664,404544,16299,16299,0.5,1,7.536144733428955
12,33490,0.7852421708529268,0.018287988114356994,6299,62.99,33472,438016,16510,16510,0.5,1,7.525696516036987
13,32871,0.7341045982597966,0.016982944107055663,6520,65.2,32832,470848,17129,17129,0.5,1,7.431426286697388
14,32506,0.7036916384246678,0.015355422496795654,6961,69.61,32448,503296,17494,17494,0.5,1,7.289020538330078
15,32346,0.6737778223233952,0.013393624776601791,7271,72.71,32320,535616,17654,17654,0.5,1,7.269705295562744
16,32181,0.6425361955157973,0.013174829736351966,7277,72.77,32128,567744,17819,17819,0.5,1,7.336695909500122
17,31704,0.6208809643828075,0.01661780755519867,6773,67.73,31680,599424,18296,18296,0.5,1,7.252681016921997
18,31593,0.5856497399432989,0.012359852638840676,7413,74.13,31552,630976,18407,18407,0.5,1,7.163343191146851
19,31311,0.5725931283503489,0.012483934023976326,7394,73.94,31296,662272,18689,18689,0.5,1,6.965699195861816
20,31155,0.5494613272808927,0.011065861943364143,7802,78.02,31104,693376,18845,18845,0.5,1,6.9612977504730225
21,31164,0.5327917651643391,0.012659188249707222,7504,75.04,31104,724480,18836,18836,0.5,1,6.953466176986694
22,31010,0.5170688874872988,0.012588211020827293,7589,75.89,30976,755456,18990,18990,0.5,1,7.250634670257568
23,30706,0.4958470335789224,0.010951410987973214,7756,77.56,30656,786112,19294,19294,0.5,1,6.984468221664429
24,30351,0.47542336904337446,0.0111705540984869,7751,77.51,30336,816448,19649,19649,0.5,1,6.840277194976807
25,30558,0.46371198915570466,0.010703049710392952,7883,78.83,30528,846976,19442,19442,0.5,1,6.925995826721191
26,30402,0.4493098003278252,0.012375403553247451,7580,75.8,30400,877376,19598,19598,0.5,1,6.838635683059692
27,30238,0.42519518616778296,0.013470345604419709,7530,75.3,30208,907584,19762,19762,0.5,1,6.900346994400024
28,30004,0.4184075548196466,0.01151250941157341,7851,78.51,29952,937536,19996,19996,0.5,1,6.928798675537109
29,29988,0.40150317036517913,0.010273799781501293,7854,78.54,29952,967488,20012,20012,0.5,1,6.821374893188477
30,29970,0.3914732359578297,0.012795420360565185,7611,76.11,29952,997440,20030,20030,0.5,1,6.790403366088867
31,30050,0.3778021912146799,0.008930747863650322,8107,81.07,30016,1027456,19950,19950,0.5,1,6.742469072341919
32,29733,0.3630416081576454,0.008886158406734467,8220,82.2,29696,1057152,20267,20267,0.5,1,6.740203619003296
33,29689,0.3578701549744796,0.00857168217599392,8252,82.52,29632,1086784,20311,20311,0.5,1,6.9638917446136475
34,29535,0.3380243033713341,0.009742708203196525,8011,80.11,29504,1116288,20465,20465,0.5,1,6.686913013458252
35,29464,0.33583716059876145,0.007923124831914902,8372,83.72,29440,1145728,20536,20536,0.5,1,6.719284534454346
36,29615,0.32169847436924415,0.009793551018834114,8042,80.42,29568,1175296,20385,20385,0.5,1,6.736987590789795
37,29402,0.31017455790972953,0.009300609965622425,8287,82.87,29376,1204672,20598,20598,0.5,1,6.868707895278931
38,29439,0.30651926162590176,0.00786986447274685,8404,84.04,29376,1234048,20561,20561,0.5,1,6.841836214065552
39,29099,0.2935052321329782,0.00780964000672102,8356,83.56,29056,1263104,20901,20901,0.5,1,6.6050474643707275
40,29302,0.28757190418196243,0.006805448339879513,8627,86.27,29248,1292352,20698,20698,0.5,1,6.620562553405762
41,29054,0.2760027138365959,0.007810233828425407,8439,84.39,28992,1321344,20946,20946,0.5,1,6.614623069763184
42,28874,0.2604451755721726,0.00744492802619934,8495,84.95,28864,1350208,21126,21126,0.5,1,6.6366987228393555
43,28850,0.25599837732021213,0.007411685581505298,8551,85.51,28800,1379008,21150,21150,0.5,1,6.709724426269531
44,28665,0.24698815744644922,0.006830818022787571,8581,85.81,28608,1407616,21335,21335,0.5,1,6.48743748664856
45,28497,0.2407658978488325,0.007448154290020466,8513,85.13,28480,1436096,21503,21503,0.5,1,6.480746030807495
46,28652,0.23947313569105402,0.007899595880508424,8406,84.06,28608,1464704,21348,21348,0.5,1,6.418184518814087
47,28566,0.2257360333984927,0.006548866187036037,8688,86.88,28544,1493248,21434,21434,0.5,1,6.5606184005737305
48,28651,0.21577053092091686,0.007215856432914734,8529,85.29,28608,1521856,21349,21349,0.5,1,6.66085410118103
49,28655,0.20503839703786564,0.006641208951175213,8686,86.86,28608,1550464,21345,21345,0.5,1,6.515238523483276
50,28649,0.2019695470645667,0.006604381120204925,8665,86.65,28608,1579072,21351,21351,0.5,1,6.490662336349487
51,28271,0.18964725217545655,0.00623458344861865,8749,87.49,28224,1607296,21729,21729,0.5,1,6.419877767562866
52,28269,0.18582206522834477,0.006219137172400952,8798,87.98,28224,1635520,21731,21731,0.5,1,6.477036952972412
53,28263,0.18104328292642968,0.0068732214294373985,8642,86.42,28224,1663744,21737,21737,0.5,1,6.69097375869751
54,28171,0.1813505940674075,0.0062087301596999165,8733,87.33,28160,1691904,21829,21829,0.5,1,6.434879541397095
