epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,16812,0.7169922815519179,0.029689118456840514,2973,29.73,16768,16768,33188,33188,3.0,1,18.90097713470459
2,16656,0.6022454747848213,0.025861275672912597,3897,38.97,16640,33408,33344,33344,3.0,1,6.735266447067261
3,16570,0.5729771618755907,0.024490103685855864,4235,42.35,16512,49920,33430,33430,3.0,1,6.749967813491821
4,16587,0.5516684095467068,0.02334178239107132,4601,46.01,16576,66496,33413,33413,3.0,1,10.098353862762451
5,16704,0.522331387704704,0.02186342046260834,4848,48.48,16704,83200,33296,33296,3.0,1,9.063032627105713
6,16708,0.4895385345355794,0.019308851927518845,5558,55.58,16704,99904,33292,33292,3.0,1,10.141509294509888
7,16781,0.46004557561426074,0.01811741304397583,5742,57.42,16768,116672,33219,33219,3.0,1,10.110069274902344
8,16597,0.4263805518783082,0.016813571065664293,6148,61.48,16576,133248,33403,33403,3.0,1,9.07750415802002
9,16635,0.40707120153355064,0.015288255774974823,6517,65.17,16576,149824,33365,33365,3.0,1,10.071291446685791
10,16573,0.38885292481910294,0.01504980247616768,6550,65.5,16512,166336,33427,33427,3.0,1,6.509143829345703
11,16816,0.3674056250470772,0.01687163037657738,6177,61.77,16768,183104,33184,33184,3.0,1,8.508998155593872
12,16644,0.3453453538069817,0.012072637218236924,7341,73.41,16640,199744,33356,33356,3.0,1,1.6724536418914795
13,16619,0.3193706937384628,0.012739720159769059,7208,72.08,16576,216320,33381,33381,3.0,1,1.6871943473815918
14,16643,0.30563122082809085,0.01206595867574215,7279,72.79,16640,232960,33357,33357,3.0,1,1.679847002029419
15,16584,0.2972260162182545,0.011173377674818038,7489,74.89,16576,249536,33416,33416,3.0,1,1.6823668479919434
16,16704,0.2804267895969551,0.010707071560621262,7683,76.83,16704,266240,33296,33296,3.0,1,1.686288833618164
17,16677,0.267778631418214,0.01042863973379135,7735,77.35,16640,282880,33323,33323,3.0,1,1.6835675239562988
18,16485,0.25570470969121517,0.009928392887115478,7837,78.37,16448,299328,33515,33515,3.0,1,1.6684105396270752
19,16683,0.2509932542960638,0.011291460248827934,7537,75.37,16640,315968,33317,33317,3.0,1,1.7055590152740479
20,16602,0.2431998008858602,0.008697375066578389,8061,80.61,16576,332544,33398,33398,3.0,1,1.671905517578125
21,16701,0.2316501426733266,0.009271254405379296,7949,79.49,16640,349184,33299,33299,3.0,1,1.6942777633666992
22,16543,0.22378849934340075,0.009998481869697571,7768,77.68,16512,365696,33457,33457,3.0,1,1.6669201850891113
23,16777,0.21761131503767908,0.008830239081382751,8051,80.51,16768,382464,33223,33223,3.0,1,1.6904199123382568
24,16790,0.20911899552097934,0.008030010063946246,8229,82.29,16768,399232,33210,33210,3.0,1,1.7007060050964355
25,16663,0.20233471702385294,0.007701745580136776,8279,82.79,16640,415872,33337,33337,3.0,1,1.695080041885376
26,16779,0.194266855231028,0.006813301821053028,8501,85.01,16768,432640,33221,33221,3.0,1,1.6923387050628662
27,16744,0.18207821364828203,0.009300954282283783,7981,79.81,16704,449344,33256,33256,3.0,1,1.6895346641540527
28,16763,0.17904527345282004,0.007070848549902439,8442,84.42,16704,466048,33237,33237,3.0,1,1.6934502124786377
29,16650,0.17037517605095512,0.007165971122682095,8410,84.1,16640,482688,33350,33350,3.0,1,1.7030537128448486
30,16586,0.16884051478351852,0.006653372400999069,8547,85.47,16576,499264,33414,33414,3.0,1,1.696291208267212
31,16687,0.1594668785071592,0.008537661522626876,8138,81.38,16640,515904,33313,33313,3.0,1,1.6786513328552246
32,16827,0.1553564375405795,0.006657838179171085,8542,85.42,16768,532672,33173,33173,3.0,1,1.6860110759735107
33,16705,0.14506622069727015,0.007060488906502724,8473,84.73,16704,549376,33295,33295,3.0,1,1.7006051540374756
34,16638,0.14155431064531762,0.006357644280046225,8655,86.55,16576,565952,33362,33362,3.0,1,1.678802490234375
35,16773,0.1347691886036906,0.00679168815612793,8517,85.17,16768,582720,33227,33227,3.0,1,1.6897146701812744
36,16534,0.12482330672457177,0.006646400961279869,8587,85.87,16512,599232,33466,33466,3.0,1,1.6664068698883057
37,16586,0.12245253527238441,0.006323117768019438,8663,86.63,16576,615808,33414,33414,3.0,1,1.6741883754730225
38,16728,0.11753203726649468,0.007108323858678341,8530,85.3,16704,632512,33272,33272,3.0,1,1.6862866878509521
39,16778,0.11167959505945457,0.007033092542737722,8552,85.52,16768,649280,33222,33222,3.0,1,1.7047216892242432
40,16637,0.1066608837159264,0.0065756770044565205,8618,86.18,16576,665856,33363,33363,3.0,1,1.680877685546875
41,16689,0.10145196881255757,0.005964449770748615,8737,87.37,16640,682496,33311,33311,3.0,1,1.6929080486297607
