setting,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,sd_diff,ci95_low,ci95_high,cohens_dz,p_sign_exact,per_seed_diffs
primary_resnet18_exp,best_test_acc_pct,tgies,baseline,3,94.84666666666665,95.03000000000002,-0.18333333333333712,0.16502525059314618,-0.5932787817382372,0.22661211507156293,-1.110941099464395,0.25,-0.3500;-0.0200;-0.1800
primary_resnet18_exp,best_test_acc_pct,tgies,ies_shipped,3,94.84666666666665,94.71333333333332,0.1333333333333305,0.2484619353811271,-0.48388033030461286,0.7505469969712739,0.5366348496352346,1.0,0.0000;0.4200;-0.0200
primary_resnet18_exp,best_test_acc_pct,tgies,ies_alg1,3,94.84666666666665,94.85000000000001,-0.0033333333333350388,0.43935558871298613,-1.0947531201645773,1.0880864534979073,-0.007586869085014816,1.0,-0.3100;0.5000;-0.2000
primary_resnet18_exp,backprop_saved_pct,tgies,baseline,3,53.632000000000005,0.031999999999998696,53.6,0.29907864918780236,52.85704744874529,54.34295255125471,179.21707265149044,0.25,53.4509;53.4048;53.9443
primary_resnet18_exp,backprop_saved_pct,tgies,ies_shipped,3,53.632000000000005,45.65973333333333,7.972266666666667,0.5631324808012212,6.573368034344226,9.371165298989109,14.157000241441903,0.25,8.1274;7.3478;8.4416
primary_resnet18_exp,backprop_saved_pct,tgies,ies_alg1,3,53.632000000000005,49.02037333333333,4.6116266666666705,0.24541753917219325,4.0019757024611335,5.2212776308722075,18.790941683393694,0.25,4.8915;4.4333;4.5101
primary_resnet18_exp,flop_saved_pct,tgies,baseline,3,35.735661881023965,0.02132199396241985,35.71433988706155,0.1992797860085102,35.21930145542966,36.20937831869344,179.217072651495,0.25,35.6150;35.5843;35.9438
primary_resnet18_exp,flop_saved_pct,tgies,ies_shipped,3,35.735661881023965,30.423642451851862,5.3120194291721035,0.37522210486527213,4.37991604815889,6.244122810185317,14.157000241442187,0.25,5.4154;4.8960;5.6247
primary_resnet18_exp,flop_saved_pct,tgies,ies_alg1,3,35.735661881023965,32.662878257785714,3.0727836232382466,0.16352472776570612,2.6665656801764728,3.4790015663000204,18.790941683393896,0.25,3.2593;2.9539;3.0051
secondary_resnet18_fixed,best_test_acc_pct,tgies,baseline,3,91.91333333333334,92.20666666666666,-0.29333333333333655,0.25774664562964705,-0.9336114958431706,0.3469448291764975,-1.1380684804520156,0.25,-0.5700;-0.2500;-0.0600
secondary_resnet18_fixed,best_test_acc_pct,tgies,ies_shipped,3,91.91333333333334,91.69333333333333,0.21999999999999412,0.2685144316419519,-0.44702682581607,0.8870268258160582,0.8193228149962201,1.0,-0.0700;0.2700;0.4600
