run_name,method,dataset,model,optimizer,seed,epochs,best_test_acc_pct,cum_backprop_instances,backprop_saved_pct,total_time_s
baseline_cifar10_resnet18_SGD_exponential_learning_rate_seed0,baseline,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.96,9996800,0.031999999999998696,929.4054102897644
ies_shipped_cifar10_resnet18_SGD_exponential_learning_rate_seed0,ies_shipped,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.61,5464448,45.355520000000006,800.8003554344177
ies_alg1_cifar10_resnet18_SGD_exponential_learning_rate_seed0,ies_alg1,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.92,5140864,48.591359999999995,734.4575705528259
baseline_cifar10_resnet18_SGD_exponential_learning_rate_seed1,baseline,cifar10,resnet18,SGD_exponential_learning_rate,1,200,95.18,9996800,0.031999999999998696,943.470383644104
ies_shipped_cifar10_resnet18_SGD_exponential_learning_rate_seed1,ies_shipped,cifar10,resnet18,SGD_exponential_learning_rate,1,200,94.74,5391104,46.08896,756.8614094257355
ies_alg1_cifar10_resnet18_SGD_exponential_learning_rate_seed1,ies_alg1,cifar10,resnet18,SGD_exponential_learning_rate,1,200,94.66,5099648,49.00352,733.8242621421814
baseline_cifar10_resnet18_SGD_exponential_learning_rate_seed2,baseline,cifar10,resnet18,SGD_exponential_learning_rate,2,200,94.95,9996800,0.031999999999998696,946.6156227588654
ies_shipped_cifar10_resnet18_SGD_exponential_learning_rate_seed2,ies_shipped,cifar10,resnet18,SGD_exponential_learning_rate,2,200,94.79,5446528,45.53471999999999,756.9390397071838
ies_alg1_cifar10_resnet18_SGD_exponential_learning_rate_seed2,ies_alg1,cifar10,resnet18,SGD_exponential_learning_rate,2,200,94.97,5053376,49.46623999999999,739.055894613266
baseline_cifar10_vgg16_SGD_exponential_learning_rate_seed0,baseline,cifar10,vgg16,SGD_exponential_learning_rate,0,200,93.25,9996800,0.031999999999998696,944.8546769618988
ies_shipped_cifar10_vgg16_SGD_exponential_learning_rate_seed0,ies_shipped,cifar10,vgg16,SGD_exponential_learning_rate,0,200,93.33,6132672,38.67328,793.929563999176
ies_alg1_cifar10_vgg16_SGD_exponential_learning_rate_seed0,ies_alg1,cifar10,vgg16,SGD_exponential_learning_rate,0,200,93.04,5814592,41.85408,684.5684428215027
baseline_cifar10_resnet18_SGD_fixed_learning_rate_seed0,baseline,cifar10,resnet18,SGD_fixed_learning_rate,0,200,92.28,9996800,0.031999999999998696,942.9453728199005
ies_shipped_cifar10_resnet18_SGD_fixed_learning_rate_seed0,ies_shipped,cifar10,resnet18,SGD_fixed_learning_rate,0,200,91.78,5528832,44.71168,763.1175196170807
ies_alg1_cifar10_resnet18_SGD_fixed_learning_rate_seed0,ies_alg1,cifar10,resnet18,SGD_fixed_learning_rate,0,200,91.77,5040000,49.6,739.5526518821716
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed0,tgies,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.61,4651712,53.48288,720.9116461277008
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed1,tgies,cifar10,resnet18,SGD_exponential_learning_rate,1,200,95.16,4656320,53.4368,678.2831890583038
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed2,tgies,cifar10,resnet18,SGD_exponential_learning_rate,2,200,94.77,4602368,53.97632,700.4065539836884
baseline_cifar100_resnet18_SGD_exponential_learning_rate_seed0,baseline,cifar100,resnet18,SGD_exponential_learning_rate,0,200,76.46,9996800,0.031999999999998696,935.8510458469391
ies_shipped_cifar100_resnet18_SGD_exponential_learning_rate_seed0,ies_shipped,cifar100,resnet18,SGD_exponential_learning_rate,0,200,76.64,8826112,11.738879999999996,1899.1300840377808
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed0_ablation_deltaonly,tgies,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.68,3337856,66.62143999999999,3718.318314552307
ies_alg1_cifar100_resnet18_SGD_exponential_learning_rate_seed0,ies_alg1,cifar100,resnet18,SGD_exponential_learning_rate,0,200,76.33,8181568,18.18432,4057.6426758766174
tgies_cifar100_resnet18_SGD_exponential_learning_rate_seed0,tgies,cifar100,resnet18,SGD_exponential_learning_rate,0,200,75.97,4219392,57.80608,685.3002960681915
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed0_ablation_kstaronly,tgies,cifar10,resnet18,SGD_exponential_learning_rate,0,200,95.04,9659392,3.40608,956.0240123271942
baseline_cifar10_resnet18_Adam_seed0,baseline,cifar10,resnet18,Adam,0,200,92.98,9996800,0.031999999999998696,919.9052052497864
ies_shipped_cifar10_resnet18_Adam_seed0,ies_shipped,cifar10,resnet18,Adam,0,200,92.67,4396352,56.03648,653.1314973831177
ies_alg1_cifar10_resnet18_Adam_seed0,ies_alg1,cifar10,resnet18,Adam,0,200,92.49,4020224,59.79776,645.8841495513916
tgies_cifar10_resnet18_Adam_seed0,tgies,cifar10,resnet18,Adam,0,200,92.33,6914112,30.85888,814.6545238494873
baseline_cifar10_vgg16_SGD_exponential_learning_rate_seed1,baseline,cifar10,vgg16,SGD_exponential_learning_rate,1,200,93.21,9996800,0.031999999999998696,806.6812160015106
ies_shipped_cifar10_vgg16_SGD_exponential_learning_rate_seed1,ies_shipped,cifar10,vgg16,SGD_exponential_learning_rate,1,200,93.27,6253952,37.46048,684.2672009468079
ies_alg1_cifar10_vgg16_SGD_exponential_learning_rate_seed1,ies_alg1,cifar10,vgg16,SGD_exponential_learning_rate,1,200,93.35,5854592,41.454080000000005,641.1984951496124
tgies_cifar10_vgg16_SGD_exponential_learning_rate_seed1,tgies,cifar10,vgg16,SGD_exponential_learning_rate,1,200,93.15,4543552,54.56448,597.7489604949951
baseline_cifar10_vgg16_SGD_exponential_learning_rate_seed2,baseline,cifar10,vgg16,SGD_exponential_learning_rate,2,200,93.44,9996800,0.031999999999998696,808.7404282093048
ies_shipped_cifar10_vgg16_SGD_exponential_learning_rate_seed2,ies_shipped,cifar10,vgg16,SGD_exponential_learning_rate,2,200,93.34,6300864,36.99135999999999,679.5951042175293
ies_alg1_cifar10_vgg16_SGD_exponential_learning_rate_seed2,ies_alg1,cifar10,vgg16,SGD_exponential_learning_rate,2,200,93.07,6025920,39.7408,656.4118995666504
tgies_cifar10_vgg16_SGD_exponential_learning_rate_seed2,tgies,cifar10,vgg16,SGD_exponential_learning_rate,2,200,93.23,4562944,54.37056,605.300689458847
baseline_cifar10_resnet18_SGD_fixed_learning_rate_seed1,baseline,cifar10,resnet18,SGD_fixed_learning_rate,1,200,92.21,9996800,0.031999999999998696,900.0099530220032
ies_shipped_cifar10_resnet18_SGD_fixed_learning_rate_seed1,ies_shipped,cifar10,resnet18,SGD_fixed_learning_rate,1,200,91.69,5544576,44.55424,710.248517036438
ies_alg1_cifar10_resnet18_SGD_fixed_learning_rate_seed1,ies_alg1,cifar10,resnet18,SGD_fixed_learning_rate,1,200,91.66,5062272,49.37728,689.8806581497192
tgies_cifar10_resnet18_SGD_fixed_learning_rate_seed1,tgies,cifar10,resnet18,SGD_fixed_learning_rate,1,200,91.96,7073344,29.26656,806.6359684467316
baseline_cifar10_resnet18_SGD_fixed_learning_rate_seed2,baseline,cifar10,resnet18,SGD_fixed_learning_rate,2,200,92.13,9996800,0.031999999999998696,908.8041253089905
ies_shipped_cifar10_resnet18_SGD_fixed_learning_rate_seed2,ies_shipped,cifar10,resnet18,SGD_fixed_learning_rate,2,200,91.61,5576640,44.233599999999996,720.1787595748901
ies_alg1_cifar10_resnet18_SGD_fixed_learning_rate_seed2,ies_alg1,cifar10,resnet18,SGD_fixed_learning_rate,2,200,91.87,5072576,49.274240000000006,699.5898678302765
tgies_cifar10_resnet18_SGD_fixed_learning_rate_seed2,tgies,cifar10,resnet18,SGD_fixed_learning_rate,2,200,92.07,7101760,28.9824,808.2369904518127
tgies_cifar10_vgg16_SGD_exponential_learning_rate_seed0,tgies,cifar10,vgg16,SGD_exponential_learning_rate,0,200,92.96,4564160,54.3584,1028.4945979118347
infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed1,infobatch,cifar10,resnet18,SGD_exponential_learning_rate,1,200,94.45,6108864,38.911359999999995,2687.1746389865875
infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed2,infobatch,cifar10,resnet18,SGD_exponential_learning_rate,2,200,94.23,6109632,38.903679999999994,2687.438278913498
infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed0,infobatch,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.27,6107072,38.92928,2687.911698102951
tgies_cifar10_resnet18_SGD_fixed_learning_rate_seed0,tgies,cifar10,resnet18,SGD_fixed_learning_rate,0,200,91.71,7042560,29.5744,3072.720231771469
bls_infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed1,bls_infobatch,cifar10,resnet18,SGD_exponential_learning_rate,1,200,94.74,6410560,35.894400000000005,1990.2331216335297
bls_infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed2,bls_infobatch,cifar10,resnet18,SGD_exponential_learning_rate,2,200,94.48,6426432,35.73568,1994.2057118415833
bls_infobatch_cifar10_resnet18_SGD_exponential_learning_rate_seed0,bls_infobatch,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.82,6409984,35.90016,1995.3183853626251
alignprune_cifar10_resnet18_SGD_exponential_learning_rate_seed0,alignprune,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.45,7924864,20.75136,1996.6900568008423
alignprune_cifar10_resnet18_SGD_exponential_learning_rate_seed1,alignprune,cifar10,resnet18,SGD_exponential_learning_rate,1,200,94.53,7911872,20.881280000000004,2000.095808506012
alignprune_cifar10_resnet18_SGD_exponential_learning_rate_seed2,alignprune,cifar10,resnet18,SGD_exponential_learning_rate,2,200,94.45,7914880,20.851200000000002,1999.7783563137054
infobatch_cifar10_vgg16_SGD_exponential_learning_rate_seed0,infobatch,cifar10,vgg16,SGD_exponential_learning_rate,0,200,92.64,6108160,38.9184,1374.2442893981934
bls_infobatch_cifar10_vgg16_SGD_exponential_learning_rate_seed0,bls_infobatch,cifar10,vgg16,SGD_exponential_learning_rate,0,200,92.85,6362048,36.37952,1409.656462430954
alignprune_cifar10_vgg16_SGD_exponential_learning_rate_seed0,alignprune,cifar10,vgg16,SGD_exponential_learning_rate,0,200,92.75,7727360,22.7264,1514.5017008781433
infobatch_cifar100_resnet18_SGD_exponential_learning_rate_seed0,infobatch,cifar100,resnet18,SGD_exponential_learning_rate,0,200,75.41,6482688,35.173120000000004,1654.8666326999664
bls_infobatch_cifar100_resnet18_SGD_exponential_learning_rate_seed0,bls_infobatch,cifar100,resnet18,SGD_exponential_learning_rate,0,200,76.0,6906560,30.934399999999997,1725.271889448166
alignprune_cifar100_resnet18_SGD_exponential_learning_rate_seed0,alignprune,cifar100,resnet18,SGD_exponential_learning_rate,0,200,75.85,7746368,22.53632,1807.7964396476746
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed0_epspct5,tgies,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.63,4737792,52.62208,1435.143877029419
tgies_cifar10_vgg16_SGD_exponential_learning_rate_seed0_epspct5,tgies,cifar10,vgg16,SGD_exponential_learning_rate,0,200,93.22,4567488,54.325120000000005,1435.928850889206
tgies_cifar10_vgg16_SGD_exponential_learning_rate_seed0_epspct10,tgies,cifar10,vgg16,SGD_exponential_learning_rate,0,200,92.94,4585984,54.140159999999995,1437.5879955291748
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed0_epspct10,tgies,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.8,4619968,53.80032,1511.4607934951782
tgies_cifar10_resnet18_SGD_exponential_learning_rate_seed0_epspct20,tgies,cifar10,resnet18,SGD_exponential_learning_rate,0,200,94.76,4667584,53.32416,1510.2087228298187
