epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,4.014491223144531,0.05679882996082306,1314,13.14,49984,49984,0,0,0.002,1,21.70057988166809
2,50000,3.36592171295166,0.04965360097885132,2214,22.14,49984,99968,0,0,0.002,1,12.096935510635376
3,50000,2.812585160522461,0.041291729640960693,3190,31.9,49984,149952,55,55,0.002,1,12.047793626785278
4,49945,2.40180706451416,0.03731574364900589,3707,37.07,49920,199872,37,37,0.002,1,16.80326199531555
5,49963,2.136482169799805,0.03382170994281769,4234,42.34,49920,249792,41,41,0.002,1,14.732685804367065
6,49959,1.963421614074707,0.033253524255752565,4326,43.26,49920,299712,61,61,0.002,1,15.286525964736938
7,49939,1.8481534490966798,0.0302775438785553,4791,47.91,49920,349632,100,100,0.002,1,13.357753038406372
8,49900,1.738428907623291,0.030547907209396364,4807,48.07,49856,399488,137,137,0.002,1,10.162326097488403
9,49863,1.672592875213623,0.03129903188943863,4657,46.57,49856,449344,154,154,0.002,1,12.281283140182495
10,49846,1.6032320413208008,0.028690533244609833,5112,51.12,49792,499136,183,183,0.002,1,12.248534440994263
11,49817,1.5401613832855225,0.02747290836572647,5198,51.98,49792,548928,217,217,0.002,1,12.203554391860962
12,49783,1.4894684529113769,0.02761624321937561,5227,52.27,49728,598656,241,241,0.002,1,12.15062665939331
13,49759,1.4336152297973632,0.02642020769119263,5292,52.92,49728,648384,269,269,0.002,1,12.219098806381226
14,49731,1.3949343276214599,0.024763445591926576,5677,56.77,49728,698112,286,286,0.002,1,12.212491512298584
15,49714,1.3564137174224853,0.02566900440454483,5542,55.42,49664,747776,341,341,0.002,1,12.148142576217651
16,49659,1.316793366241455,0.024899142605066298,5642,56.42,49600,797376,409,409,0.002,1,11.577974796295166
17,49591,1.280587099533081,0.02537008547782898,5602,56.02,49536,846912,435,435,0.002,1,10.939764022827148
18,49565,1.239997087173462,0.023461211556196213,5834,58.34,49536,896448,468,468,0.002,1,10.272202730178833
19,49532,1.210471770477295,0.02250534876585007,6031,60.31,49472,945920,526,526,0.002,1,11.716519594192505
20,49474,1.166601051864624,0.02370020480155945,5809,58.09,49472,995392,555,555,0.002,1,11.043650388717651
21,49445,1.1412004360961914,0.02205055975317955,6112,61.12,49408,1044800,589,589,0.002,1,10.344542980194092
22,49411,1.112734402923584,0.02353870952129364,5835,58.35,49408,1094208,682,682,0.002,1,11.652164936065674
23,49318,1.0701289456176757,0.023329213178157806,5908,59.08,49280,1143488,697,697,0.002,1,11.145238161087036
24,49303,1.0433277508544923,0.023332633167505265,5909,59.09,49280,1192768,747,747,0.002,1,10.468711853027344
25,49253,1.0115533544921875,0.021849991393089293,6098,60.98,49216,1241984,786,786,0.002,1,11.407820701599121
26,49214,0.9747735211181641,0.021645573914051055,6172,61.72,49152,1291136,911,911,0.002,1,11.388354063034058
