epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,4.016641389465332,0.058272949528694155,1410,14.1,49984,49984,0,0,0.002,1,33.85245704650879
2,50000,3.5128697787475587,0.05259063146114349,1944,19.44,49984,99968,0,0,0.002,1,33.95492219924927
3,50000,3.235715643310547,0.04821035053730011,2381,23.81,49984,149952,61,61,0.002,1,32.90788197517395
4,49939,3.0551898110961915,0.04624636325836182,2654,26.54,49920,199872,52,52,0.002,1,33.46118688583374
5,49948,2.9327439447021484,0.04414535183906555,2955,29.55,49920,249792,50,50,0.002,1,33.63946223258972
6,49950,2.837336209716797,0.04332354261875153,3013,30.13,49920,299712,41,41,0.002,1,33.24269509315491
7,49959,2.718568516845703,0.04132003128528595,3208,32.08,49920,349632,39,39,0.002,1,33.52911424636841
8,49961,2.6156983598327637,0.03974010362625122,3469,34.69,49920,399552,46,46,0.002,1,33.33392572402954
9,49954,2.5088798463439943,0.038228270661830904,3661,36.61,49920,449472,40,40,0.002,1,33.6977744102478
10,49960,2.409503147125244,0.036271925961971284,3963,39.63,49920,499392,40,40,0.002,1,33.068525314331055
11,49960,2.2852099436950684,0.03573249614238739,4024,40.24,49920,549312,51,51,0.002,1,33.22388243675232
12,49949,2.175374007720947,0.034615050733089445,4241,42.41,49920,599232,75,75,0.002,1,33.34614682197571
13,49925,2.0785131465148927,0.033443016088008884,4345,43.45,49920,649152,62,62,0.002,1,33.419163942337036
14,49938,1.999513267211914,0.03291730943918228,4406,44.06,49920,699072,83,83,0.002,1,33.714733362197876
15,49917,1.9066055157470703,0.031832935273647306,4509,45.09,49856,748928,81,81,0.002,1,33.11211657524109
16,49919,1.840076782684326,0.03110953915119171,4637,46.37,49856,798784,101,101,0.002,1,33.048663854599
17,49899,1.773005389251709,0.030660506963729857,4798,47.98,49856,848640,123,123,0.002,1,33.58752393722534
18,49877,1.7121416244506835,0.030217966520786285,4824,48.24,49856,898496,116,116,0.002,1,33.13934659957886
19,49884,1.6524132345581055,0.03065811349153519,4786,47.86,49856,948352,130,130,0.002,1,33.164506912231445
20,49870,1.5939169084167482,0.029968700242042543,4930,49.3,49856,998208,167,167,0.002,1,33.17535448074341
21,49833,1.5329345487976074,0.029613475203514098,4987,49.87,49792,1048000,158,158,0.002,1,33.22639203071594
22,49842,1.4936062380981445,0.029755546844005585,4943,49.43,49792,1097792,196,196,0.002,1,33.48628783226013
23,49804,1.4393717252349854,0.029784926235675812,5002,50.02,49792,1147584,209,209,0.002,1,33.9157338142395
24,49791,1.3873709882354737,0.02881495224237442,5137,51.37,49728,1197312,224,224,0.002,1,33.45349907875061
25,49776,1.3391243379974365,0.029270194387435913,5103,51.03,49728,1247040,241,241,0.002,1,32.9671311378479
