epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.6812162643432618,0.02295436497926712,4748,47.48,49984,49984,0,0,0.001,1,53.903674840927124
2,50000,1.1483540468597413,0.018561156994104384,5937,59.37,49984,99968,0,0,0.001,1,15.965043306350708
3,50000,0.8360575659561157,0.013659469890594482,6997,69.97,49984,149952,28,28,0.001,1,16.02933979034424
4,49972,0.6722018215560913,0.011007389682531357,7589,75.89,49920,199872,126,126,0.001,1,34.84378170967102
5,49874,0.5940305473709107,0.010253802287578584,7704,77.04,49856,249728,408,408,0.001,1,15.648118495941162
6,49592,0.5662473876571655,0.009570665633678437,7915,79.15,49536,299264,654,654,0.001,1,15.549968957901001
7,49346,0.5298996201324463,0.009668511727452278,7942,79.42,49344,348608,855,855,0.001,1,15.575597763061523
8,49145,0.5047649312400818,0.009497570130228996,7996,79.96,49088,397696,880,880,0.001,1,15.484435796737671
9,49120,0.4810141890525818,0.009512456443905831,7975,79.75,49088,446784,982,982,0.001,1,15.567471981048584
10,49018,0.4653157065582275,0.010110956037044525,7885,78.85,48960,495744,1124,1124,0.001,1,15.546250581741333
11,48876,0.44470818923950195,0.008821639031171799,8130,81.3,48832,544576,1337,1337,0.001,1,15.523881912231445
12,48663,0.43362338706970216,0.008758185890316962,8098,80.98,48640,593216,1363,1363,0.001,1,15.464004278182983
13,48637,0.4147349119377136,0.007331687358021736,8405,84.05,48576,641792,1578,1578,0.001,1,15.486220121383667
14,48422,0.40556882495880126,0.008236919260025025,8190,81.9,48384,690176,1726,1726,0.001,1,15.428296327590942
15,48274,0.3928294871330261,0.007887250876426697,8314,83.14,48256,738432,1718,1718,0.001,1,15.41756534576416
16,48282,0.3796134278106689,0.008120765215158463,8285,82.85,48256,786688,1852,1852,0.001,1,15.373323202133179
17,48148,0.367695832490921,0.008149566182494164,8260,82.6,48128,834816,1961,1961,0.001,1,15.387867450714111
18,48039,0.35663561758041384,0.006844065372645855,8562,85.62,48000,882816,2267,2267,0.001,1,15.410884141921997
19,47733,0.3709319786262512,0.007188646538555622,8476,84.76,47680,930496,2206,2206,0.001,1,15.318776369094849
20,47794,0.34561194078445434,0.007409129193425178,8390,83.9,47744,978240,2242,2242,0.001,1,15.306602239608765
21,47758,0.3347984176254272,0.00735456320643425,8439,84.39,47744,1025984,2312,2312,0.001,1,15.330927848815918
22,47688,0.32286549573898315,0.006906445209681988,8514,85.14,47680,1073664,2897,2897,0.001,1,15.334423780441284
23,47103,0.3131370112228394,0.007103424268960953,8458,84.58,47040,1120704,2790,2790,0.001,1,15.109566688537598
24,47210,0.30107779989242556,0.006592583581805229,8540,85.4,47168,1167872,2885,2885,0.001,1,15.21133804321289
25,47115,0.294860524892807,0.00724235023856163,8477,84.77,47104,1214976,3074,3074,0.001,1,15.207206010818481
26,46926,0.29378615342140196,0.0071047995015978815,8497,84.97,46912,1261888,3193,3193,0.001,1,15.175338506698608
27,46807,0.28030590383529663,0.005797358210384846,8787,87.87,46784,1308672,3252,3252,0.001,1,15.062941551208496
28,46748,0.26462986526489257,0.00609826907813549,8690,86.9,46720,1355392,3524,3524,0.001,1,15.099124193191528
29,46476,0.25783038089752197,0.006585513259470463,8642,86.42,46464,1401856,3882,3882,0.001,1,15.083972930908203
30,46118,0.24550430589199065,0.0056214923433959485,8786,87.86,46080,1447936,4253,4253,0.001,1,14.952491044998169
31,45747,0.24340128937721253,0.005830516397953033,8792,87.92,45696,1493632,3424,8,0.015454799619458849,15,35.3972704410553
32,46576,0.22770501662254333,0.00515343237221241,8896,88.96,46528,1540160,2868,8,0.015454799619458849,15,14.715569972991943
33,47132,0.22537648030281066,0.0055164463371038435,8817,88.17,47104,1587264,2495,12,0.015454799619458849,15,14.805873394012451
34,47505,0.21430996527671814,0.0055500629767775535,8815,88.15,47488,1634752,2198,17,0.015454799619458849,15,14.860183000564575
35,47802,0.20766961877822876,0.005277616074681282,8844,88.44,47744,1682496,2010,19,0.015454799619458849,15,15.011859893798828
36,47990,0.20280364567756654,0.005270895787328481,8880,88.8,47936,1730432,1860,30,0.015454799619458849,15,14.984987020492554
37,48140,0.20047229604005815,0.005206553414463997,8875,88.75,48128,1778560,1741,43,0.015454799619458849,15,15.023533582687378
38,48259,0.18769878468751908,0.005335796265304089,8851,88.51,48256,1826816,1627,78,0.015454799619458849,15,14.99525499343872
39,48373,0.1837329787135124,0.004908382249623537,8945,89.45,48320,1875136,1534,119,0.015454799619458849,15,15.057104587554932
40,48466,0.1755413329076767,0.0053863466337323185,8844,88.44,48448,1923584,1421,195,0.015454799619458849,15,15.064842224121094
41,48579,0.1698245983695984,0.004834670243412257,8956,89.56,48576,1972160,1370,296,0.015454799619458849,15,15.080476522445679
42,48630,0.16579169102668762,0.0043762720480561255,9063,90.63,48576,2020736,1315,430,0.015454799619458849,15,15.16804051399231
43,48685,0.1631834379529953,0.005203593057394027,8905,89.05,48640,2069376,1248,734,0.015454799619458849,15,15.136735439300537
44,48752,0.1543899458694458,0.00459920454248786,8996,89.96,48704,2118080,1186,1186,0.015454799619458849,15,15.165512084960938
45,48814,0.14820560836791993,0.0043397280238568784,9051,90.51,48768,2166848,6216,6216,0.015454799619458849,15,15.121009826660156
46,43784,0.14205790739297866,0.004608544715493918,9021,90.21,43776,2210624,6458,6458,0.015454799619458849,15,14.219573259353638
47,43542,0.12961970071792603,0.004678426852077246,9012,90.12,43520,2254144,6611,6611,0.015454799619458849,15,14.164491176605225
48,43389,0.12656082121372222,0.0051009694688022135,8971,89.71,43328,2297472,6872,6872,0.015454799619458849,15,14.070281982421875
49,43128,0.11580337342500686,0.00503189951851964,8948,89.48,43072,2340544,7037,7037,0.015454799619458849,15,14.074134826660156
50,42963,0.11582785070896148,0.00454047388881445,9055,90.55,42944,2383488,7231,7231,0.015454799619458849,15,14.10643744468689
51,42769,0.10801085970103741,0.004560676874220371,8997,89.97,42752,2426240,7410,7410,0.015454799619458849,15,13.929354429244995
52,42590,0.10013694401741027,0.004209154485911131,9145,91.45,42560,2468800,7641,7641,0.015454799619458849,15,13.969926834106445
53,42359,0.09547641152620316,0.004083354703336954,9155,91.55,42304,2511104,7982,7982,0.015454799619458849,15,13.890416145324707
54,42018,0.08925484895467758,0.004644422239810229,9013,90.13,41984,2553088,8238,8238,0.015454799619458849,15,13.797163248062134
55,41762,0.08929496840953827,0.004599362414702773,9054,90.54,41728,2594816,8452,8452,0.015454799619458849,15,13.835188150405884
56,41548,0.07902049685001374,0.004256789780035615,9116,91.16,41536,2636352,8812,8812,0.015454799619458849,15,13.746008157730103
57,41188,0.07330315781295299,0.0038308096818625926,9203,92.03,41152,2677504,9199,9199,0.015454799619458849,15,13.635991096496582
58,40801,0.0740630194568634,0.004132484457269311,9149,91.49,40768,2718272,9491,9491,0.015454799619458849,15,13.703046798706055
59,40509,0.06328655220329761,0.003909197816252708,9201,92.01,40448,2758720,9877,9877,0.015454799619458849,15,13.483031511306763
60,40123,0.06087879264593125,0.004521350131183863,9111,91.11,40064,2798784,10294,10294,0.015454799619458849,15,13.483237028121948
61,39706,0.059733726171255115,0.003956871714629233,9194,91.94,39680,2838464,10714,10714,0.015454799619458849,15,13.41289758682251
62,39286,0.05388116315960884,0.00401826244443655,9197,91.97,39232,2877696,11252,11252,0.015454799619458849,15,13.282377004623413
63,38748,0.051820804030299185,0.004011776937544346,9220,92.2,38720,2916416,12000,12000,0.015454799619458849,15,13.269087076187134
64,38000,0.0434579217928648,0.004087935016676783,9225,92.25,37952,2954368,12715,12715,0.015454799619458849,15,13.038076162338257
65,37285,0.042892569873332974,0.004211190536245703,9189,91.89,37248,2991616,13389,13389,0.015454799619458849,15,12.939717292785645
66,36611,0.039002865918278694,0.0038922327402979135,9264,92.64,36608,3028224,14082,14082,0.015454799619458849,15,12.839503049850464
67,35918,0.035590262544751165,0.00379782224688679,9293,92.93,35904,3064128,14663,14663,0.015454799619458849,15,12.636728525161743
68,35337,0.028938589228987694,0.00413518555611372,9230,92.3,35328,3099456,15314,15314,0.015454799619458849,15,12.588962316513062
69,34686,0.02913130161345005,0.004158457905426622,9243,92.43,34624,3134080,15890,15890,0.015454799619458849,15,12.372987270355225
70,34110,0.027746268171668052,0.004158356853574514,9215,92.15,34048,3168128,16435,16435,0.015454799619458849,15,12.364236831665039
71,33565,0.023078564540445805,0.003981508941203356,9295,92.95,33536,3201664,17014,17014,0.015454799619458849,15,12.155389070510864
72,32986,0.021965514250397684,0.0037307903438806534,9322,93.22,32960,3234624,17662,17662,0.015454799619458849,15,12.120375633239746
73,32338,0.019925779841542243,0.004175469168275595,9267,92.67,32320,3266944,18117,18117,0.015454799619458849,15,11.958914041519165
74,31883,0.02079736436009407,0.004394756726548076,9231,92.31,31872,3298816,18589,18589,0.015454799619458849,15,11.92296552658081
75,31411,0.019400381021648646,0.003932753522321582,9309,93.09,31360,3330176,19192,19192,0.015454799619458849,15,11.756614923477173
76,30808,0.014940373217463493,0.0039004373600706457,9331,93.31,30784,3360960,19762,19762,0.015454799619458849,15,11.693514347076416
