epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.4879538542938233,0.019264906638860702,5553,55.53,49984,49984,0,0,0.001,1,11.562554359436035
2,50000,1.009827106399536,0.014011025243997574,6839,68.39,49984,99968,0,0,0.001,1,4.828608751296997
3,50000,0.7973158027648926,0.012367376789450645,7245,72.45,49984,149952,49,49,0.001,1,4.823190927505493
4,49951,0.6569843800735473,0.010312390506267548,7782,77.82,49920,199872,256,256,0.001,1,8.10599422454834
5,49744,0.5687805299758911,0.010490750700235366,7717,77.17,49728,249600,729,729,0.001,1,4.859806776046753
6,49271,0.4951913059043884,0.01079185271859169,7751,77.51,49216,298816,1246,1246,0.001,1,4.8544416427612305
7,48754,0.4451601000213623,0.012645804017782212,7477,74.77,48704,347520,1572,1572,0.001,1,4.813939094543457
8,48428,0.39892854539871214,0.009516744101047516,8043,80.43,48384,395904,2125,2125,0.001,1,4.819765090942383
9,47875,0.36127157389640807,0.008699529567360878,8174,81.74,47872,443776,2877,2877,0.001,1,4.805883884429932
10,47123,0.3311975668716431,0.007974565577507019,8317,83.17,47104,490880,3564,3564,0.001,1,4.763193845748901
11,46436,0.3028151709842682,0.007198109790682793,8484,84.84,46400,537280,4384,4384,0.001,1,4.691711902618408
12,45616,0.27664773428916933,0.006931322745978832,8520,85.2,45568,582848,4858,4858,0.001,1,4.662755489349365
13,45142,0.2543733251953125,0.006040138080716133,8679,86.79,45120,627968,6061,6061,0.001,1,4.637909650802612
14,43939,0.2339095444393158,0.006303813692927361,8622,86.22,43904,671872,7017,7017,0.001,1,4.568877696990967
15,42983,0.21830563296794891,0.00566315533593297,8798,87.98,42944,714816,8108,8108,0.001,1,4.489654302597046
16,41892,0.200560809135437,0.005603966694325209,8805,88.05,41856,756672,8625,8625,0.001,1,4.415807247161865
17,41375,0.1820471378803253,0.005143859249353409,8893,88.93,41344,798016,9948,9948,0.001,1,4.410231590270996
