epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9154244639587403,0.024505989599227906,4101,41.01,49984,49984,0,0,0.001,1,11.350295066833496
2,50000,1.4703255415344239,0.021446048760414123,5074,50.74,49984,99968,0,0,0.001,1,4.657876491546631
3,50000,1.1775305937194824,0.0171272545337677,6121,61.21,49984,149952,17,17,0.001,1,4.6671600341796875
4,49983,0.9201007004547119,0.016849018096923827,6401,64.01,49920,199872,34,34,0.001,1,7.915067911148071
5,49966,0.7720368868637085,0.012245943942666053,7320,73.2,49920,249792,95,95,0.001,1,7.961073160171509
6,49905,0.7061997485351562,0.010110689431428909,7803,78.03,49856,299648,281,281,0.001,1,4.715064525604248
7,49719,0.657675359992981,0.01123046616613865,7551,75.51,49664,349312,443,443,0.001,1,4.754697322845459
8,49557,0.6328747116851806,0.010223965600132941,7795,77.95,49536,398848,532,532,0.001,1,4.7267746925354
9,49468,0.6119194981002808,0.010644185003638267,7589,75.89,49408,448256,542,542,0.001,1,4.72607946395874
10,49458,0.5889558191299439,0.012239590045809746,7370,73.7,49408,497664,684,684,0.001,1,4.741899013519287
11,49316,0.5820586069488526,0.01094253817498684,7685,76.85,49280,546944,777,777,0.001,1,4.747492074966431
12,49223,0.5636498997497559,0.010634999763965607,7715,77.15,49216,596160,816,816,0.001,1,4.7340686321258545
13,49184,0.5595160465240478,0.010409009382128716,7755,77.55,49152,645312,821,821,0.001,1,4.7453107833862305
14,49179,0.5467372177505493,0.01162721173465252,7513,75.13,49152,694464,860,860,0.001,1,4.721625566482544
15,49140,0.5409228056335449,0.011357643941044807,7596,75.96,49088,743552,930,930,0.001,1,4.744948387145996
16,49070,0.5300217526435852,0.01038138020336628,7779,77.79,49024,792576,981,981,0.001,1,4.712199449539185
17,49019,0.525405391368866,0.010480762735009194,7787,77.87,48960,841536,1049,1049,0.001,1,4.713526010513306
18,48951,0.5231511769866943,0.009527464866638184,7957,79.57,48896,890432,948,948,0.001,1,4.707148551940918
