epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9092369328308105,0.02550756207704544,4041,40.41,49984,49984,0,0,0.001,1,28.492174863815308
2,50000,1.4611542529296875,0.021438479632139205,5207,52.07,49984,99968,0,0,0.001,1,26.678369522094727
3,50000,1.1589985007476806,0.016597510218620302,6215,62.15,49984,149952,31,31,0.001,1,27.374083518981934
4,49969,0.8871128958892822,0.013059170937538146,7104,71.04,49920,199872,42,42,0.001,1,28.956579208374023
5,49958,0.7530988749313354,0.01228763267993927,7317,73.17,49920,249792,116,116,0.001,1,27.774147748947144
6,49884,0.6777540557479859,0.013600874096155166,7155,71.55,49856,299648,339,339,0.001,1,27.214861392974854
7,49661,0.6347351649093628,0.013837155070900917,7145,71.45,49600,349248,505,505,0.001,1,26.346669673919678
8,49495,0.5919533319854736,0.010651521745324135,7702,77.02,49472,398720,656,656,0.001,1,25.993616580963135
9,49344,0.5608516128921509,0.010743662920594215,7661,76.61,49344,448064,729,729,0.001,1,27.001113176345825
10,49271,0.5393926727676391,0.010013702788949013,7895,78.95,49216,497280,907,907,0.001,1,26.675153732299805
11,49093,0.5128964365196228,0.00975371567606926,7893,78.93,49088,546368,977,977,0.001,1,27.21294665336609
12,49023,0.4912479654121399,0.009244831869006157,7975,79.75,48960,595328,1024,1024,0.001,1,26.25403141975403
13,48976,0.47113272848129273,0.010669878071546554,7664,76.64,48960,644288,1187,1187,0.001,1,27.1175594329834
14,48813,0.4564315034866333,0.009281774899363517,7994,79.94,48768,693056,1324,1324,0.001,1,26.680981159210205
15,48676,0.4378110062599182,0.008667890930175781,8116,81.16,48640,741696,1446,1446,0.001,1,27.034560441970825
16,48554,0.42318726861953737,0.009564171773195266,8005,80.05,48512,790208,1605,1605,0.001,1,26.580838441848755
17,48395,0.41028061861038206,0.009245205023884774,8040,80.4,48384,838592,1669,1669,0.001,1,26.507229328155518
18,48331,0.3958874117469788,0.008181086403131485,8269,82.69,48320,886912,1860,1860,0.001,1,27.03743863105774
19,48140,0.3827343127632141,0.007853614637255668,8328,83.28,48128,935040,1963,1963,0.001,1,26.45646023750305
20,48037,0.3691236682510376,0.007724910154938698,8349,83.49,48000,983040,2216,2216,0.001,1,26.3935604095459
21,47784,0.3649907631397247,0.0072361958757042886,8511,85.11,47744,1030784,2144,2144,0.001,1,26.811774253845215
22,47856,0.3437963011074066,0.006837568539381027,8559,85.59,47808,1078592,2338,2338,0.001,1,26.33228373527527
23,47662,0.33487634603500366,0.007756230375170708,8405,84.05,47616,1126208,2383,2383,0.001,1,26.795079708099365
24,47617,0.32530495040893553,0.007256535311043262,8410,84.1,47616,1173824,2648,2648,0.001,1,25.839558124542236
25,47352,0.3151613019752502,0.006783838093280792,8558,85.58,47296,1221120,2850,2850,0.001,1,26.65720009803772
26,47150,0.3080185023212433,0.006881109637022018,8499,84.99,47104,1268224,2993,2993,0.001,1,26.466283559799194
27,47007,0.2954878509044647,0.0059139859899878505,8736,87.36,46976,1315200,3175,3175,0.001,1,26.273741006851196
28,46825,0.2817052288722992,0.006837664726376534,8532,85.32,46784,1361984,3367,3367,0.001,1,26.068323135375977
29,46633,0.2736651112270355,0.006264943167567253,8687,86.87,46592,1408576,3437,3437,0.001,1,25.971665382385254
30,46563,0.26774264980316165,0.006070205961167812,8714,87.14,46528,1455104,3630,3630,0.001,1,26.471415042877197
31,46370,0.25934851004600523,0.005489663656055927,8835,88.35,46336,1501440,12634,12634,0.0076511308630891695,1,26.117942094802856
32,37366,0.2438342320537567,0.005852822342514992,8739,87.39,37312,1538752,11746,11746,0.0076511308630891695,1,23.616810083389282
33,38254,0.23001639119148254,0.005756269899010658,8766,87.66,38208,1576960,11023,11023,0.0076511308630891695,1,24.26637601852417
34,38977,0.21939903553962709,0.0058368210725486275,8755,87.55,38976,1615936,10894,10894,0.0076511308630891695,1,24.20849299430847
35,39106,0.20865383357048034,0.005162803691625595,8855,88.55,39104,1655040,12697,12697,0.0076511308630891695,1,25.019485235214233
36,37303,0.1978844787311554,0.005533489054441452,8827,88.27,37248,1692288,13452,13452,0.0076511308630891695,1,24.248337268829346
37,36548,0.1867016131544113,0.005680449087917805,8793,87.93,36544,1728832,13336,13336,0.0076511308630891695,1,23.325730323791504
38,36664,0.18075376709461213,0.005931796326488256,8747,87.47,36608,1765440,13478,13478,0.0076511308630891695,1,23.756993770599365
39,36522,0.17342404191970825,0.005574548587948084,8813,88.13,36480,1801920,14172,14172,0.0076511308630891695,1,23.22688913345337
40,35828,0.16222636772155763,0.005432299673557282,8843,88.43,35776,1837696,15184,15184,0.0076511308630891695,1,23.141619205474854
41,34816,0.1543471862792969,0.00534103684425354,8862,88.62,34816,1872512,15617,15617,0.0076511308630891695,1,23.284061670303345
42,34383,0.1472618553352356,0.004916787669062614,8936,89.36,34368,1906880,15941,15941,0.0076511308630891695,1,22.801655769348145
43,34059,0.14086012642860413,0.004778313312307,9000,90.0,34048,1940928,16537,16537,0.0076511308630891695,1,23.72502040863037
44,33463,0.13432540147304534,0.005040195631235838,8931,89.31,33408,1974336,17496,17496,0.0076511308630891695,1,23.495603799819946
45,32504,0.11950262863159179,0.004503646046668291,9042,90.42,32448,2006784,18623,18623,0.0076511308630891695,1,22.179073095321655
46,31377,0.11437284456729889,0.005110649055242538,8937,89.37,31360,2038144,19085,19085,0.0076511308630891695,1,22.356067180633545
47,30915,0.11261214940547944,0.004893402726203203,8984,89.84,30912,2069056,19862,19862,0.0076511308630891695,1,22.289299249649048
48,30138,0.10091349385499954,0.004559324385225773,9049,90.49,30080,2099136,20456,20456,0.0076511308630891695,1,21.60792350769043
49,29544,0.09149247382164001,0.005034050223231315,9001,90.01,29504,2128640,21201,21201,0.0076511308630891695,1,21.962856769561768
50,28799,0.08582683351039887,0.0047015589520335195,9034,90.34,28736,2157376,22244,22244,0.0076511308630891695,1,22.74488854408264
51,27756,0.08665062964916229,0.004816700532287359,9038,90.38,27712,2185088,22795,22795,0.0076511308630891695,1,20.831787824630737
52,27205,0.0800637822008133,0.004253795078396797,9127,91.27,27200,2212288,23282,23282,0.0076511308630891695,1,21.120441198349
53,26718,0.06977700074672699,0.0046812877036631105,9058,90.58,26688,2238976,23654,23654,0.0076511308630891695,1,21.04166078567505
