epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8921053959655763,0.025966005051136016,3940,39.4,49984,49984,0,0,0.001,1,11.282184839248657
2,50000,1.4404502667999268,0.020101402693986893,5406,54.06,49984,99968,0,0,0.001,1,4.697977304458618
3,50000,1.1631976479339599,0.018044260215759278,5931,59.31,49984,149952,26,26,0.001,1,4.681349039077759
4,49974,0.9509115869140625,0.015837740516662598,6491,64.91,49920,199872,52,52,0.001,1,7.941969633102417
5,49948,0.7911863534927368,0.013602401864528655,7108,71.08,49920,249792,97,97,0.001,1,7.955230236053467
6,49903,0.6947841025161743,0.013727250716090203,7050,70.5,49856,299648,269,269,0.001,1,4.747514486312866
7,49731,0.6434336738967895,0.012598887133598328,7328,73.28,49728,349376,449,449,0.001,1,4.793279647827148
8,49551,0.5978136812210083,0.011475337263941765,7544,75.44,49536,398912,602,602,0.001,1,4.813909292221069
9,49398,0.5614436493682862,0.011062915199995041,7614,76.14,49344,448256,719,719,0.001,1,4.783505439758301
10,49281,0.539434679069519,0.0129259486079216,7253,72.53,49280,497536,879,879,0.001,1,4.7667131423950195
11,49121,0.5127082132530213,0.010096038269996643,7874,78.74,49088,546624,997,997,0.001,1,4.805965423583984
12,49003,0.49773897298812864,0.01028291067481041,7821,78.21,48960,595584,1093,1093,0.001,1,4.769646644592285
13,48907,0.4733199324226379,0.010090232107043266,7811,78.11,48896,644480,1237,1237,0.001,1,4.7899158000946045
14,48763,0.4581904941177368,0.008858099749684333,8089,80.89,48704,693184,1318,1318,0.001,1,4.763604640960693
15,48682,0.44139798414230347,0.009614571392536164,7973,79.73,48640,741824,1487,1487,0.001,1,4.771299123764038
16,48513,0.42083157863616943,0.009354159864783287,8039,80.39,48512,790336,1583,1583,0.001,1,4.734758615493774
17,48417,0.4093806548500061,0.00884063616991043,8144,81.44,48384,838720,1747,1747,0.001,1,4.733251571655273
18,48253,0.39694298233032227,0.00816036197245121,8261,82.61,48192,886912,1821,1821,0.001,1,4.747258186340332
19,48179,0.3882226585388184,0.007183102141320705,8461,84.61,48128,935040,1818,1818,0.001,1,4.728621006011963
20,48182,0.368070221157074,0.007401936569809913,8415,84.15,48128,983168,2106,2106,0.001,1,4.735923767089844
21,47894,0.357377387304306,0.008267802879214288,8259,82.59,47872,1031040,2175,2175,0.001,1,4.7414350509643555
22,47825,0.3463043884468079,0.00749770632237196,8440,84.4,47808,1078848,2424,2424,0.001,1,4.7195940017700195
23,47576,0.33408660071372986,0.006687865111231804,8619,86.19,47552,1126400,2470,2470,0.001,1,4.703537225723267
24,47530,0.32574137038230894,0.00692821996062994,8497,84.97,47488,1173888,2700,2700,0.001,1,4.703202724456787
25,47300,0.316234631061554,0.0069997097790241245,8471,84.71,47296,1221184,2657,2657,0.001,1,4.6913721561431885
26,47343,0.3052864877319336,0.006887119720876217,8494,84.94,47296,1268480,2919,2919,0.001,1,4.689879417419434
