epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9059505364990235,0.025113361656665802,3940,39.4,49984,49984,0,0,0.001,1,11.225013732910156
2,50000,1.4171871379852294,0.021364093226194383,5209,52.09,49984,99968,0,0,0.001,1,4.616934537887573
3,50000,1.0968350650024414,0.01588551882505417,6449,64.49,49984,149952,28,28,0.001,1,4.615570783615112
4,49972,0.8421580893325805,0.017216518598794937,6347,63.47,49920,199872,40,40,0.001,1,7.864442586898804
5,49960,0.7281591899108887,0.012336426296830178,7219,72.19,49920,249792,166,166,0.001,1,7.895734786987305
6,49834,0.6630108385849,0.011536209627985954,7441,74.41,49792,299584,385,385,0.001,1,4.705920696258545
7,49615,0.620810849647522,0.011058320933580399,7627,76.27,49600,349184,594,594,0.001,1,4.7343175411224365
8,49406,0.5882955513000488,0.010185055443644524,7780,77.8,49344,398528,688,688,0.001,1,4.747706413269043
9,49312,0.5559402280807495,0.012329864048957825,7416,74.16,49280,447808,731,731,0.001,1,4.722432374954224
10,49269,0.5333891972351075,0.00980150689482689,7895,78.95,49216,497024,913,913,0.001,1,4.704352378845215
11,49087,0.5133577939987183,0.009851676025986671,7912,79.12,49024,546048,1030,1030,0.001,1,4.721772909164429
12,48970,0.48536641223907473,0.009984355050325393,7876,78.76,48960,595008,1137,1137,0.001,1,4.683116912841797
13,48863,0.4693894920158386,0.009545976302027703,7871,78.71,48832,643840,1204,1204,0.001,1,4.667519569396973
14,48796,0.45391804361343385,0.010062589183449745,7867,78.67,48768,692608,1364,1364,0.001,1,4.690250873565674
15,48636,0.43861032890319823,0.008258153942227363,8232,82.32,48576,741184,1497,1497,0.001,1,4.657087326049805
16,48503,0.4245872963142395,0.008889125776290894,8105,81.05,48448,789632,1543,1543,0.001,1,4.683680772781372
17,48457,0.40543270177841184,0.008525452427566051,8129,81.29,48448,838080,1656,1656,0.001,1,4.675928354263306
18,48344,0.396330806350708,0.007794396850466729,8349,83.49,48320,886400,1876,1876,0.001,1,4.670881271362305
19,48124,0.38415853216171264,0.009181027969717979,8027,80.27,48064,934464,1876,1876,0.001,1,4.6503050327301025
20,48124,0.37050664394378663,0.0073812377870082855,8443,84.43,48064,982528,2059,2059,0.001,1,4.649397134780884
21,47941,0.357144152507782,0.00785279981791973,8316,83.16,47936,1030464,2129,2129,0.001,1,4.668386459350586
22,47871,0.34376862449645995,0.006804805262386799,8510,85.1,47808,1078272,2398,2398,0.001,1,4.6410651206970215
23,47602,0.3321096792793274,0.006683595423400402,8579,85.79,47552,1125824,2482,2482,0.001,1,4.639548301696777
24,47518,0.32650393784523013,0.006602948834002018,8574,85.74,47488,1173312,2542,2542,0.001,1,4.625227451324463
25,47458,0.31586734873771666,0.007494441463053226,8371,83.71,47424,1220736,2741,2741,0.001,1,4.631898880004883
26,47259,0.30220769656181334,0.007291578722000122,8437,84.37,47232,1267968,2923,2923,0.001,1,4.59763240814209
27,47077,0.2931080254554749,0.006739726988971234,8564,85.64,47040,1315008,3050,3050,0.001,1,4.621478080749512
28,46950,0.28936868361473084,0.0063883348733186724,8630,86.3,46912,1361920,3115,3115,0.001,1,4.607978582382202
29,46885,0.2741490431880951,0.0061253994345664975,8721,87.21,46848,1408768,3396,3396,0.001,1,4.604740619659424
30,46604,0.26466833233833315,0.006952778382599354,8474,84.74,46592,1455360,3480,3480,0.001,1,4.569472551345825
31,46520,0.2556768235492706,0.00637344833612442,8654,86.54,46464,1501824,7717,7717,0.003,1,4.607395172119141
32,42283,0.24731469245433807,0.005578734537959098,8812,88.12,42240,1544064,7556,7556,0.003,1,4.344599008560181
33,42444,0.23371137392997743,0.005718348930776119,8763,87.63,42432,1586496,7725,7725,0.003,1,4.3564183712005615
34,42275,0.2222222783756256,0.00518187723532319,8897,88.97,42240,1628736,8219,8219,0.003,1,4.328157663345337
35,41781,0.21778031693935393,0.0059740219406783585,8724,87.24,41728,1670464,8683,8683,0.003,1,4.313395023345947
36,41317,0.20639613411903382,0.00578006656318903,8769,87.69,41280,1711744,8495,8495,0.003,1,4.255719423294067
37,41505,0.19708679851531982,0.004824795275181532,8987,89.87,41472,1753216,8699,8699,0.003,1,4.28465723991394
38,41301,0.18867001000404357,0.0051545828357338905,8920,89.2,41280,1794496,9739,9739,0.003,1,4.304539203643799
39,40261,0.17727187680244447,0.004802585746347904,8992,89.92,40256,1834752,10444,10444,0.003,1,4.251988887786865
40,39556,0.17091129794120788,0.005215789343416691,8892,88.92,39552,1874304,10648,10648,0.003,1,4.188918113708496
41,39352,0.15893140749931337,0.005066455376148224,8895,88.95,39296,1913600,11072,11072,0.003,1,4.172019958496094
42,38928,0.15446026800632476,0.005190473533421755,8894,88.94,38912,1952512,11249,11249,0.003,1,4.145291328430176
43,38751,0.1462862680196762,0.0052297129124403,8894,88.94,38720,1991232,12039,12039,0.003,1,4.125978469848633
44,37961,0.14232958028554915,0.0048162876546382904,8980,89.8,37952,2029184,12417,12417,0.003,1,4.078898668289185
45,37583,0.1355445332813263,0.00482994963824749,8983,89.83,37568,2066752,12550,12550,0.003,1,4.089304685592651
46,37450,0.1260261359977722,0.004550538925081491,9033,90.33,37440,2104192,13193,13193,0.003,1,4.088781118392944
47,36807,0.12195129488945007,0.004970674894750118,8938,89.38,36800,2140992,13617,13617,0.003,1,4.0408642292022705
48,36383,0.11440892750740052,0.004721324005722999,9013,90.13,36352,2177344,14334,14334,0.003,1,4.027867078781128
49,35666,0.10335886228084565,0.004838633192889392,9002,90.02,35648,2212992,14829,14829,0.003,1,3.9975132942199707
50,35171,0.09939593350887299,0.004562891323119402,9065,90.65,35136,2248128,15917,15917,0.003,1,3.930929660797119
51,34083,0.09604845228910446,0.004526612427085638,9033,90.33,34048,2282176,16489,16489,0.003,1,3.8915724754333496
52,33511,0.09142284132480621,0.004436353223025799,9074,90.74,33472,2315648,17158,17158,0.003,1,3.8501994609832764
53,32842,0.0857145065665245,0.0046752557102590795,9039,90.39,32832,2348480,17466,17466,0.003,1,3.8304173946380615
54,32534,0.0738184337425232,0.004320122286304831,9119,91.19,32512,2380992,18191,18191,0.003,1,3.8025622367858887
55,31809,0.07081518906235695,0.004124447044730186,9143,91.43,31808,2412800,19273,19273,0.003,1,3.746272325515747
56,30727,0.0672859349310398,0.004586799091286957,9092,90.92,30720,2443520,19548,19548,0.003,1,3.717257261276245
57,30452,0.062311257412433624,0.004551582351699472,9098,90.98,30400,2473920,20022,20022,0.003,1,3.6452791690826416
58,29978,0.05648609334230423,0.004467337112873793,9129,91.29,29952,2503872,20791,20791,0.003,1,3.6397488117218018
59,29209,0.054793203803300855,0.0044258903529495,9104,91.04,29184,2533056,21651,21651,0.003,1,3.6004838943481445
60,28349,0.04625616896390915,0.004501099160313606,9100,91.0,28288,2561344,22294,22294,0.003,1,3.5501105785369873
61,27706,0.04236042600035667,0.004192843030393124,9187,91.87,27648,2588992,23341,23341,0.003,1,3.53273344039917
62,26659,0.040582942329645155,0.004610301369056106,9128,91.28,26624,2615616,24129,24129,0.003,1,3.4760689735412598
63,25871,0.038756085191965106,0.004539657761156559,9128,91.28,25856,2641472,24751,24751,0.003,1,3.430671215057373
64,25249,0.03251019148588181,0.004662527861818672,9114,91.14,25216,2666688,25173,25173,0.003,1,3.384223699569702
65,24827,0.031511704695820805,0.004283384104073047,9191,91.91,24768,2691456,25591,25591,0.003,1,3.3727731704711914
66,24409,0.027273494042158127,0.004078722117096186,9229,92.29,24384,2715840,26138,26138,0.003,1,3.343912363052368
67,23862,0.02258023537695408,0.0037432975940406323,9293,92.93,23808,2739648,27659,27659,0.003,1,3.323268175125122
68,22341,0.017869157265126705,0.004101584891974926,9251,92.51,22336,2761984,28906,28906,0.003,1,3.219155788421631
69,21094,0.018907543665766715,0.0043812687151134014,9221,92.21,21056,2783040,29812,29812,0.003,1,3.1690776348114014
70,20188,0.01737088259637356,0.004166348165459931,9253,92.53,20160,2803200,30238,30238,0.003,1,3.103878974914551
71,19762,0.014896153800189495,0.003848147473717108,9301,93.01,19712,2822912,30723,30723,0.003,1,3.0707919597625732
72,19277,0.012806110679507255,0.0037434865335002543,9343,93.43,19264,2842176,31840,31840,0.003,1,3.061292886734009
