epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8945455163574219,0.024765718758106233,4152,41.52,49984,49984,0,0,0.001,1,17.661804676055908
2,50000,1.4491773364257812,0.021678145253658295,5179,51.79,49984,99968,0,0,0.001,1,11.774972677230835
3,50000,1.1544739717864991,0.017988378030061723,5966,59.66,49984,149952,21,21,0.001,1,11.753782749176025
4,49979,0.9412954476928711,0.014555224347114563,6689,66.89,49920,199872,43,43,0.001,1,13.799249410629272
5,49957,0.8128329312515259,0.013990916150808334,6900,69.0,49920,249792,110,110,0.001,1,13.4170241355896
6,49890,0.71908437084198,0.013249665975570679,7085,70.85,49856,299648,303,303,0.001,1,10.64356017112732
7,49697,0.655692755393982,0.01187746886909008,7476,74.76,49664,349312,453,453,0.001,1,10.445837259292603
8,49547,0.6098057865142822,0.010914375254511834,7700,77.0,49536,398848,559,559,0.001,1,11.727179050445557
9,49441,0.5809811218643188,0.01056794071495533,7718,77.18,49408,448256,647,647,0.001,1,11.643920183181763
10,49353,0.548860041217804,0.012308086237311363,7525,75.25,49344,497600,815,815,0.001,1,11.686686038970947
11,49185,0.5268580737113953,0.01001946900486946,7828,78.28,49152,546752,917,917,0.001,1,11.652901887893677
12,49083,0.49997195919036863,0.009386838388442993,8015,80.15,49024,595776,1064,1064,0.001,1,11.63844108581543
13,48936,0.48637766513824465,0.01007339000403881,7777,77.77,48896,644672,1170,1170,0.001,1,11.577756881713867
14,48830,0.46864043048858645,0.008989333575963975,8098,80.98,48768,693440,1332,1332,0.001,1,11.568289041519165
15,48668,0.44748548566818236,0.00924222185909748,8054,80.54,48640,742080,1306,1306,0.001,1,11.557627439498901
16,48694,0.4295338298606873,0.008782700940966606,8034,80.34,48640,790720,1512,1512,0.001,1,11.533947706222534
17,48488,0.4180068280220032,0.008905602824687957,8096,80.96,48448,839168,1629,1629,0.001,1,11.464847326278687
18,48371,0.40935638681411746,0.00987561360001564,7887,78.87,48320,887488,1709,1709,0.001,1,11.37661361694336
19,48291,0.39096793535232544,0.007843390169739723,8314,83.14,48256,935744,1751,1751,0.001,1,11.492878198623657
20,48249,0.3807778174686432,0.007791634967923165,8340,83.4,48192,983936,1912,1912,0.001,1,11.44003963470459
21,48088,0.365419835729599,0.007382566711306572,8418,84.18,48064,1032000,2110,2110,0.001,1,11.384260416030884
22,47890,0.35605463426589967,0.006827712182700634,8551,85.51,47872,1079872,2262,2262,0.001,1,11.40496301651001
23,47738,0.3430123058128357,0.007496375170350075,8375,83.75,47680,1127552,2434,2434,0.001,1,11.394050598144531
24,47566,0.33110406120300295,0.007735853664577007,8334,83.34,47552,1175104,2340,2340,0.001,1,11.39539384841919
25,47660,0.32437398364067077,0.006758788928389549,8511,85.11,47616,1222720,2437,2437,0.001,1,11.383880615234375
26,47563,0.3122695641994476,0.007269965030252934,8410,84.1,47552,1270272,2702,2702,0.001,1,11.365581035614014
27,47298,0.29729601037979125,0.006512137153744698,8617,86.17,47296,1317568,2975,2975,0.001,1,11.327710390090942
28,47025,0.2889967699623108,0.006859817022085189,8536,85.36,46976,1364544,3218,3218,0.001,1,11.329852104187012
29,46782,0.27787990708351135,0.0062217027679085735,8651,86.51,46720,1411264,3502,3502,0.001,1,11.281546592712402
30,46498,0.27213333592414857,0.006847044177353382,8491,84.91,46464,1457728,3533,3533,0.001,1,11.20823860168457
31,46467,0.26404352040290835,0.006383576427400112,8626,86.26,46464,1504192,2820,3,0.01766768432113169,15,14.218616724014282
32,47180,0.24987030974388122,0.0058655337795615195,8764,87.64,47168,1551360,2387,3,0.01766768432113169,15,11.279806852340698
33,47613,0.24111076272487642,0.006885107262432575,8543,85.43,47552,1598912,1991,4,0.01766768432113169,15,11.273022174835205
34,48009,0.239771682100296,0.006531800240278244,8600,86.0,48000,1646912,1710,6,0.01766768432113169,15,11.402982711791992
35,48290,0.2249070508956909,0.005934451100230217,8762,87.62,48256,1695168,1494,10,0.01766768432113169,15,11.387173414230347
36,48506,0.22315189048290252,0.0056850824534893036,8775,87.75,48448,1743616,1365,19,0.01766768432113169,15,11.466700553894043
37,48635,0.21432726124286652,0.0058411471143364905,8743,87.43,48576,1792192,1261,27,0.01766768432113169,15,11.562354564666748
38,48739,0.2051082422733307,0.006061245068907738,8700,87.0,48704,1840896,1123,34,0.01766768432113169,15,11.519178628921509
39,48877,0.20136335903167724,0.005433199366927147,8837,88.37,48832,1889728,1026,56,0.01766768432113169,15,11.673110246658325
40,48974,0.19228959483623503,0.005591867173463106,8772,87.72,48960,1938688,975,98,0.01766768432113169,15,10.076936721801758
41,49025,0.18505639278411865,0.005099182362854481,8919,89.19,49024,1987712,940,166,0.01766768432113169,15,11.466018438339233
42,49060,0.1773443986749649,0.005436076562106609,8832,88.32,49024,2036736,870,282,0.01766768432113169,15,10.624290466308594
43,49130,0.17061281204223633,0.004778771752119064,8973,89.73,49088,2085824,818,447,0.01766768432113169,15,10.358678102493286
44,49182,0.16599929521799087,0.00560803599730134,8828,88.28,49152,2134976,744,744,0.01766768432113169,15,10.500090599060059
45,49256,0.1600868514919281,0.004842283052206039,8951,89.51,49216,2184192,6112,6112,0.01766768432113169,15,11.52131199836731
46,43888,0.15512763591766357,0.005395088407397271,8891,88.91,43840,2228032,6459,6459,0.01766768432113169,15,9.565629959106445
47,43541,0.14348806500911712,0.005836259751021862,8796,87.96,43520,2271552,6630,6630,0.01766768432113169,15,9.306049585342407
48,43370,0.13877793779850006,0.005391020801663399,8873,88.73,43328,2314880,6788,6788,0.01766768432113169,15,10.623729228973389
49,43212,0.12901335107803344,0.0053199866294860836,8852,88.52,43200,2358080,6816,6816,0.01766768432113169,15,10.587376832962036
50,43184,0.12176773521661759,0.004675219072401524,9013,90.13,43136,2401216,7070,7070,0.01766768432113169,15,10.575936317443848
51,42930,0.11535666924476623,0.004864294169843197,8957,89.57,42880,2444096,7370,7370,0.01766768432113169,15,10.573830366134644
52,42630,0.10980873588323593,0.00465513772033155,9037,90.37,42624,2486720,7724,7724,0.01766768432113169,15,10.501980304718018
53,42276,0.09560019691109657,0.005339196444302798,8920,89.2,42240,2528960,7990,7990,0.01766768432113169,15,10.541226625442505
54,42010,0.09768445263028144,0.004868087999522686,8996,89.96,41984,2570944,8238,8238,0.01766768432113169,15,10.48664665222168
55,41762,0.09277602494239807,0.005072494585439563,8954,89.54,41728,2612672,8513,8513,0.01766768432113169,15,10.418238878250122
56,41487,0.08660481236457825,0.0048351189203560355,9010,90.1,41472,2654144,8838,8838,0.01766768432113169,15,10.356482744216919
57,41162,0.08166356289505959,0.0051664507389068606,8980,89.8,41152,2695296,9167,9167,0.01766768432113169,15,10.427518367767334
58,40833,0.07344276063084602,0.004733536637574434,9031,90.31,40832,2736128,9555,9555,0.01766768432113169,15,10.307329654693604
59,40445,0.06973524124622345,0.004657377380877733,9069,90.69,40384,2776512,9990,9990,0.01766768432113169,15,10.277393102645874
60,40010,0.06641101080775261,0.004693330071866513,9077,90.77,40000,2816512,10489,10489,0.01766768432113169,15,10.246650695800781
61,39511,0.06242246455073357,0.00491583363302052,9016,90.16,39488,2856000,10923,10923,0.01766768432113169,15,10.14122724533081
62,39077,0.058663742661476136,0.004602960276603699,9114,91.14,39040,2895040,11473,11473,0.01766768432113169,15,10.064081907272339
63,38527,0.05316426277577877,0.004518724028021098,9123,91.23,38464,2933504,12285,12285,0.01766768432113169,15,9.9973726272583
64,37715,0.05028338344037533,0.004866066641360522,9085,90.85,37696,2971200,13010,13010,0.01766768432113169,15,9.821549654006958
65,36990,0.0434797211432457,0.0049626696180552245,9065,90.65,36928,3008128,13812,13812,0.01766768432113169,15,9.714237213134766
66,36188,0.04289662113726139,0.00423913302719593,9189,91.89,36160,3044288,14543,14543,0.01766768432113169,15,9.557526588439941
67,35457,0.03954085271537304,0.00459116351576522,9154,91.54,35456,3079744,15125,15125,0.01766768432113169,15,9.497814893722534
68,34875,0.032453829634487626,0.004712728743255138,9158,91.58,34816,3114560,15604,15604,0.01766768432113169,15,9.361238241195679
69,34396,0.03327008171051741,0.0043910355787724255,9176,91.76,34368,3148928,16057,16057,0.01766768432113169,15,9.30334734916687
70,33943,0.02822129572302103,0.004386950212717056,9205,92.05,33920,3182848,16621,16621,0.01766768432113169,15,9.295986652374268
71,33379,0.026439833456873892,0.004063122893497348,9244,92.44,33344,3216192,17342,17342,0.01766768432113169,15,9.24912714958191
72,32658,0.02358676079005003,0.004605950548127294,9224,92.24,32640,3248832,17955,17955,0.01766768432113169,15,9.02087116241455
73,32045,0.02266763007581234,0.004384180517494679,9203,92.03,32000,3280832,18518,18518,0.01766768432113169,15,9.027469873428345
74,31482,0.017659142217934132,0.0043307832978665825,9205,92.05,31424,3312256,19157,19157,0.01766768432113169,15,8.70797872543335
75,30843,0.01602596134647727,0.005179074414819479,9135,91.35,30784,3343040,19714,19714,0.01766768432113169,15,8.703249454498291
76,30286,0.012685023480951785,0.004354047663509846,9235,92.35,30272,3373312,20297,20297,0.01766768432113169,15,8.744840621948242
77,29703,0.014801033712625504,0.004756477297283709,9200,92.0,29696,3403008,20845,20845,0.01766768432113169,15,8.551239252090454
78,29155,0.013211777996867895,0.0044794086726382375,9225,92.25,29120,3432128,21507,21507,0.01766768432113169,15,8.465444803237915
79,28493,0.009505859144926071,0.004448392317071557,9248,92.48,28480,3460608,22238,22238,0.01766768432113169,15,8.528892755508423
80,27762,0.01052880209594965,0.004283595605008304,9274,92.74,27712,3488320,22903,22903,0.01766768432113169,15,8.476086854934692
81,27097,0.008131145446151495,0.004014834441244603,9306,93.06,27072,3515392,23620,23620,0.01766768432113169,15,8.296863794326782
82,26380,0.007175047084689141,0.0042538147632032635,9285,92.85,26368,3541760,24283,24283,0.01766768432113169,15,8.11644721031189
83,25717,0.005730339230448008,0.004103302993066609,9313,93.13,25664,3567424,25086,25086,0.01766768432113169,15,7.935261487960815
84,24914,0.005692598062306643,0.004317322438769042,9278,92.78,24896,3592320,25785,25785,0.01766768432113169,15,7.859169244766235
85,24215,0.004895555881559849,0.0038618816174566745,9340,93.4,24192,3616512,26450,26450,0.01766768432113169,15,7.722044229507446
86,23550,0.004082886787578463,0.003868065209686756,9323,93.23,23488,3640000,27196,27196,0.01766768432113169,15,7.589353322982788
87,22804,0.004099634043872357,0.004311446309229359,9309,93.09,22784,3662784,27865,27865,0.01766768432113169,15,7.484626770019531
88,22135,0.0030011242246627805,0.003816014087386429,9344,93.44,22080,3684864,28618,28618,0.01766768432113169,15,7.3717265129089355
89,21382,0.003136802526116371,0.003927171709388494,9322,93.22,21376,3706240,29421,29421,0.01766768432113169,15,7.222518444061279
90,20579,0.0027958671533316374,0.0040387173499912025,9336,93.36,20544,3726784,30064,30064,0.01766768432113169,15,7.1220176219940186
91,19936,0.002931299991309643,0.0038363647212274372,9349,93.49,19904,3746688,30710,30710,0.01766768432113169,15,7.0615644454956055
92,19290,0.0022672968907654287,0.003735116841085255,9380,93.8,19264,3765952,31395,31395,0.01766768432113169,15,6.968693256378174
93,18605,0.001991098193898797,0.004056242353469133,9337,93.37,18560,3784512,31935,31935,0.01766768432113169,15,6.7996556758880615
94,18065,0.001797934628278017,0.0037339405358769,9377,93.77,18048,3802560,32603,32603,0.01766768432113169,15,6.697988033294678
95,17397,0.0018362815042585134,0.003874200576543808,9353,93.53,17344,3819904,33302,33302,0.01766768432113169,15,6.558116674423218
96,16698,0.0015681888699531556,0.003900951752439141,9351,93.51,16640,3836544,33860,33860,0.01766768432113169,15,6.560322523117065
97,16140,0.0015319140256941318,0.003566469085402787,9394,93.94,16128,3852672,34524,34524,0.01766768432113169,15,6.494569540023804
98,15476,0.0013774980782717467,0.003579749201796949,9393,93.93,15424,3868096,35072,35072,0.01766768432113169,15,6.379028797149658
99,14928,0.0013379162158817053,0.0036614573258906603,9376,93.76,14912,3883008,35629,35629,0.01766768432113169,15,6.2972259521484375
100,14371,0.0011134139296412467,0.0034959325422532854,9417,94.17,14336,3897344,36140,36140,0.01766768432113169,15,6.228742599487305
101,13860,0.001042503217384219,0.003595940971374512,9423,94.23,13824,3911168,36635,36635,0.01766768432113169,15,6.138073444366455
102,13365,0.0009965553369373082,0.0035013516397215424,9399,93.99,13312,3924480,37078,37078,0.01766768432113169,15,6.023636102676392
103,12922,0.0011309833155572415,0.0036599363658577203,9398,93.98,12864,3937344,37527,37527,0.01766768432113169,15,5.965329647064209
104,12473,0.0008291931024193764,0.003540375138167292,9410,94.1,12416,3949760,37957,37957,0.01766768432113169,15,5.931406497955322
105,12043,0.001024996470734477,0.0035864024898968638,9396,93.96,12032,3961792,38292,38292,0.01766768432113169,15,5.909497022628784
106,11708,0.0008297337923198939,0.003408843684475869,9405,94.05,11648,3973440,38662,38662,0.01766768432113169,15,5.836819887161255
107,11338,0.0011163817396759987,0.003383223094861023,9429,94.29,11328,3984768,39090,39090,0.01766768432113169,15,5.755110502243042
108,10910,0.0008230884599685668,0.0034893035893328486,9408,94.08,10880,3995648,39393,39393,0.01766768432113169,15,5.6855103969573975
109,10607,0.0007981254219263793,0.003536068105627783,9417,94.17,10560,4006208,39647,39647,0.01766768432113169,15,5.650051593780518
110,10353,0.0006989785881340504,0.0035870525693986566,9402,94.02,10304,4016512,39844,39844,0.01766768432113169,15,5.631605386734009
111,10156,0.0007164143328368664,0.003370611427584663,9428,94.28,10112,4026624,40012,40012,0.01766768432113169,15,5.611151218414307
112,9988,0.0006628055981546641,0.0034416254254989328,9443,94.43,9984,4036608,40345,40345,0.01766768432113169,15,5.590893268585205
113,9655,0.000600974785014987,0.0034975362167693675,9426,94.26,9600,4046208,40582,40582,0.01766768432113169,15,5.4926300048828125
114,9418,0.000563405501395464,0.003498931136005558,9429,94.29,9408,4055616,40762,40762,0.01766768432113169,15,5.475338459014893
115,9238,0.0006327530246973038,0.0034391101675108073,9437,94.37,9216,4064832,40936,40936,0.01766768432113169,15,5.419626951217651
116,9064,0.0006446073298156261,0.0033813382567837833,9425,94.25,9024,4073856,41027,41027,0.01766768432113169,15,5.389157056808472
117,8973,0.0005700500244647265,0.003398338570818305,9439,94.39,8960,4082816,41189,41189,0.01766768432113169,15,5.369077444076538
118,8811,0.0006329501654952764,0.0034591090947389603,9416,94.16,8768,4091584,41375,41375,0.01766768432113169,15,5.2839837074279785
119,8625,0.0005838033437728882,0.0035249533105641603,9419,94.19,8576,4100160,41475,41475,0.01766768432113169,15,5.229726076126099
120,8525,0.0006264002121984959,0.00339959195330739,9443,94.43,8512,4108672,41681,41681,0.01766768432113169,15,5.2480902671813965
121,8319,0.000527500091791153,0.0034536901344778014,9431,94.31,8256,4116928,41766,41766,0.01766768432113169,15,5.196447849273682
122,8234,0.0005182131180167198,0.003404346798500046,9460,94.6,8192,4125120,41812,41812,0.01766768432113169,15,5.174241065979004
123,8188,0.0004915658853203058,0.003440755701996386,9442,94.42,8128,4133248,41879,41879,0.01766768432113169,15,5.143904209136963
124,8121,0.0005457243933528662,0.0033554775337222963,9448,94.48,8064,4141312,41914,41914,0.01766768432113169,15,5.119709491729736
125,8086,0.0005264785698801279,0.0034582955333404245,9446,94.46,8064,4149376,41991,41991,0.01766768432113169,15,5.127677917480469
126,8009,0.0005033041182160378,0.0033384130803868176,9430,94.3,8000,4157376,42157,42157,0.01766768432113169,15,5.0831849575042725
127,7843,0.0005789977280795574,0.003444540672842413,9420,94.2,7808,4165184,42159,42159,0.01766768432113169,15,5.037098169326782
128,7841,0.0005523383678495884,0.003338097482547164,9437,94.37,7808,4172992,42235,42235,0.01766768432113169,15,5.06379246711731
129,7765,0.0004302074656635523,0.0033761692835018037,9438,94.38,7744,4180736,42191,42191,0.01766768432113169,15,5.040751695632935
130,7809,0.00046440917909145357,0.003365370396990329,9431,94.31,7808,4188544,42271,42271,0.01766768432113169,15,5.0363264083862305
131,7729,0.0005517711569368839,0.0033711101149208845,9431,94.31,7680,4196224,42274,42274,0.01766768432113169,15,4.998702764511108
132,7726,0.00044552373751997946,0.003297827305016108,9447,94.47,7680,4203904,42367,42367,0.01766768432113169,15,4.981121301651001
133,7633,0.0005359118141233921,0.0032799318924546243,9455,94.55,7616,4211520,42386,42386,0.01766768432113169,15,5.026514768600464
134,7614,0.0004476074558496475,0.0033862027102150023,9445,94.45,7552,4219072,42459,42459,0.01766768432113169,15,5.12944483757019
135,7541,0.0004885231573879718,0.0033582832623273136,9446,94.46,7488,4226560,42530,42530,0.01766768432113169,15,5.014023780822754
136,7470,0.000406979493573308,0.003377251711394638,9440,94.4,7424,4233984,42560,42560,0.01766768432113169,15,5.000133752822876
137,7440,0.00042198311880230904,0.00336360716316849,9438,94.38,7424,4241408,42645,42645,0.01766768432113169,15,4.980675935745239
138,7355,0.00044511611297726633,0.003332557787001133,9444,94.44,7296,4248704,42692,42692,0.01766768432113169,15,4.932722568511963
139,7308,0.0004336305140703917,0.0034604536900296806,9411,94.11,7296,4256000,42778,42778,0.01766768432113169,15,4.93621301651001
140,7222,0.00038177823819220065,0.0033083140196278693,9433,94.33,7168,4263168,42826,42826,0.01766768432113169,15,4.91213059425354
141,7174,0.00044032005928456783,0.0032993064890615644,9439,94.39,7168,4270336,42852,42852,0.01766768432113169,15,4.9691481590271
142,7148,0.00043252658396959303,0.0032722316343802957,9439,94.39,7104,4277440,42916,42916,0.01766768432113169,15,4.89267897605896
143,7084,0.0004428914910554886,0.00331428527822718,9443,94.43,7040,4284480,42940,42940,0.01766768432113169,15,4.8573503494262695
144,7060,0.00039887665785849093,0.0034060607539489864,9458,94.58,7040,4291520,42990,42990,0.01766768432113169,15,4.871468782424927
145,7010,0.0004293705702573061,0.0033405667218379675,9440,94.4,6976,4298496,42995,42995,0.01766768432113169,15,4.862225770950317
146,7005,0.0004374563235044479,0.0034563338211737573,9435,94.35,6976,4305472,43025,43025,0.01766768432113169,15,4.825650453567505
147,6975,0.0003794243924319744,0.003370176001172513,9447,94.47,6912,4312384,43012,43012,0.01766768432113169,15,4.832909345626831
148,6988,0.00035516640536487103,0.003331149176321924,9434,94.34,6976,4319360,43108,43108,0.01766768432113169,15,4.834852695465088
149,6892,0.0004177033443748951,0.0033598671245155857,9443,94.43,6848,4326208,43112,43112,0.01766768432113169,15,4.817658424377441
150,6888,0.000455802101418376,0.003305575573071837,9420,94.2,6848,4333056,43157,43157,0.01766768432113169,15,4.789955139160156
151,6843,0.000353992545157671,0.0034630162869114427,9432,94.32,6784,4339840,43212,43212,0.01766768432113169,15,4.876981973648071
152,6788,0.0003945734986662865,0.0033553675058763475,9464,94.64,6784,4346624,43221,43221,0.01766768432113169,15,4.910650014877319
153,6779,0.00032745863184332845,0.0033463289485313,9434,94.34,6720,4353344,43255,43255,0.01766768432113169,15,4.883386135101318
154,6745,0.0003766378142684698,0.00339539176390972,9420,94.2,6720,4360064,43151,43151,0.01766768432113169,15,4.87291145324707
155,6849,0.00041496716439723966,0.003369429020397365,9430,94.3,6848,4366912,43137,43137,0.01766768432113169,15,4.86632227897644
156,6863,0.0004184208501875401,0.003229920539725572,9453,94.53,6848,4373760,43164,43164,0.01766768432113169,15,4.832834243774414
157,6836,0.0004623718619346619,0.0033541652078740297,9440,94.4,6784,4380544,43252,43252,0.01766768432113169,15,4.872961759567261
158,6748,0.00036333336502313615,0.003315727075561881,9434,94.34,6720,4387264,43201,43201,0.01766768432113169,15,4.952212333679199
159,6799,0.00043023513294756415,0.0032551943364553153,9470,94.7,6784,4394048,43264,43264,0.01766768432113169,15,4.938652038574219
160,6736,0.0003455400529503822,0.0034293793950229885,9428,94.28,6720,4400768,43303,43303,0.01766768432113169,15,4.876586675643921
161,6697,0.0003569846612215042,0.003292821693699807,9437,94.37,6656,4407424,43352,43352,0.01766768432113169,15,4.927178859710693
162,6648,0.00036758934959769246,0.0032651409793645145,9448,94.48,6592,4414016,43377,43377,0.01766768432113169,15,4.909487247467041
163,6623,0.0003297261381149292,0.003225423306459561,9456,94.56,6592,4420608,43370,43370,0.01766768432113169,15,4.930833339691162
164,6630,0.00038446547232568265,0.003296416225191206,9439,94.39,6592,4427200,43327,43327,0.01766768432113169,15,4.9187164306640625
165,6673,0.0003643198879063129,0.0032396523972041905,9476,94.76,6656,4433856,43237,43237,0.01766768432113169,15,4.906000137329102
166,6763,0.00033192390263080596,0.0034647779123857616,9429,94.29,6720,4440576,43278,43278,0.01766768432113169,15,4.907931089401245
167,6722,0.0003588760811835527,0.0033782959941774608,9425,94.25,6720,4447296,43266,43266,0.01766768432113169,15,4.932985544204712
168,6734,0.00042675803877413273,0.0032761989516206084,9466,94.66,6720,4454016,43319,43319,0.01766768432113169,15,4.84077525138855
169,6681,0.0003350818882882595,0.0034936196842230856,9432,94.32,6656,4460672,43293,43293,0.01766768432113169,15,4.851728916168213
170,6707,0.0003266682546585798,0.0032460542482323947,9445,94.45,6656,4467328,43344,43344,0.01766768432113169,15,4.8309338092803955
171,6656,0.00041242712788283826,0.0033961767939967103,9442,94.42,6656,4473984,43353,43353,0.01766768432113169,15,4.823374509811401
172,6647,0.0003503596287965775,0.0033804264578968287,9438,94.38,6592,4480576,43324,43324,0.01766768432113169,15,4.825770378112793
173,6676,0.00038431641981005667,0.003382270438084379,9437,94.37,6656,4487232,43204,43204,0.01766768432113169,15,4.819145917892456
174,6796,0.0003619827654957771,0.003243129803147167,9450,94.5,6784,4494016,43259,43259,0.01766768432113169,15,4.829755067825317
