epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.913262606201172,0.023900905668735505,4267,42.67,49984,49984,0,0,0.001,1,19.180128574371338
2,50000,1.420177585144043,0.02109019315838814,5275,52.75,49984,99968,0,0,0.001,1,12.228043794631958
3,50000,1.1305639700317383,0.01850062273144722,5865,58.65,49984,149952,23,23,0.001,1,12.255829095840454
4,49977,0.9525672605895996,0.01752175276875496,6038,60.38,49920,199872,47,47,0.001,1,15.612734079360962
5,49953,0.8105073859786988,0.012968233340978623,7222,72.22,49920,249792,137,137,0.001,1,15.564833164215088
6,49863,0.7134820401382447,0.013001935932040215,7128,71.28,49856,299648,294,294,0.001,1,12.189776182174683
7,49706,0.6429110865020752,0.01275440259873867,7209,72.09,49664,349312,460,460,0.001,1,12.179368734359741
8,49540,0.60230829372406,0.016138037049770355,6783,67.83,49536,398848,533,533,0.001,1,12.136714696884155
9,49467,0.5662862172317504,0.011708791944384575,7469,74.69,49408,448256,708,708,0.001,1,12.15262246131897
10,49292,0.5324764944458008,0.011673526701331139,7572,75.72,49280,497536,903,903,0.001,1,12.04944396018982
11,49097,0.5156933403205871,0.011032947808504105,7696,76.96,49088,546624,947,947,0.001,1,12.198787927627563
12,49053,0.49231113861083986,0.00944174154996872,7948,79.48,49024,595648,1087,1087,0.001,1,12.125807285308838
13,48913,0.47142309438705443,0.009092250084877015,8046,80.46,48896,644544,1145,1145,0.001,1,12.1484956741333
14,48855,0.4536401104927063,0.00886830590069294,8081,80.81,48832,693376,1367,1367,0.001,1,12.188766717910767
15,48633,0.43863288019180297,0.009151624661684036,8012,80.12,48576,741952,1432,1432,0.001,1,12.148005723953247
16,48568,0.42270075147628783,0.008333221301436424,8246,82.46,48512,790464,1661,1661,0.001,1,12.17584490776062
17,48339,0.4069786351585388,0.008600802195072175,8198,81.98,48320,838784,1671,1671,0.001,1,12.113057374954224
18,48329,0.39445607736587524,0.008694491752982139,8140,81.4,48320,887104,1836,1836,0.001,1,12.093621253967285
19,48164,0.379274537525177,0.008498246973752975,8207,82.07,48128,935232,2029,2029,0.001,1,12.027424573898315
20,47971,0.3669225065803528,0.008333840917050838,8229,82.29,47936,983168,2192,2192,0.001,1,11.882858276367188
21,47808,0.36066407138824463,0.007589337463676929,8375,83.75,47808,1030976,2306,2306,0.001,1,11.97853422164917
22,47694,0.34642308455467224,0.008271590735018253,8287,82.87,47680,1078656,2384,2384,0.001,1,11.949779272079468
23,47616,0.334395850315094,0.00811196673810482,8249,82.49,47616,1126272,2353,2353,0.001,1,11.940210580825806
24,47647,0.3206247555065155,0.007237477155029774,8460,84.6,47616,1173888,2558,2558,0.001,1,11.92207670211792
25,47442,0.31159287187576296,0.007058100737631321,8490,84.9,47424,1221312,2783,2783,0.001,1,11.86470341682434
26,47217,0.30120649079322814,0.006821198663115501,8506,85.06,47168,1268480,3110,3110,0.001,1,11.791267395019531
27,46890,0.29279227263450625,0.005865179692208767,8725,87.25,46848,1315328,3303,3303,0.001,1,11.714595794677734
28,46697,0.28190492353439334,0.007452942328155041,8384,83.84,46656,1361984,3271,3271,0.001,1,11.671409845352173
29,46729,0.2724067764091492,0.006698365432024002,8540,85.4,46720,1408704,3363,3363,0.001,1,11.741400718688965
30,46637,0.2625240277194977,0.0063702628061175345,8630,86.3,46592,1455296,3461,3461,0.001,1,11.62940788269043
31,46539,0.25467012919425963,0.006360777010023594,8666,86.66,46528,1501824,2711,6,0.016883393327014704,15,14.68923282623291
32,47289,0.24906765354156493,0.0063240545764565465,8694,86.94,47232,1549056,2232,7,0.016883393327014704,15,11.761110067367554
33,47768,0.24267591864585877,0.006673290725052357,8607,86.07,47744,1596800,1814,8,0.016883393327014704,15,11.8317711353302
34,48186,0.23288510066986085,0.005729119320213795,8786,87.86,48128,1644928,1568,10,0.016883393327014704,15,11.920210838317871
35,48432,0.2257354980826378,0.005987454184889793,8700,87.0,48384,1693312,1381,12,0.016883393327014704,15,11.980119705200195
36,48619,0.21357575615882873,0.0055797704264521596,8780,87.8,48576,1741888,1211,17,0.016883393327014704,15,11.9949791431427
37,48789,0.21307977975845338,0.005264025460183621,8879,88.79,48768,1790656,1062,28,0.016883393327014704,15,12.030075550079346
38,48938,0.20100351085186005,0.005068891389667988,8919,89.19,48896,1839552,961,39,0.016883393327014704,15,12.041080474853516
39,49039,0.1957579770374298,0.0053475508034229275,8845,88.45,49024,1888576,897,59,0.016883393327014704,15,12.071425199508667
40,49103,0.18772836899757386,0.005182678318023682,8876,88.76,49088,1937664,861,100,0.016883393327014704,15,26.910459756851196
41,49139,0.18448119651317596,0.004593201010674238,9003,90.03,49088,1986752,813,132,0.016883393327014704,15,12.083848714828491
42,49187,0.17712679368972778,0.004679527348279953,8993,89.93,49152,2035904,753,193,0.016883393327014704,15,12.076839685440063
43,49247,0.1707514591217041,0.004653647027164698,9017,90.17,49216,2085120,696,331,0.016883393327014704,15,12.098344564437866
44,49304,0.16539237485408784,0.004825086431205273,8970,89.7,49280,2134400,632,632,0.016883393327014704,15,11.973942279815674
45,49368,0.15111918732404708,0.004520664785057306,9041,90.41,49344,2183744,5867,5867,0.016883393327014704,15,12.05726408958435
46,44133,0.14975638088703155,0.0051749232769012455,8938,89.38,44096,2227840,6153,6153,0.016883393327014704,15,11.266883611679077
47,43847,0.13850245431900024,0.005336838839203119,8899,88.99,43840,2271680,6417,6417,0.016883393327014704,15,11.235053777694702
48,43583,0.132323715569973,0.00503590307533741,8969,89.69,43520,2315200,6644,6644,0.016883393327014704,15,11.134933471679688
49,43356,0.1284180953860283,0.005034203527867794,8980,89.8,43328,2358528,6888,6888,0.016883393327014704,15,11.150989055633545
50,43112,0.11876439549922943,0.004998869562149048,8952,89.52,43072,2401600,7216,7216,0.016883393327014704,15,11.043916940689087
51,42784,0.11195229552268982,0.004631260846555233,9035,90.35,42752,2444352,7547,7547,0.016883393327014704,15,11.047719717025757
52,42453,0.10583228614807129,0.005243396750092506,8941,89.41,42432,2486784,7821,7821,0.016883393327014704,15,10.998898267745972
53,42179,0.10295912705659867,0.004917452623695135,9002,90.02,42176,2528960,8142,8142,0.016883393327014704,15,11.008824110031128
54,41858,0.0897899019396305,0.005274477159231901,8970,89.7,41856,2570816,8505,8505,0.016883393327014704,15,10.912726640701294
55,41495,0.08586245017170906,0.005144182261824608,8971,89.71,41472,2612288,8746,8746,0.016883393327014704,15,10.836721420288086
56,41254,0.079323616669178,0.004984648156911135,9007,90.07,41216,2653504,8941,8941,0.016883393327014704,15,10.806795358657837
57,41059,0.08140344390571118,0.004973297190666199,9015,90.15,41024,2694528,9218,9218,0.016883393327014704,15,10.76572299003601
58,40782,0.07417150817871093,0.004275438810884952,9084,90.84,40768,2735296,9624,9624,0.016883393327014704,15,8.270873785018921
59,40376,0.0731492308974266,0.004343399476259947,9103,91.03,40320,2775616,10033,10033,0.016883393327014704,15,9.234270572662354
60,39967,0.06799802395224572,0.004441417767852545,9144,91.44,39936,2815552,10576,10576,0.016883393327014704,15,26.124994039535522
61,39424,0.05628781809687614,0.004825210573524237,9051,90.51,39424,2854976,11185,11185,0.016883393327014704,15,13.863525629043579
62,38815,0.05515333251178264,0.005084854665026069,9053,90.53,38784,2893760,11770,11770,0.016883393327014704,15,11.057722568511963
63,38230,0.04858526268720627,0.004956620024144649,9094,90.94,38208,2931968,12568,12568,0.016883393327014704,15,10.291183710098267
64,37432,0.04859800308465958,0.004653710133954883,9093,90.93,37376,2969344,13176,13176,0.016883393327014704,15,10.170804738998413
65,36824,0.0412240445625782,0.004260119245946407,9198,91.98,36800,3006144,13820,13820,0.016883393327014704,15,10.095275640487671
66,36180,0.04231001806557178,0.004697878854721785,9122,91.22,36160,3042304,14502,14502,0.016883393327014704,15,9.962208032608032
67,35498,0.037949332864880565,0.005022982221841812,9086,90.86,35456,3077760,15085,15085,0.016883393327014704,15,9.860248804092407
68,34915,0.03526062355041504,0.0045650709826499224,9147,91.47,34880,3112640,15654,15654,0.016883393327014704,15,9.679787635803223
69,34346,0.033784093995690344,0.004586567083746195,9179,91.79,34304,3146944,16238,16238,0.016883393327014704,15,9.62510895729065
70,33762,0.027143950061798094,0.004609435397386551,9154,91.54,33728,3180672,16828,16828,0.016883393327014704,15,9.482512474060059
71,33172,0.023938434198498726,0.004085291738063097,9280,92.8,33152,3213824,17356,17356,0.016883393327014704,15,9.470489978790283
72,32644,0.019979616909325124,0.004352783340215683,9235,92.35,32640,3246464,17996,17996,0.016883393327014704,15,9.38169813156128
