epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.8859348039245605,0.024823601698875427,4082,40.82,49984,49984,0,0,0.001,1,34.33346915245056
2,50000,1.391231480026245,0.02037717335820198,5411,54.11,49984,99968,0,0,0.001,1,24.192620038986206
3,50000,1.1045703269195557,0.018568435508012772,5895,58.95,49984,149952,38,38,0.001,1,22.087754726409912
4,49962,0.9133011375427246,0.015603272813558578,6653,66.53,49920,199872,56,56,0.001,1,25.96447205543518
5,49944,0.7749900998687744,0.012865319752693177,7175,71.75,49920,249792,141,141,0.001,1,27.249709844589233
6,49859,0.6903428453445435,0.014854349207878113,6827,68.27,49856,299648,279,279,0.001,1,24.11233949661255
7,49721,0.6309355415344239,0.012211448106169701,7348,73.48,49664,349312,479,479,0.001,1,24.047815799713135
8,49521,0.5989915095138549,0.013235191676020622,7274,72.74,49472,398784,576,576,0.001,1,23.991177558898926
9,49424,0.561647678527832,0.012110333055257798,7305,73.05,49408,448192,724,724,0.001,1,24.02305555343628
10,49276,0.5345548377990723,0.010488721907138825,7777,77.77,49216,497408,905,905,0.001,1,23.886746168136597
11,49095,0.5163368514251709,0.009629351675510406,7947,79.47,49088,546496,1019,1019,0.001,1,23.849957704544067
12,48981,0.4914795372200012,0.010398609200119972,7855,78.55,48960,595456,1127,1127,0.001,1,23.85335636138916
13,48873,0.46787764835357665,0.00988627442419529,7884,78.84,48832,644288,1185,1185,0.001,1,23.830851078033447
14,48815,0.45629547998428344,0.009318481275439262,8061,80.61,48768,693056,1354,1354,0.001,1,23.822272539138794
15,48646,0.43761159978866576,0.008036289274692535,8307,83.07,48640,741696,1431,1431,0.001,1,23.7579505443573
16,48569,0.41964685850143435,0.008812304908037185,8119,81.19,48512,790208,1542,1542,0.001,1,23.733731269836426
17,48458,0.40730487520217895,0.008405713614821434,8174,81.74,48448,838656,1672,1672,0.001,1,23.727232694625854
18,48328,0.38944074995040895,0.007968127804994583,8248,82.48,48320,886976,1855,1855,0.001,1,23.640761137008667
19,48145,0.37722246353149413,0.0077864591345191,8354,83.54,48128,935104,2016,2016,0.001,1,23.607778310775757
20,47984,0.3709993302154541,0.008479954412579536,8210,82.1,47936,983040,2283,2283,0.001,1,23.54240107536316
21,47717,0.3586695955467224,0.00802792180031538,8268,82.68,47680,1030720,2250,2250,0.001,1,23.413406133651733
22,47750,0.34625829442977907,0.008174343669414521,8219,82.19,47744,1078464,2255,2255,0.001,1,23.477427005767822
23,47745,0.3303524375629425,0.0068506069406867025,8540,85.4,47744,1126208,2610,2610,0.001,1,23.482508659362793
24,47390,0.3219627304172516,0.0066815987855196,8597,85.97,47360,1173568,2792,2792,0.001,1,23.382850646972656
25,47208,0.3124848711872101,0.007235254783928394,8448,84.48,47168,1220736,2990,2990,0.001,1,23.299875497817993
26,47010,0.29764529642105103,0.0068549180403351785,8580,85.8,46976,1267712,2917,2917,0.001,1,23.26254153251648
27,47083,0.2931857959079742,0.006296509596705436,8639,86.39,47040,1314752,3015,3015,0.001,1,23.214138746261597
28,46985,0.2852781791591644,0.0061196339905261994,8656,86.56,46976,1361728,3417,3417,0.001,1,23.19871950149536
