epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.941449319152832,0.025925879335403443,3991,39.91,49984,49984,0,0,0.001,1,11.408693075180054
2,50000,1.4452959900665283,0.02017618220448494,5404,54.04,49984,99968,0,0,0.001,1,4.679629564285278
3,50000,1.1423894373321533,0.018351518511772157,5795,57.95,49984,149952,22,22,0.001,1,4.6981518268585205
4,49978,0.9490860884094239,0.015074209481477738,6656,66.56,49920,199872,46,46,0.001,1,8.082011461257935
5,49954,0.8183081620788574,0.011835196805000305,7377,73.77,49920,249792,104,104,0.001,1,8.002178192138672
6,49896,0.7121530038070679,0.014537316930294036,6888,68.88,49856,299648,246,246,0.001,1,4.701587915420532
7,49754,0.6584130411911011,0.011321195590496063,7516,75.16,49728,349376,400,400,0.001,1,4.7202818393707275
8,49600,0.6123644364547729,0.011985461547970772,7499,74.99,49600,398976,541,541,0.001,1,4.778877019882202
9,49459,0.5814724398803711,0.01118360531926155,7640,76.4,49408,448384,683,683,0.001,1,4.783500909805298
10,49317,0.5487591095352173,0.010721340399980545,7713,77.13,49280,497664,799,799,0.001,1,4.763195753097534
11,49201,0.5257946403312683,0.01028231790959835,7815,78.15,49152,546816,964,964,0.001,1,4.771636009216309
12,49036,0.5015627563476562,0.010226135218143462,7819,78.19,49024,595840,1073,1073,0.001,1,4.764047861099243
13,48927,0.49066257789611817,0.009868055579066276,7909,79.09,48896,644736,1084,1084,0.001,1,4.713692903518677
14,48916,0.46858699081420896,0.010053268772363663,7835,78.35,48896,693632,1251,1251,0.001,1,4.754239797592163
15,48749,0.45588769987106326,0.009895596867799759,7893,78.93,48704,742336,1333,1333,0.001,1,4.711825132369995
16,48667,0.43510934343338015,0.009699419018626212,7968,79.68,48640,790976,1447,1447,0.001,1,4.742162704467773
17,48553,0.41912677921295166,0.008910291084647179,8114,81.14,48512,839488,1576,1576,0.001,1,4.715249061584473
18,48424,0.40728017879486084,0.00887394753396511,8124,81.24,48384,887872,1711,1711,0.001,1,4.6993608474731445
19,48289,0.3980472836112976,0.00889610312283039,8116,81.16,48256,936128,1861,1861,0.001,1,4.692881107330322
20,48139,0.3811944960403442,0.007498557959496975,8422,84.22,48128,984256,1937,1937,0.001,1,4.683574676513672
21,48063,0.36862884033203125,0.007603151822090149,8401,84.01,48000,1032256,2052,2052,0.001,1,4.6765546798706055
22,47948,0.35914328210830687,0.007337328915297985,8421,84.21,47936,1080192,2250,2250,0.001,1,4.713090419769287
23,47750,0.34660648121833804,0.008572557744383811,8185,81.85,47744,1127936,2375,2375,0.001,1,4.681723117828369
24,47625,0.3397561777877808,0.007132664214074612,8481,84.81,47616,1175552,2524,2524,0.001,1,4.6914145946502686
25,47476,0.3204590168952942,0.007505575728416443,8407,84.07,47424,1222976,2632,2632,0.001,1,4.666600465774536
26,47368,0.31337264108657836,0.0067748758718371395,8496,84.96,47360,1270336,2748,2748,0.001,1,4.64836311340332
27,47252,0.3056845283794403,0.0071910117447376255,8459,84.59,47232,1317568,2768,2768,0.001,1,4.635623455047607
28,47232,0.29295759969711305,0.006527325208485126,8587,85.87,47232,1364800,2954,2954,0.001,1,4.65914511680603
29,47046,0.2831948749256134,0.008045950576663017,8229,82.29,47040,1411840,3026,3026,0.001,1,4.622251510620117
30,46974,0.26946850675582884,0.006771887774765491,8596,85.96,46912,1458752,3513,3513,0.001,1,4.612461090087891
31,46487,0.2618969111442566,0.0075553965359926225,8370,83.7,46464,1505216,2664,1,0.018302472334392667,15,8.33096981048584
32,47336,0.2569919108533859,0.006594724643230438,8602,86.02,47296,1552512,2146,2,0.018302472334392667,15,4.60914158821106
33,47854,0.24345615734577178,0.006857851712405681,8538,85.38,47808,1600320,1787,9,0.018302472334392667,15,4.639230728149414
34,48213,0.24280417753219605,0.006247420831024647,8684,86.84,48192,1648512,1505,12,0.018302472334392667,15,4.6614766120910645
35,48495,0.22664915466785432,0.006402193479239941,8607,86.07,48448,1696960,1313,16,0.018302472334392667,15,4.661970376968384
36,48687,0.22806381253242491,0.005886955487728119,8733,87.33,48640,1745600,1171,20,0.018302472334392667,15,4.68239688873291
37,48829,0.21743118589878083,0.00580471463277936,8742,87.42,48768,1794368,1073,25,0.018302472334392667,15,4.698406934738159
38,48927,0.20959906903743744,0.0054662688419222834,8813,88.13,48896,1843264,975,31,0.018302472334392667,15,4.7089128494262695
39,49025,0.19929212934017182,0.006374879035353661,8645,86.45,49024,1892288,894,44,0.018302472334392667,15,4.7289817333221436
40,49106,0.198310521235466,0.006105961409211159,8698,86.98,49088,1941376,775,56,0.018302472334392667,15,8.847243309020996
