epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.4989686814880372,0.018811702179908754,5648,56.48,49984,49984,0,0,0.001,1,30.274742603302002
2,50000,1.0469988236999512,0.015451688843965531,6470,64.7,49984,99968,0,0,0.001,1,18.601056814193726
3,50000,0.8358664553070069,0.012233687537908555,7234,72.34,49984,149952,43,43,0.001,1,17.926863193511963
4,49957,0.7022803593826294,0.011332293283939362,7459,74.59,49920,199872,184,184,0.001,1,23.21663212776184
5,49816,0.6167411152648926,0.009846442231535912,7847,78.47,49792,249664,464,464,0.001,1,17.860597372055054
6,49536,0.5508185603332519,0.009885053560137748,7868,78.68,49536,299200,908,908,0.001,1,18.550930976867676
7,49092,0.4988459747695923,0.011670461794734,7582,75.82,49088,348288,1066,1066,0.001,1,17.809987545013428
8,48934,0.4575245636749268,0.01112478387951851,7669,76.69,48896,397184,1477,1477,0.001,1,18.398937463760376
9,48523,0.4232943935394287,0.009526416558027268,7975,79.75,48512,445696,1835,1835,0.001,1,18.386656284332275
10,48165,0.39533215551376344,0.009346595922112465,8019,80.19,48128,493824,2353,2353,0.001,1,17.652456998825073
11,47647,0.37054048137664797,0.00976233871281147,7975,79.75,47616,541440,2658,2658,0.001,1,18.208088636398315
12,47342,0.3452247056388855,0.008715402215719223,8128,81.28,47296,588736,3060,3060,0.001,1,17.623404026031494
13,46940,0.3246164010047913,0.008670115152001381,8196,81.96,46912,635648,3396,3396,0.001,1,17.919005870819092
14,46604,0.3080949817276001,0.0077039744347333905,8343,83.43,46592,682240,3932,3932,0.001,1,18.09088683128357
15,46068,0.2879080280303955,0.008094850245118142,8271,82.71,46016,728256,4257,4257,0.001,1,17.280811071395874
16,45743,0.2713057302284241,0.0073357352003455166,8407,84.07,45696,773952,4926,4926,0.001,1,17.859431505203247
17,45074,0.2591443757247925,0.007546873815357685,8389,83.89,45056,819008,5115,5115,0.001,1,17.653218507766724
18,44885,0.24268107570648192,0.006961705754697323,8481,84.81,44864,863872,5847,5847,0.001,1,17.209506511688232
19,44153,0.2272851151561737,0.006983317627012729,8545,85.45,44096,907968,6451,6451,0.001,1,17.543872356414795
20,43549,0.21574013438224793,0.006727877002954483,8583,85.83,43520,951488,7073,7073,0.001,1,17.04499340057373
21,42927,0.20864193492889405,0.006602693851292134,8593,85.93,42880,994368,7344,7344,0.001,1,17.164813995361328
22,42656,0.1975993108177185,0.006585746869444847,8609,86.09,42624,1036992,7961,7961,0.001,1,17.312477350234985
23,42039,0.18480817495822907,0.00648566406071186,8619,86.19,41984,1078976,8502,8502,0.001,1,16.654810428619385
24,41498,0.17642838057518007,0.006437016619741917,8600,86.0,41472,1120448,8912,8912,0.001,1,16.945383548736572
25,41088,0.16313170712947844,0.006368841658532619,8677,86.77,41088,1161536,9422,9422,0.001,1,17.044218063354492
26,40578,0.16206224580287934,0.006550279261916876,8655,86.55,40576,1202112,9928,9928,0.001,1,16.488879203796387
27,40072,0.15214765168666838,0.005824782196432352,8745,87.45,40064,1242176,10619,10619,0.001,1,16.657812356948853
28,39381,0.1399354586315155,0.006260539433360099,8696,86.96,39360,1281536,10976,10976,0.001,1,16.715532064437866
29,39024,0.14086457373857497,0.006176045921444893,8715,87.15,38976,1320512,11476,11476,0.001,1,16.456051349639893
30,38524,0.13354165262699128,0.006224750457704068,8708,87.08,38464,1358976,11585,11585,0.001,1,16.165765285491943
31,38415,0.126123615026474,0.006062820052355528,8769,87.69,38400,1397376,9575,973,0.002468162927095511,15,21.706618309020996
32,40425,0.11486323127985,0.005746376565098762,8804,88.04,40384,1437760,8440,1188,0.002468162927095511,15,16.842369318008423
33,41560,0.11446768034219741,0.005600537304580212,8847,88.47,41536,1479296,7667,1434,0.002468162927095511,15,17.12079167366028
34,42333,0.10724192623615265,0.006016108674556017,8779,87.79,42304,1521600,7065,1664,0.002468162927095511,15,16.70741605758667
35,42935,0.10588556720256806,0.005783904979377985,8796,87.96,42880,1564480,6575,1902,0.002468162927095511,15,17.19738006591797
36,43425,0.10085651575088501,0.006267942354083061,8705,87.05,43392,1607872,6171,2122,0.002468162927095511,15,17.436853647232056
37,43829,0.09599147192955017,0.005508341920375824,8854,88.54,43776,1651648,5920,2378,0.002468162927095511,15,16.811694383621216
38,44080,0.0914253712129593,0.005519803896546363,8863,88.63,44032,1695680,5669,2689,0.002468162927095511,15,17.546820402145386
