epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.5142428387451172,0.019021452242136,5518,55.18,49984,49984,0,0,0.001,1,11.436630249023438
2,50000,1.057759020690918,0.01535949968099594,6553,65.53,49984,99968,0,0,0.001,1,4.819182395935059
3,50000,0.8455479014205932,0.012403023219108581,7182,71.82,49984,149952,24,24,0.001,1,4.8336474895477295
4,49976,0.7027365418243409,0.01121883944272995,7505,75.05,49920,199872,161,161,0.001,1,8.068237781524658
5,49839,0.6143543936157226,0.009974920573830605,7820,78.2,49792,249664,490,490,0.001,1,4.8648340702056885
6,49510,0.5484904586791992,0.011459766402840615,7522,75.22,49472,299136,851,851,0.001,1,4.901160955429077
7,49149,0.4992268997192383,0.012032929289340973,7449,74.49,49088,348224,1067,1067,0.001,1,4.901827812194824
8,48933,0.4544306746673584,0.010621708425879478,7806,78.06,48896,397120,1375,1375,0.001,1,4.899107456207275
9,48625,0.4235027269744873,0.009740227156877519,7943,79.43,48576,445696,1791,1791,0.001,1,4.8842127323150635
10,48209,0.39343168434143067,0.009817986291646957,7942,79.42,48192,493888,2283,2283,0.001,1,4.862656116485596
11,47717,0.3694078532409668,0.008920674669742584,8110,81.1,47680,541568,1866,0,0.03638769753531229,15,8.52405047416687
12,48134,0.34757683731079103,0.009712460315227508,7915,79.15,48128,589696,1636,0,0.03638769753531229,15,4.838443040847778
13,48364,0.32659721837997435,0.009143763646483422,8022,80.22,48320,638016,1467,0,0.03638769753531229,15,4.83469557762146
14,48533,0.30195064031600954,0.00861083992421627,8177,81.77,48512,686528,1308,0,0.03638769753531229,15,4.876657485961914
15,48692,0.28396283160209657,0.007934996752440929,8340,83.4,48640,735168,1211,0,0.03638769753531229,15,4.819626092910767
16,48789,0.27064325952529905,0.00790043424665928,8323,83.23,48768,783936,1104,0,0.03638769753531229,15,4.8699729442596436
17,48896,0.2610575043296814,0.007540329566597939,8410,84.1,48896,832832,1050,0,0.03638769753531229,15,4.839269161224365
18,48950,0.247943882894516,0.007532703697681427,8401,84.01,48896,881728,994,0,0.03638769753531229,15,4.86286735534668
19,49006,0.23226443214416503,0.006885855738818646,8519,85.19,48960,930688,935,4,0.03638769753531229,15,4.854553699493408
20,49065,0.22408665742874145,0.006970141127705574,8558,85.58,49024,979712,886,15,0.03638769753531229,15,4.893383264541626
21,49114,0.2067445642757416,0.00684611122906208,8535,85.35,49088,1028800,818,46,0.03638769753531229,15,4.858932733535767
22,49182,0.20293329018115996,0.006612449544668198,8606,86.06,49152,1077952,757,120,0.03638769753531229,15,4.870718240737915
23,49243,0.1858983372092247,0.006585174259543419,8615,86.15,49216,1127168,695,266,0.03638769753531229,15,4.86685037612915
24,49305,0.17587342198848724,0.00634005736708641,8660,86.6,49280,1176448,635,635,0.03638769753531229,15,4.841456174850464
