epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9695998152160645,0.026633096170425415,3684,36.84,49984,49984,0,0,0.001,1,11.275531768798828
2,50000,1.5375834521484375,0.023259592425823213,4741,47.41,49984,99968,0,0,0.001,1,4.606842041015625
3,50000,1.262129340133667,0.017906076484918595,5830,58.3,49984,149952,26,26,0.001,1,4.641113758087158
4,49974,1.0258362447357179,0.01821770774126053,5972,59.72,49920,199872,26,26,0.001,1,7.871478796005249
5,49974,0.8686556503295898,0.014097697848081589,6843,68.43,49920,249792,67,67,0.001,1,4.716152906417847
6,49933,0.7546242222976685,0.012544272541999817,7290,72.9,49920,299712,189,189,0.001,1,4.685305118560791
7,49811,0.6975606342697144,0.011507763454318046,7425,74.25,49792,349504,363,363,0.001,1,4.673350095748901
8,49637,0.6520038178634644,0.011844043558835983,7435,74.35,49600,399104,488,488,0.001,1,4.66679573059082
9,49512,0.6215878707885742,0.010481130170822143,7752,77.52,49472,448576,557,557,0.001,1,4.667429447174072
10,49443,0.598721325340271,0.010642137810587883,7716,77.16,49408,497984,667,667,0.001,1,4.661675453186035
11,49333,0.5839637400817871,0.011833719527721404,7441,74.41,49280,547264,695,695,0.001,1,4.688112258911133
12,49305,0.5663847464370727,0.009802131333947181,7934,79.34,49280,596544,827,827,0.001,1,4.6568238735198975
13,49173,0.5557009754753113,0.010117807704210282,7864,78.64,49152,645696,832,832,0.001,1,4.688928604125977
14,49168,0.5418022084236145,0.009775129547715188,7896,78.96,49152,694848,906,906,0.001,1,4.665344953536987
15,49094,0.5355350207138061,0.011959751325845718,7495,74.95,49088,743936,974,974,0.001,1,4.678953647613525
16,49026,0.5253799513626098,0.009307649919390678,8019,80.19,49024,792960,1088,1088,0.001,1,4.653518438339233
17,48912,0.5168321494865418,0.00993795394897461,7890,78.9,48896,841856,1093,1093,0.001,1,4.692050457000732
18,48907,0.5164011155700684,0.010864731913805008,7796,77.96,48896,890752,1136,1136,0.001,1,4.643362998962402
19,48864,0.5029818398284912,0.009414459973573685,7987,79.87,48832,939584,1145,1145,0.001,1,4.651753664016724
20,48855,0.49908736026763917,0.009689908516407013,7910,79.1,48832,988416,1164,1164,0.001,1,4.669837236404419
21,48836,0.4892646238708496,0.011759821444749833,7632,76.32,48832,1037248,1209,1209,0.001,1,4.640162229537964
22,48791,0.4895415193939209,0.00849132693707943,8203,82.03,48768,1086016,1276,1276,0.001,1,4.631973028182983
23,48724,0.4811557555007935,0.009778941932320595,7937,79.37,48704,1134720,1309,1309,0.001,1,4.643665790557861
24,48691,0.47318133207321167,0.00913551130592823,8008,80.08,48640,1183360,1348,1348,0.001,1,4.657551288604736
25,48652,0.47389836374282834,0.010212972468137741,7816,78.16,48640,1232000,1349,1349,0.001,1,4.6201794147491455
26,48651,0.4691684778785706,0.009030906000733375,8110,81.1,48640,1280640,1379,1379,0.001,1,4.632499933242798
27,48621,0.46058235609054565,0.008686926341056824,8159,81.59,48576,1329216,1383,1383,0.001,1,4.640660047531128
28,48617,0.4573384362792969,0.008379216694831848,8272,82.72,48576,1377792,1518,1518,0.001,1,4.637991428375244
29,48482,0.4590134152984619,0.008697110083699226,8216,82.16,48448,1426240,1500,1500,0.001,1,4.659212350845337
30,48500,0.4514599686050415,0.00864590509533882,8213,82.13,48448,1474688,1541,1541,0.001,1,4.657821416854858
31,48459,0.4498245470428467,0.010184644001722335,7794,77.94,48448,1523136,1181,0,0.06778764506388436,15,8.232101440429688
32,48819,0.4420607579612732,0.00846446813941002,8214,82.14,48768,1571904,959,0,0.06778764506388436,15,4.611695289611816
33,49041,0.4508149746131897,0.009300776794552802,7998,79.98,49024,1620928,748,0,0.06778764506388436,15,4.694739103317261
34,49252,0.443511035823822,0.00901522682905197,8106,81.06,49216,1670144,607,0,0.06778764506388436,15,4.657440423965454
35,49393,0.4344135021018982,0.008564654806256294,8171,81.71,49344,1719488,504,0,0.06778764506388436,15,4.683610916137695
36,49496,0.4373070368003845,0.007363597685098648,8432,84.32,49472,1768960,404,0,0.06778764506388436,15,4.657254219055176
37,49596,0.43141491790771486,0.008305917769670487,8185,81.85,49536,1818496,341,1,0.06778764506388436,15,4.665537357330322
38,49659,0.42516998300552367,0.010145356294512749,7816,78.16,49600,1868096,291,2,0.06778764506388436,15,4.659218788146973
39,49709,0.4316695508003235,0.009333505085110664,7980,79.8,49664,1917760,232,3,0.06778764506388436,15,4.647255897521973
40,49768,0.4229305648994446,0.00806404413729906,8269,82.69,49728,1967488,175,4,0.06778764506388436,15,4.653635263442993
41,49825,0.4213678982543945,0.007699231612682342,8322,83.22,49792,2017280,121,5,0.06778764506388436,15,4.656534910202026
42,49879,0.4199728414440155,0.008206199035048484,8206,82.06,49856,2067136,58,9,0.06778764506388436,15,4.674357652664185
43,49942,0.41513371635437013,0.008520054887235165,8174,81.74,49920,2117056,57,14,0.06778764506388436,15,7.9753406047821045
44,49943,0.410358225440979,0.008515478265285491,8182,81.82,49920,2166976,50,50,0.06778764506388436,15,7.895050287246704
45,49950,0.41557788330078127,0.007618086287379265,8366,83.66,49920,2216896,4444,4444,0.06778764506388436,15,7.872737169265747
46,45556,0.4034702608108521,0.00909239110648632,8084,80.84,45504,2262400,4129,4129,0.06778764506388436,15,4.398219585418701
47,45871,0.39495521739959716,0.010020188942551612,7871,78.71,45824,2308224,3826,3826,0.06778764506388436,15,4.4402735233306885
48,46174,0.39396174186706545,0.008236828151345252,8287,82.87,46144,2354368,3494,3494,0.06778764506388436,15,4.406174421310425
49,46506,0.3906608682823181,0.008489571154117585,8223,82.23,46464,2400832,3377,3377,0.06778764506388436,15,4.43155312538147
50,46623,0.3819383592414856,0.008520046791434288,8215,82.15,46592,2447424,3354,3354,0.06778764506388436,15,4.440342664718628
51,46646,0.38226472091674807,0.008053685814142227,8305,83.05,46592,2494016,3209,3209,0.06778764506388436,15,4.445494174957275
52,46791,0.3778197063064575,0.007589589777588844,8444,84.44,46784,2540800,3132,3132,0.06778764506388436,15,4.4882001876831055
53,46868,0.3757950868225098,0.007661676090955734,8417,84.17,46848,2587648,3167,3167,0.06778764506388436,15,4.46013879776001
54,46833,0.3730071162033081,0.008406455728411675,8217,82.17,46784,2634432,3180,3180,0.06778764506388436,15,4.481584310531616
55,46820,0.36875866037368776,0.007903959380090237,8299,82.99,46784,2681216,3092,3092,0.06778764506388436,15,4.469499111175537
56,46908,0.37114126407623294,0.008718235316872597,8154,81.54,46848,2728064,3049,3049,0.06778764506388436,15,4.439709424972534
57,46951,0.3648093539619446,0.007665479785203933,8324,83.24,46912,2774976,3066,3066,0.06778764506388436,15,4.46225643157959
