epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,1.9548846983337402,0.026824001479148863,3617,36.17,49984,49984,0,0,0.001,1,11.295310258865356
2,50000,1.4773668022155761,0.020862872123718262,5154,51.54,49984,99968,0,0,0.001,1,4.655049562454224
3,50000,1.196330502090454,0.018586907213926314,5858,58.58,49984,149952,34,34,0.001,1,4.647976636886597
4,49966,0.9467308360290527,0.01724495441913605,6157,61.57,49920,199872,43,43,0.001,1,7.903186321258545
5,49957,0.8024443825531006,0.014712778681516648,6795,67.95,49920,249792,105,105,0.001,1,7.903313398361206
6,49895,0.729792924156189,0.012732635229825973,7257,72.57,49856,299648,263,263,0.001,1,4.705061197280884
7,49737,0.6788920330429077,0.013805291658639907,7113,71.13,49728,349376,440,440,0.001,1,4.739985227584839
8,49560,0.6422117297363281,0.014842941844463348,7002,70.02,49536,398912,579,579,0.001,1,4.721629858016968
9,49421,0.6241641900253296,0.011426209998130798,7562,75.62,49408,448320,625,625,0.001,1,4.695870637893677
10,49375,0.6034509327507019,0.011487476167082787,7557,75.57,49344,497664,621,621,0.001,1,4.7066261768341064
11,49379,0.5888353603744507,0.010965458646416664,7615,76.15,49344,547008,748,748,0.001,1,4.730009078979492
12,49252,0.5800326580429077,0.012698369735479356,7315,73.15,49216,596224,788,788,0.001,1,4.709986209869385
13,49212,0.5733543199539185,0.010973421576619149,7718,77.18,49152,645376,719,719,0.001,1,4.693268060684204
14,49281,0.5554146108627319,0.011437289249897004,7597,75.97,49280,694656,878,878,0.001,1,4.718292474746704
15,49122,0.5481522740936279,0.011416622820496559,7624,76.24,49088,743744,927,927,0.001,1,4.7154011726379395
16,49073,0.5467196455383301,0.01042408966422081,7772,77.72,49024,792768,915,915,0.001,1,4.714664459228516
17,49085,0.534045615978241,0.009272930642962456,7924,79.24,49024,841792,1020,1020,0.001,1,4.737743377685547
18,48980,0.5372625727081299,0.010002854904532432,7926,79.26,48960,890752,928,928,0.001,1,4.715789318084717
19,49072,0.5341744459152221,0.010937869340181351,7657,76.57,49024,939776,950,950,0.001,1,4.713129997253418
20,49050,0.5199520286178589,0.0114018258780241,7558,75.58,49024,988800,990,990,0.001,1,4.721357107162476
21,49010,0.5162410166931153,0.00857872443497181,8155,81.55,48960,1037760,1079,1079,0.001,1,4.717342138290405
22,48921,0.5122981884765625,0.010118279573321343,7880,78.8,48896,1086656,1130,1130,0.001,1,4.703513860702515
23,48870,0.5101644343376159,0.009549405291676522,7981,79.81,48832,1135488,1077,1077,0.001,1,4.69971227645874
24,48923,0.5086555979919434,0.009752003091573716,7920,79.2,48896,1184384,1132,1132,0.001,1,4.703819990158081
25,48868,0.5044020850753784,0.009822309678792954,7934,79.34,48832,1233216,1113,1113,0.001,1,4.70456337928772
26,48887,0.49544441984176635,0.009258175611495972,8051,80.51,48832,1282048,1233,1233,0.001,1,4.6972551345825195
27,48767,0.5018485919570923,0.010774516090750695,7661,76.61,48704,1330752,1157,1157,0.001,1,4.69928765296936
28,48843,0.49763526277542114,0.010531046518683434,7794,77.94,48832,1379584,1132,1132,0.001,1,4.718357801437378
29,48868,0.4945070688247681,0.009109041488170624,8077,80.77,48832,1428416,1199,1199,0.001,1,4.728084564208984
30,48801,0.49538199932098387,0.010208126023411751,7839,78.39,48768,1477184,1162,1162,0.001,1,4.69324517250061
31,48838,0.49139601037979125,0.011919867062568664,7470,74.7,48832,1526016,819,0,0.08631043376911417,15,8.333531856536865
32,49181,0.49425051187515257,0.009472673639655113,7967,79.67,49152,1575168,605,0,0.08631043376911417,15,4.71088981628418
33,49395,0.4910976962089539,0.010154696401953697,7700,77.0,49344,1624512,436,0,0.08631043376911417,15,4.731343507766724
34,49564,0.49040180213928225,0.010943859246373177,7621,76.21,49536,1674048,320,0,0.08631043376911417,15,4.712830543518066
35,49680,0.4876555361175537,0.009797442430257798,7846,78.46,49664,1723712,278,0,0.08631043376911417,15,4.729468584060669
36,49722,0.49235285900115966,0.008480953165888786,8207,82.07,49664,1773376,233,1,0.08631043376911417,15,4.732780694961548
37,49767,0.4874681229972839,0.01064153992831707,7695,76.95,49728,1823104,169,1,0.08631043376911417,15,4.703401565551758
38,49831,0.48982235050201417,0.009218522474169731,7999,79.99,49792,1872896,98,0,0.08631043376911417,15,4.7198755741119385
39,49902,0.4880995610809326,0.00887256732583046,8086,80.86,49856,1922752,58,0,0.08631043376911417,15,4.696763753890991
40,49942,0.48124930320739745,0.008821411973237991,8108,81.08,49920,1972672,58,1,0.08631043376911417,15,7.938032388687134
41,49942,0.49278709604263304,0.008507918772101402,8185,81.85,49920,2022592,56,2,0.08631043376911417,15,4.660789966583252
42,49944,0.4849201407623291,0.010414785605669021,7710,77.1,49920,2072512,53,6,0.08631043376911417,15,7.879187822341919
43,49947,0.48341598344802855,0.00936000754237175,7996,79.96,49920,2122432,46,10,0.08631043376911417,15,7.879536390304565
44,49954,0.48471538640975953,0.009632106220722199,7943,79.43,49920,2172352,43,43,0.08631043376911417,15,7.868222236633301
45,49957,0.4873189433479309,0.009230764177441597,8000,80.0,49920,2222272,4110,4110,0.08631043376911417,15,4.656657695770264
46,45890,0.4701345077133179,0.010604244506359101,7685,76.85,45888,2268160,3724,3724,0.08631043376911417,15,4.481462478637695
47,46276,0.4698784845352173,0.009609225076436996,8024,80.24,46272,2314432,3532,3532,0.08631043376911417,15,4.502803564071655
48,46468,0.46447118686676026,0.010107806780934333,7878,78.78,46464,2360896,3193,3193,0.08631043376911417,15,4.525956869125366
49,46807,0.47105424785614014,0.00929881058037281,8090,80.9,46784,2407680,2881,2881,0.08631043376911417,15,4.537750482559204
50,47119,0.463569169216156,0.009053484025597571,8055,80.55,47104,2454784,2660,2660,0.08631043376911417,15,4.56251335144043
51,47340,0.4702604648590088,0.009892245757579804,7838,78.38,47296,2502080,2446,2446,0.08631043376911417,15,4.54725980758667
52,47554,0.46412501123428346,0.009610791566967964,7852,78.52,47552,2549632,2309,2309,0.08631043376911417,15,4.579875469207764
53,47691,0.4607413611602783,0.009643100038170814,7944,79.44,47680,2597312,2315,2315,0.08631043376911417,15,4.5901267528533936
54,47685,0.4662277664756775,0.01063462482392788,7744,77.44,47680,2644992,2304,2304,0.08631043376911417,15,4.580791234970093
55,47696,0.4678021253967285,0.008393798771500588,8239,82.39,47680,2692672,2352,2352,0.08631043376911417,15,4.581906080245972
56,47648,0.46209763313293456,0.008928693008422852,8130,81.3,47616,2740288,2293,2293,0.08631043376911417,15,4.5691447257995605
57,47707,0.45898986206054687,0.009467816635966301,8005,80.05,47680,2787968,2130,2130,0.08631043376911417,15,4.559613227844238
58,47870,0.4660116987991333,0.009913758388161659,7961,79.61,47808,2835776,2100,2100,0.08631043376911417,15,4.578599691390991
59,47900,0.458179511089325,0.008767641824483871,8128,81.28,47872,2883648,2054,2054,0.08631043376911417,15,4.6097283363342285
60,47946,0.46454736042022704,0.008555121558904647,8154,81.54,47936,2931584,2095,2095,0.08631043376911417,15,4.56950831413269
61,47905,0.25959095067977905,0.00517925856038928,8905,89.05,47872,2979456,2195,2195,0.08631043376911417,15,4.57315731048584
62,47805,0.2017476107788086,0.005373015049099922,8847,88.47,47744,3027200,2557,2557,0.08631043376911417,15,4.588590145111084
63,47443,0.17845824134349822,0.0048292791754007336,8940,89.4,47424,3074624,3117,3117,0.08631043376911417,15,4.561630725860596
