epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.140370425109863,0.030044628989696502,2365,23.65,49984,49984,0,0,0.001,1,9.575081586837769
2,50000,1.7943305500793456,0.025300156843662262,3801,38.01,49984,99968,0,0,0.001,1,4.183657884597778
3,50000,1.5471714965820313,0.022810871636867524,4582,45.82,49984,149952,33,33,0.001,1,4.150618553161621
4,49967,1.3558653833007812,0.021467497193813325,5127,51.27,49920,199872,33,33,0.001,1,6.860700845718384
5,49967,1.2042862996673585,0.01682677783370018,6332,63.32,49920,249792,18,18,0.001,1,4.148268222808838
6,49982,1.0776797040557862,0.01850718232393265,6055,60.55,49920,299712,62,62,0.001,1,6.825432062149048
7,49938,1.0069435037994385,0.01736209792494774,6490,64.9,49920,349632,76,76,0.001,1,6.843310356140137
8,49924,0.9429320651245117,0.017585141617059707,6377,63.77,49920,399552,119,119,0.001,1,4.153217554092407
9,49881,0.8945851316070557,0.015745425158739088,6821,68.21,49856,449408,157,157,0.001,1,4.15226674079895
10,49843,0.842280701599121,0.01572818168401718,6766,67.66,49792,499200,190,190,0.001,1,4.176745653152466
11,49810,0.8101544710540771,0.01254547232091427,7433,74.33,49792,548992,210,210,0.001,1,4.179261922836304
12,49790,0.7761710972976684,0.01733865509033203,6859,68.59,49728,598720,246,246,0.001,1,4.178045272827148
13,49754,0.7359926601791382,0.013112203693389892,7344,73.44,49728,648448,299,299,0.001,1,4.188195705413818
14,49701,0.7121107596206665,0.011899449920654297,7673,76.73,49664,698112,346,346,0.001,1,4.163365602493286
15,49654,0.6847300783157348,0.013995133566856385,7280,72.8,49600,747712,384,384,0.001,1,4.155197858810425
16,49616,0.6640984059524536,0.012359852913022041,7630,76.3,49600,797312,446,446,0.001,1,4.161184310913086
17,49554,0.6293528150177002,0.014557844135165214,7201,72.01,49536,846848,464,464,0.001,1,4.179699897766113
18,49536,0.6070954330635071,0.013661932817101478,7244,72.44,49536,896384,463,463,0.001,1,4.171106338500977
19,49537,0.5964808200836181,0.011163970017433167,7750,77.5,49536,945920,592,592,0.001,1,4.1981751918792725
20,49408,0.5713294554519653,0.010029742488265037,7930,79.3,49408,995328,608,608,0.001,1,4.192822456359863
21,49392,0.5531555619049072,0.010913913068175315,7754,77.54,49344,1044672,691,691,0.001,1,4.165759325027466
22,49309,0.5404655342483521,0.009976582929491997,7907,79.07,49280,1093952,744,744,0.001,1,4.165152549743652
23,49256,0.5208061316680909,0.010990496748685836,7780,77.8,49216,1143168,813,813,0.001,1,4.176581144332886
24,49187,0.506459847984314,0.010063008707761764,8004,80.04,49152,1192320,826,826,0.001,1,4.176193475723267
25,49174,0.48965629947662354,0.008955815154314041,8150,81.5,49152,1241472,953,953,0.001,1,4.219589710235596
26,49047,0.47402756540298463,0.008594737808406352,8283,82.83,49024,1290496,949,949,0.001,1,4.1669228076934814
27,49051,0.46348090091705324,0.008050987485051155,8352,83.52,49024,1339520,1051,1051,0.001,1,4.216968774795532
28,48949,0.4428748639678955,0.009236307793855668,8196,81.96,48896,1388416,1038,1038,0.001,1,4.184884071350098
29,48962,0.4273110339641571,0.008752381438016892,8241,82.41,48960,1437376,1137,1137,0.001,1,4.142826795578003
30,48863,0.4183803352737427,0.007960360045731068,8326,83.26,48832,1486208,1134,1134,0.001,1,4.1683878898620605
31,48866,0.39596687820434573,0.00837981239259243,8246,82.46,48832,1535040,795,0,0.048324586517227874,15,7.18379807472229
32,49205,0.38769653438568114,0.0071449308589100835,8502,85.02,49152,1584192,627,0,0.048324586517227874,15,4.174563407897949
33,49373,0.3763004508018494,0.0078811101436615,8371,83.71,49344,1633536,424,0,0.048324586517227874,15,4.14538836479187
34,49576,0.3703564574432373,0.007681087413430214,8427,84.27,49536,1683072,299,0,0.048324586517227874,15,4.138042449951172
35,49701,0.35681576921463015,0.00705459340363741,8544,85.44,49664,1732736,218,0,0.048324586517227874,15,4.156725645065308
36,49782,0.34069634372711183,0.006858569401502609,8588,85.88,49728,1782464,170,0,0.048324586517227874,15,4.131481170654297
37,49830,0.33125248070716856,0.007280162954330444,8514,85.14,49792,1832256,100,0,0.048324586517227874,15,4.201800346374512
38,49900,0.3192214439201355,0.006936571390926838,8629,86.29,49856,1882112,52,0,0.048324586517227874,15,4.145386219024658
39,49948,0.3193446176338196,0.007127174833416939,8569,85.69,49920,1932032,49,0,0.048324586517227874,15,6.850544452667236
40,49951,0.30475829566955565,0.007660808201134205,8502,85.02,49920,1981952,44,0,0.048324586517227874,15,6.834955453872681
