epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.1232400802612306,0.02931564952135086,2526,25.26,49984,49984,0,0,0.001,1,9.746636867523193
2,50000,1.8013736157226563,0.027930259954929353,2813,28.13,49984,99968,0,0,0.001,1,4.318904399871826
3,50000,1.582804329223633,0.023344675469398498,4453,44.53,49984,149952,39,39,0.001,1,4.3177900314331055
4,49961,1.399714846496582,0.02845185090303421,3765,37.65,49920,199872,28,28,0.001,1,7.060254096984863
5,49972,1.2204884816741943,0.020199569630622864,5548,55.48,49920,249792,24,24,0.001,1,7.047374248504639
6,49976,1.1056223191070558,0.015523464971780776,6637,66.37,49920,299712,56,56,0.001,1,7.165476560592651
7,49944,1.017104557800293,0.02316987153291702,5388,53.88,49920,349632,88,88,0.001,1,7.006841421127319
8,49912,0.967159751663208,0.01901155863404274,6210,62.1,49856,399488,109,109,0.001,1,4.291168451309204
9,49891,0.9008761934280396,0.014131041634082794,7010,70.1,49856,449344,159,159,0.001,1,4.297933340072632
10,49841,0.8472329650115967,0.01293017952144146,7365,73.65,49792,499136,192,192,0.001,1,4.303060054779053
11,49808,0.8125740363311768,0.01448222815990448,7166,71.66,49792,548928,104,0,0.3502401428892853,15,7.284446716308594
12,49896,0.7653743709182739,0.013969608557224273,7110,71.1,49856,598784,40,0,0.3502401428892853,15,4.259924411773682
13,49960,0.7382399625778199,0.013772790747880936,7195,71.95,49920,648704,27,0,0.3502401428892853,15,6.955620050430298
14,49973,0.7117500079345703,0.01163362284898758,7680,76.8,49920,698624,20,0,0.3502401428892853,15,6.9786481857299805
15,49980,0.6840478165054321,0.01175341153740883,7611,76.11,49920,748544,13,0,0.3502401428892853,15,6.925323009490967
16,49987,0.6609723094177246,0.011918553540110588,7662,76.62,49984,798528,10,0,0.3502401428892853,15,6.958164691925049
17,49990,0.6362716218185425,0.009708560320734978,7963,79.63,49984,848512,7,0,0.3502401428892853,15,6.9591851234436035
18,49993,0.6167159538269043,0.010359958490729331,7818,78.18,49984,898496,4,0,0.3502401428892853,15,6.951310873031616
19,49996,0.5945551829910278,0.013605681946873664,7220,72.2,49984,948480,3,0,0.3502401428892853,15,6.958271741867065
20,49997,0.5799370641899109,0.01106158949136734,7743,77.43,49984,998464,1,0,0.3502401428892853,15,6.948471307754517
21,49999,0.5662270516395569,0.010868627765774727,7743,77.43,49984,1048448,0,0,0.11094296244821586,15,4.586154937744141
22,50000,0.533427516670227,0.014727259695529937,6964,69.64,49984,1098432,0,0,0.11094296244821586,15,4.272501707077026
23,50000,0.5207363655090332,0.011342722924053668,7819,78.19,49984,1148416,0,0,0.11094296244821586,15,4.28430438041687
24,50000,0.5074072896194458,0.0097174445271492,8071,80.71,49984,1198400,0,0,0.11094296244821586,15,4.253336668014526
25,50000,0.48420104434967043,0.009937315559387207,7978,79.78,49984,1248384,4922,4922,0.11094296244821586,15,4.277981758117676
26,45078,0.46811870964050295,0.014264691364765167,7444,74.44,45056,1293440,3921,3921,0.11094296244821586,15,4.171332836151123
27,46079,0.4570201143074036,0.010650001069903374,7951,79.51,46016,1339456,3563,3563,0.11094296244821586,15,4.196682453155518
28,46437,0.4389965210723877,0.01121545848250389,7806,78.06,46400,1385856,3328,3328,0.11094296244821586,15,4.242552042007446
29,46672,0.42168717025756836,0.011522549366950989,7745,77.45,46656,1432512,2976,2976,0.11094296244821586,15,4.29176664352417
30,47024,0.40595846653938295,0.010338019859790801,7866,78.66,46976,1479488,2679,2679,0.11094296244821586,15,4.243005037307739
31,47321,0.3945780586242676,0.009163052687048912,8078,80.78,47296,1526784,1949,1949,0.05403808302871723,15,4.580974102020264
32,48051,0.38012970630645754,0.0073211766332387926,8535,85.35,48000,1574784,1734,1734,0.05403808302871723,15,4.317411422729492
33,48266,0.3747586550998688,0.008716727960109711,8329,83.29,48256,1623040,1561,1561,0.05403808302871723,15,4.308315277099609
34,48439,0.35872358350753786,0.007303042794764042,8576,85.76,48384,1671424,1447,1447,0.05403808302871723,15,4.333331823348999
35,48553,0.3564280788516998,0.007434931480884552,8491,84.91,48512,1719936,1301,1301,0.05403808302871723,15,4.3312273025512695
36,48699,0.33897641732215883,0.00764291145503521,8430,84.3,48640,1768576,1533,1533,0.05403808302871723,15,4.336249589920044
37,48467,0.3325180820465088,0.008002234721183776,8370,83.7,48448,1817024,1795,1795,0.05403808302871723,15,4.376512765884399
38,48205,0.32477085657119753,0.007498327626287937,8467,84.67,48192,1865216,2015,2015,0.05403808302871723,15,4.360596418380737
39,47985,0.30889300084114074,0.007144503358006478,8574,85.74,47936,1913152,2087,2087,0.05403808302871723,15,4.38381552696228
40,47913,0.3025081129837036,0.006986854445934295,8548,85.48,47872,1961024,2145,2145,0.05403808302871723,15,4.35454797744751
