epoch,active_set_size,avg_train_loss,avg_test_loss,test_correct,test_acc_pct,backprop_instances_this_epoch,cum_backprop_instances,total_excluded_now,newly_excluded_this_epoch,delta,kstar,epoch_time_s
1,50000,2.11134626953125,0.03044435157775879,2125,21.25,49984,49984,0,0,0.001,1,17.03789258003235
2,50000,1.810290486755371,0.03483492660522461,2748,27.48,49984,99968,0,0,0.001,1,10.775222778320312
3,50000,1.5771633325195313,0.023525695884227753,4470,44.7,49984,149952,26,26,0.001,1,11.104386806488037
4,49974,1.3620456636047362,0.02054944019317627,5422,54.22,49920,199872,27,27,0.001,1,13.57971453666687
5,49973,1.2148780339813232,0.01904465357661247,6038,60.38,49920,249792,32,32,0.001,1,12.95627760887146
6,49968,1.0878005027008057,0.017164319902658463,6367,63.67,49920,299712,45,45,0.001,1,13.079798460006714
7,49955,1.001085488357544,0.016520707404613495,6493,64.93,49920,349632,85,85,0.001,1,14.594166040420532
8,49915,0.9403715403747559,0.03132939202785492,5171,51.71,49856,399488,128,128,0.001,1,11.098840713500977
9,49872,0.8835343733978271,0.014189609652757645,7115,71.15,49856,449344,133,133,0.001,1,11.09415078163147
10,49867,0.8417492399215698,0.01515181754231453,6815,68.15,49856,499200,165,165,0.001,1,11.166761875152588
11,49835,0.7957440698623657,0.01231123359799385,7553,75.53,49792,548992,233,233,0.001,1,11.082465887069702
12,49767,0.7699698377609253,0.014840260696411133,7005,70.05,49728,598720,242,242,0.001,1,11.086068153381348
13,49758,0.7355905939102173,0.011490782043337823,7673,76.73,49728,648448,285,285,0.001,1,11.067578077316284
14,49715,0.7020221993637085,0.011893725946545601,7620,76.2,49664,698112,321,321,0.001,1,11.0744309425354
15,49679,0.6779879094314575,0.011964171579480171,7597,75.97,49664,747776,378,378,0.001,1,11.105883598327637
16,49622,0.6533170733261109,0.012676130187511445,7385,73.85,49600,797376,441,441,0.001,1,11.012163400650024
17,49559,0.626233528289795,0.0117666717171669,7625,76.25,49536,846912,493,493,0.001,1,11.060076475143433
18,49507,0.6078077253341675,0.012764370948076248,7460,74.6,49472,896384,510,510,0.001,1,10.950233221054077
19,49490,0.5888976617813111,0.012238689589500426,7612,76.12,49472,945856,566,566,0.001,1,11.01217246055603
20,49434,0.5678972924041749,0.010852465066313743,7804,78.04,49408,995264,613,613,0.001,1,11.027868747711182
21,49387,0.5498979420471192,0.010560305589437484,7730,77.3,49344,1044608,689,689,0.001,1,11.013668298721313
22,49311,0.5343436119651794,0.010051171693205834,7989,79.89,49280,1093888,734,734,0.001,1,11.109314680099487
23,49266,0.5194459765815734,0.010124705871939659,7851,78.51,49216,1143104,697,697,0.001,1,11.054739713668823
24,49303,0.5010178441238403,0.00966335445344448,7965,79.65,49280,1192384,826,826,0.001,1,11.008463859558105
25,49174,0.48582445274353026,0.010270968413352967,7897,78.97,49152,1241536,868,868,0.001,1,10.995597124099731
26,49132,0.466922537727356,0.008853453776240349,8187,81.87,49088,1290624,974,974,0.001,1,10.988566875457764
27,49026,0.4552758489227295,0.008592403781414033,8282,82.82,49024,1339648,1078,1078,0.001,1,11.034514427185059
28,48922,0.4421280393028259,0.008774064233899117,8241,82.41,48896,1388544,1159,1159,0.001,1,10.934999704360962
29,48841,0.4283815365409851,0.00953256822526455,7980,79.8,48832,1437376,1238,1238,0.001,1,10.925806283950806
30,48762,0.407577677526474,0.00841839489340782,8300,83.0,48704,1486080,1311,1311,0.001,1,10.964669942855835
31,48689,0.3961357155609131,0.008242215397953986,8321,83.21,48640,1534720,1014,0,0.04645495209251442,15,11.11215615272522
32,48986,0.3866347274208069,0.0078109606266021725,8411,84.11,48960,1583680,686,0,0.04645495209251442,15,10.910971879959106
33,49314,0.37872547820091246,0.00807830518335104,8347,83.47,49280,1632960,471,0,0.04645495209251442,15,11.042352199554443
34,49529,0.36565414394378665,0.007763286544382572,8359,83.59,49472,1682432,349,0,0.04645495209251442,15,10.951749086380005
35,49651,0.3520265964317322,0.007103114919364452,8498,84.98,49600,1732032,256,0,0.04645495209251442,15,11.044709205627441
36,49744,0.34662546558380125,0.008435082906484604,8319,83.19,49728,1781760,229,0,0.04645495209251442,15,11.04887866973877
37,49771,0.3360320192050934,0.00678955467492342,8590,85.9,49728,1831488,167,0,0.04645495209251442,15,11.038052082061768
38,49833,0.3250023662376404,0.006701147311925888,8631,86.31,49792,1881280,112,0,0.04645495209251442,15,11.04621696472168
39,49888,0.3139075997066498,0.006997138145565986,8589,85.89,49856,1931136,54,0,0.04645495209251442,15,11.084184646606445
40,49946,0.3036597602319717,0.007280243529379368,8524,85.24,49920,1981056,47,0,0.04645495209251442,15,13.243281841278076
41,49953,0.28846857962608335,0.007529258519411087,8506,85.06,49920,2030976,42,0,0.04645495209251442,15,13.062276363372803
42,49958,0.28203425326347353,0.007606595262140035,8510,85.1,49920,2080896,36,1,0.04645495209251442,15,12.739082098007202
43,49964,0.27304023866653443,0.006722992821782827,8644,86.44,49920,2130816,33,6,0.04645495209251442,15,13.403977394104004
