epoch,param_l2_dist,ref_param_l2_norm,rel_dist,active_set_size,total_excluded_now
20,53.876461029052734,40.7298583984375,1.3227755545332212,48282,2017
40,51.41788864135742,37.83662796020508,1.358944795382837,37310,13034
60,46.811439514160156,33.462955474853516,1.3989033201008696,24385,26237
80,41.373680114746094,28.138694763183594,1.4703482326720794,10498,40126
100,38.37921905517578,24.055776596069336,1.5954263169141198,5979,44171
120,37.19445037841797,22.162660598754883,1.6782484310799572,5080,44942
140,36.722869873046875,21.376251220703125,1.7179284381482376,4768,45199
160,36.523590087890625,21.039831161499023,1.7359260066081457,4841,45243
180,36.43741226196289,20.89348030090332,1.7439608785706964,4655,45307
200,36.39964294433594,20.829139709472656,1.747534629468261,4608,45370
